id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
1,1103.0,361.0,3302727499.3012457,29700281.90406854,121332240.31766146,0_Jupiter,632OI,2021-08-12T05:13:26,20210812UT
1,221.0,975.0,2526704.390170794,3245679.196414482,48502.76635242086,4_Callisto,632OI,2021-08-12T05:13:26,20210812UT
1,1103.0,361.0,2936897110.613884,28416458.448780395,111972949.90757558,0_Jupiter,647CNT,2021-08-12T05:14:15,20210812UT
1,221.0,975.0,2386919.0665044305,3087870.6780793443,47267.98316248755,4_Callisto,647CNT,2021-08-12T05:14:15,20210812UT
1,1103.0,361.0,2352570325.644979,29073878.426555693,89476063.16837738,0_Jupiter,656HIA,2021-08-12T05:14:33,20210812UT
1,221.0,975.0,2118344.182265482,3054298.932272771,37422.387794738184,4_Callisto,656HIA,2021-08-12T05:14:33,20210812UT
1,1103.0,361.0,54717917.98139471,25153814.068544943,1068560.8075316271,0_Jupiter,889CH4,2021-08-12T05:40:28,20210812UT
1,221.0,975.0,1438033.3826292404,3446892.8814338297,4848.285069718476,4_Callisto,889CH4,2021-08-12T05:40:28,20210812UT
1,1103.0,361.0,92686218.29697037,25328176.074604034,2328934.7217727653,0_Jupiter,940NIR,2021-08-12T05:40:44,20210812UT
1,221.0,975.0,1329798.748717179,3452481.248924201,1170.6093456867927,4_Callisto,940NIR,2021-08-12T05:40:44,20210812UT
1,828.0,829.0,4326403592.99223,33021367.824565712,153451950.46321782,0_Jupiter,632OI,2021-08-17T05:23:27,20210817UT
1,968.0,726.0,3964428.858259646,5958758.4849352855,61781.94380031835,2_Europa,632OI,2021-08-17T05:23:27,20210817UT
2,988.0,717.0,5150197.868442534,5125421.079599542,115291.60584259662,1_Io,632OI,2021-08-17T05:23:27,20210817UT
3,1346.0,476.0,6199930.532866841,3556995.0518766865,173787.76387189585,3_Ganymede,632OI,2021-08-17T05:23:27,20210817UT
4,1382.0,461.0,3392223.551253613,3557931.8071049275,73499.96869961663,4_Callisto,632OI,2021-08-17T05:23:27,20210817UT
1,828.0,829.0,4098759464.555273,34602969.68619342,140261573.03417706,0_Jupiter,647CNT,2021-08-17T05:23:54,20210817UT
1,968.0,726.0,3992829.024709913,6070459.941165814,59186.4326473356,2_Europa,647CNT,2021-08-17T05:23:54,20210817UT
2,988.0,717.0,5239084.002188195,5281450.404761051,112363.4517380276,1_Io,647CNT,2021-08-17T05:23:54,20210817UT
3,1346.0,476.0,6155195.826248671,3668681.6379242004,164808.28317334814,3_Ganymede,647CNT,2021-08-17T05:23:54,20210817UT
4,1382.0,461.0,3396999.8301760466,3664353.571677675,69754.04278610063,4_Callisto,647CNT,2021-08-17T05:23:54,20210817UT
1,828.0,829.0,3195631579.6268606,35080403.7341855,109104400.42409536,0_Jupiter,656HIA,2021-08-17T05:24:07,20210817UT
1,968.0,726.0,3450119.5183877326,5673384.280340929,45606.91080206498,2_Europa,656HIA,2021-08-17T05:24:07,20210817UT
2,988.0,717.0,4402243.727178361,5044684.333788129,86568.5207588901,1_Io,656HIA,2021-08-17T05:24:07,20210817UT
3,1346.0,476.0,5125609.366639528,3671440.269510326,129269.62984735021,3_Ganymede,656HIA,2021-08-17T05:24:07,20210817UT
