id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
1,986.0,683.0,1506483507.1333082,23677997.929057095,147876292.4191973,0_Jupiter,656HIA,2022-10-31T01:02:54,20221031UT
1,250.333,277.918,1491362.6654978262,2522921.6638819836,54526.70415420823,4_Callisto,656HIA,2022-10-31T01:02:54,20221031UT
2,674.035,488.655,1827625.4672513735,2569984.841170148,86388.11518125681,1_Io,656HIA,2022-10-31T01:02:54,20221031UT
3,1134.514,765.89,2280425.0331093734,2715689.6091014855,126204.14296963163,2_Europa,656HIA,2022-10-31T01:02:54,20221031UT
4,1282.841,889.552,2685318.646336341,2589873.9934693277,171411.5898785343,3_Ganymede,656HIA,2022-10-31T01:02:54,20221031UT
1,986.0,683.0,2186364398.85045,23378373.75414307,215899459.54309654,0_Jupiter,632OI,2022-10-31T01:03:38,20221031UT
1,250.333,277.918,1737680.7841414395,2529174.353093501,78924.04017313766,4_Callisto,632OI,2022-10-31T01:03:38,20221031UT
2,674.035,488.655,2170374.413840538,2563043.6614984283,120923.30407786272,1_Io,632OI,2022-10-31T01:03:38,20221031UT
3,1134.514,765.89,2751016.072057949,2677813.3252035184,174683.60751066293,2_Europa,632OI,2022-10-31T01:03:38,20221031UT
4,1282.841,889.552,3378007.5872330363,2600834.7765493114,240269.45460270444,3_Ganymede,632OI,2022-10-31T01:03:38,20221031UT
1,986.0,683.0,2213282012.5512114,23419048.31601894,218586459.01324573,0_Jupiter,620CH4,2022-10-31T01:04:23,20221031UT
1,250.333,277.918,1838794.4078330086,2542944.738417674,88519.01309263808,4_Callisto,620CH4,2022-10-31T01:04:23,20221031UT
2,674.035,488.655,2338693.495594809,2580178.019542272,137112.67382664568,1_Io,620CH4,2022-10-31T01:04:23,20221031UT
3,1134.514,765.89,3030775.6467696996,2698937.2024307502,201867.41958581685,2_Europa,620CH4,2022-10-31T01:04:23,20221031UT
4,1282.841,889.552,3763919.2753508,2609100.3995216126,278550.66255301953,3_Ganymede,620CH4,2022-10-31T01:04:23,20221031UT
1,986.0,683.0,1953844987.3847528,24038696.00234727,192570212.37722486,0_Jupiter,647NH3,2022-10-31T01:05:07,20221031UT
1,250.333,277.918,1698089.8366143485,2525665.53306478,75096.5261715056,4_Callisto,647NH3,2022-10-31T01:05:07,20221031UT
2,674.035,488.655,2111608.298563249,2568767.4898983855,114832.04898513547,1_Io,647NH3,2022-10-31T01:05:07,20221031UT
3,1134.514,765.89,2696808.656673032,2691050.0855255025,168766.48746009683,2_Europa,647NH3,2022-10-31T01:05:07,20221031UT
4,1282.841,889.552,3301875.2051648116,2591145.214939852,233019.57495623673,3_Ganymede,647NH3,2022-10-31T01:05:07,20221031UT
1,986.0,683.0,690592619.4431975,21283317.957292516,66567556.427368425,0_Jupiter,730OII,2022-10-31T01:05:51,20221031UT
1,250.333,277.918,1380691.8168479581,2500746.0943151317,44291.203147978384,4_Callisto,730OII,2022-10-31T01:05:51,20221031UT
2,674.035,488.655,1635831.5513762175,2532679.05955639,68607.69040425713,1_Io,730OII,2022-10-31T01:05:51,20221031UT
3,1134.514,765.89,1989623.99372186,2580055.4184936592,102210.32117867378,2_Europa,730OII,2022-10-31T01:05:51,20221031UT
4,1282.841,889.552,2313633.1147688865,2541443.021630315,136059.19816575182,3_Ganymede,730OII,2022-10-31T01:05:51,20221031UT
