ObsID,NH3 Time,CM1,CM2,CM3,Telescope,FL,Camera,Seeing,Transparency,CH4 Abs / PCloud,CH4 Qual,NH3 Abs / fc(NH3),NH3Qual,RGB Context
20220730UTa,2022-07-30_07:29:48,334.5,35.4,310.4,VLT,5600mm,MUSE,'7/10','7/10',2022-07-30-0729_8-Jupiter_R656G620B632-MUSE-RGB-Smth-WthBal,1,2022-07-30-0729_8-Jupiter_R656G647B632-MUSE-RGB-Smth-WthBal,1,2022-07-30-0729_8-Jupiter_R650G550B480-MUSE-RGB-Str
20220810UTa,2022-08-10_10:13:00,11.8,347.8,265.8,C11,5600mm,ASI120MM,'7/10','7/10',2022-08-10-1014_8-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-08-10-1013_0-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-08-10-1030_0-Jupiter_WV-R(AllRED)GB-RGB-WhtBal-Wavelets-Str
20220812UTa,2022-08-12_10:25:30,335.4,296.1,214.6,C11,5600mm,ASI120MM,'7/10','3/10',2022-08-12-1025_5-Jupiter_NoWV-R656G620B632-RGB-WhtBal-CorrectedLabel,1,2022-08-12-1025_5-Jupiter_NoWV-R656G647B632-RGB-WhtBalHP-CorrectedLabel,1,2022-08-12-1033_8-Jupiter_WV-R(AllRed)GB-RGB-WhtBal-Wavelets
20220818UTa,2022-08-18_07:33:24,98.5,14.3,294.4,C11,5600mm,ASI120MM,'7/10','7/10',2022-08-18-0734_3-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-08-18-0733_4-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-08-18-0745_4-Jupiter_AllRED-WV-RGB-WhtBal-Wavelets
20220828UTa,2022-08-28_06:08:12,186.7,26.7,309.4,C11,5600mm,ASI120MM,'6/10','7/10',2022-08-28-0608_2-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-08-28-0608_2-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-08-28-0601_3-Jupiter-RGB-JamesWillinghan-j220828a1
20220830UTa,2022-08-30_05:59:06,137.2,322.0,245.2,C11,5600mm,ASI120MM,'7/10','7/10',2022-08-30-0559_2-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-08-30-0559_1-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-08-28-1429_7-Jupiter-RGB-Arakawa-j220828e1
20220901UTa,2022-09-01_06:04:54,96.8,266.3,190.1,C11,5600mm,ASI120MM,'6/10','7/10',2022-09-01-0604_9-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-01-0604_9-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-01-0618_0-Jupiter-Rivera-j220901l1
20220904UTa,2022-09-04_06:38:12,231.2,17.6,302.2,C11,5600mm,ASI120MM,'7/10','7/10',2022-09-04-0638_9-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-04-0638_2-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-04-1644_7-Jupiter-Yamane-j220904j4
20220905UTa,2022-09-05_05:59:06,5.4,144.4,69.2,C11,5600mm,ASI120MM,'7/10','7/10',2022-09-05-0559_2-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-05-0559_1-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-05-1559_0-Jupiter_j220905l1_Michael_Wong
20220912UTa,2022-09-12_05:33:24,16.0,101.7,28.4,C11,5600mm,ASI120MM,'8/10','7/10',2022-09-12-0533_4-Jupiter_WV-R656G620B632-RGB-WhtBal,1,2022-09-12-0533_4-Jupiter_WV-R656G647B632-RGB-WhtBal,1,2022-09-12-0532_3-Jupiter_WV-R685G550B450-RGB-WhtBal-ClrSmth-Wavelets
20220913UTa,2022-09-13_04:57:24,152.1,230.3,157.3,C11,5600mm,ASI120MM,'6/10','7/10',2022-09-13-0457_4-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-13-0457_4-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-13-0455_6-Jupiter_WV-R685G550B450-RGB-WhtBal-ClrSmth-Wavelets
20220919UTa,2022-09-19_03:52:18,340.6,13.5,302.0,VLT,5600mm,MUSE,'6/10','7/10',2022-09-19-0352_3-Jupiter-VLT-R656G620B632-RGB-WhtBal-MedFilt,1,2022-09-19-0352_3-Jupiter-VLT-R656G647B632-RGB-WhtBal-MedFilt,1,2022-09-19-0352_3-Jupiter-MUSE-R650G550B450-RGB-WhtBal-Filtered
20220919UTb,2022-09-19_04:53:24,17.9,50.4,339.0,C11,5600mm,ASI120MM,'6/10','7/10',2022-09-19-0452_7-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-19-0453_4-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-19-0518_7-Jupiter_WV-R685G550B450-RGB-WhtBal-Wavelets
20220925UTa,2022-09-25_06:15:36,296.2,282.5,212.7,C11,5600mm,ASI120MM,'5/10','7/10',2022-09-25-0615_4-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-09-25-0615_6-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-09-25-0546_6-Jupiter_WV-R685G550B450-RGB-WhtBal-Wavelets
20221009UTa,2022-10-09_04:01:30,266.7,146.9,80.8,C11,5600mm,ASI120MM,'7/10','7/10',2022-10-09-0401_5-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-10-09-0401_5-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-10-09-0339_0-Jupiter_WV-R685G550B450-RGB-WhtBal-Wavelets
20221009UTb,2022-10-09_05:24:30,317.3,197.1,131.0,C11,5600mm,ASI120MM,'7/10','7/10',2022-10-09-0524_5-Jupiter_NoWV-R656G620B632-RGB-WhtBal,1,2022-10-09-0524_5-Jupiter_NoWV-R656G647B632-RGB-WhtBal,1,2022-10-09-0542_8-Jupiter_NoWV-R685G550B450-RGB-WhtBal-Str0to160-Wavelets
20221013UTa,2022-10-13_03:45:30,168.9,18.7,313.6,C11,5600mm,ASI120MM,'5/10','8/10',2022-10-13-0345_5-Jupiter-NoWV-R656G620B632-RGB-WhtBal,1,2022-10-13-0345_5-Jupiter-NoWV-R656G647B632-RGB-WhtBal,1,2022-10-13-0402_0-Jupiter-WV-R685G550B450-RGB-WhtBal-Wavelets
