Date,Camera,Map,380NUV,450BLU,467HeII,501OIII,550GRN,550OPN,620CH4,632OI,647,650RED,656HIA,658NII,672SII,685NIR,730OII,742NIR,807NIR,889CH4,940NIR,1000NIR
20050225UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050524UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050619UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060502UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060511UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060707UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070616UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070630UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070703UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080812UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080819UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080916UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080917UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090904UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090927UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090930UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091110UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100920UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100926UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100929UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101015UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101225UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20111211UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120110UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120309UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20121222UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20121223UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130106UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130118UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20131213UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140313UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150310UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150311UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150623UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160403UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160422UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160503UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160504UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170413UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170414UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170505UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170525UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170605UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170615UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170616UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180612UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180613UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180614UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180626UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20180710UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180712UT,CMOS,,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20180715UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180718UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180801UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20180813UT,CMOS,,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20190711UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190724UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20190813UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
20190814UT,CMOS,,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
