Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,6,32,1772.3636474609375,151.80551147460938
xyfnh3max,2,1,65,2095.947265625,141.56068420410156
xyfnh3max,3,-2,78,2019.8619384765625,141.0072784423828
xyfnh3max,4,4,86,1824.1759033203125,138.76480102539062
xyfnh3max,5,1,106,1848.0526123046875,126.16202545166016
xyfnh3max,6,6,130,1809.2567138671875,152.0067596435547
xyfnh3max,7,2,151,1856.71533203125,128.25758361816406
xyfnh3max,8,5,180,1918.8082275390625,147.89913940429688
xyfnh3max,9,4,201,1855.641357421875,158.52101135253906
xyfnh3max,10,3,216,1829.760986328125,142.07252502441406
xyfnh3max,11,4,240,1829.989990234375,144.8387451171875
xyfnh3max,12,0,265,1930.1942138671875,128.0575714111328
xyfnh3max,13,6,280,1831.2108154296875,142.76806640625
xyfnh3max,14,1,309,1853.2955322265625,122.38634490966797
xyfnh3max,15,-3,324,1969.1575927734375,127.02625274658203
xyfnh3max,16,5,325,1797.0244140625,131.26173400878906
xyfnh3max,17,4,352,1830.6514892578125,126.2266616821289
xyfnh3min,1,-7,16,1718.645263671875,79.32315063476562
xyfnh3min,2,-8,26,1822.407958984375,95.01061248779297
xyfnh3min,3,-10,114,1900.684814453125,87.22821807861328
xyfnh3min,4,-10,136,1892.5621337890625,88.66671752929688
xyfnh3min,5,10,148,1785.7890625,78.08161163330078
xyfnh3min,6,-8,302,1765.669189453125,90.50181579589844
xyfnh3min,7,11,309,1739.8197021484375,74.32337188720703
xyfnh3min,8,11,316,1719.223388671875,73.90254974365234
xyfnh3min,9,-7,338,1825.9449462890625,89.90718841552734
xyfnh3min,10,9,342,1791.5455322265625,75.04560852050781
xyPcldmax,1,-3,23,1858.4766845703125,119.05794525146484
xyPcldmax,2,-6,39,1984.6934814453125,115.02751159667969
xyPcldmax,3,7,42,1908.3095703125,126.03099822998047
xyPcldmax,4,-4,47,1971.9859619140625,123.90489959716797
xyPcldmax,5,-3,61,2131.899658203125,134.68099975585938
xyPcldmax,6,-1,66,2131.966064453125,139.97036743164062
xyPcldmax,7,-5,80,2079.952392578125,134.4074249267578
xyPcldmax,8,-10,98,1937.900634765625,97.30875396728516
xyPcldmax,9,-2,98,1926.555419921875,120.10485076904297
xyPcldmax,10,-3,111,1932.46533203125,119.78424835205078
xyPcldmax,11,-10,111,1919.680908203125,89.68466186523438
xyPcldmax,12,9,133,1956.39599609375,137.9716339111328
xyPcldmax,13,-6,154,1900.040771484375,105.79560852050781
xyPcldmax,14,0,158,1918.8372802734375,122.6594467163086
xyPcldmax,15,-7,161,1905.37255859375,97.3367691040039
xyPcldmax,16,-8,176,1953.9246826171875,104.47946166992188
xyPcldmax,17,6,183,1951.35302734375,141.09906005859375
xyPcldmax,18,-5,188,1924.8531494140625,116.80565643310547
xyPcldmax,19,-5,204,2036.38427734375,122.65835571289062
xyPcldmax,20,-6,223,1970.401611328125,109.9305419921875
xyPcldmax,21,9,241,1898.492919921875,116.8458023071289
xyPcldmax,22,-3,243,1912.6119384765625,117.76683807373047
xyPcldmax,23,-6,267,1984.4224853515625,108.23490905761719
xyPcldmax,24,-2,288,1986.2236328125,115.19497680664062
xyPcldmax,25,-10,289,1945.35986328125,105.4742431640625
xyPcldmax,26,-1,312,1886.1820068359375,116.70711517333984
xyPcldmax,27,-5,324,2010.130615234375,118.86048126220703
xyPcldmax,28,8,326,1881.4190673828125,122.80231475830078
xyPcldmax,29,-3,353,2079.888916015625,121.76318359375
xyPcldmin,1,-6,17,1705.840087890625,93.33451843261719
xyPcldmin,2,-6,28,1810.848876953125,102.428955078125
xyPcldmin,3,11,33,1778.1409912109375,103.61116790771484
xyPcldmin,4,9,51,1738.3277587890625,91.03433990478516
xyPcldmin,5,7,77,1602.4212646484375,116.16275024414062
xyPcldmin,6,6,120,1559.61328125,114.21137237548828
xyPcldmin,7,8,152,1691.3328857421875,91.67574310302734
xyPcldmin,8,7,168,1615.803955078125,95.00736236572266
xyPcldmin,9,7,194,1629.35595703125,111.89444732666016
xyPcldmin,10,9,213,1675.039306640625,94.4421615600586
xyPcldmin,11,-5,213,1829.596435546875,109.8749771118164
xyPcldmin,12,8,231,1612.3326416015625,96.71973419189453
xyPcldmin,13,-7,235,1819.1422119140625,97.99549102783203
xyPcldmin,14,-7,247,1849.9227294921875,101.43632507324219
xyPcldmin,15,10,251,1686.610107421875,87.07847595214844
xyPcldmin,16,8,272,1627.6678466796875,98.11705017089844
xyPcldmin,17,8,298,1674.77490234375,84.15945434570312
xyPcldmin,18,-9,304,1750.5111083984375,93.78104400634766
xyPcldmin,19,7,317,1581.979736328125,93.85801696777344
xyPcldmin,20,-7,331,1805.273681640625,94.0525131225586
xyPcldmin,21,6,342,1698.109375,94.7947998046875
