Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,19,349,-4,11,107.5055739307874,1781.5277790959412,0.6685341000556946
1,N/A,0.0,22,338,-7,22,101.12836505470757,1812.1256842248738,0.6295051574707031
2,N/A,0.0,8,321,7,39,106.3154874067025,1584.5608390416126,0.6264239251613617
3,N/A,0.0,20,304,-5,56,102.50042019265976,1817.4412233466571,0.7402749760397548
4,N/A,0.0,9,270,6,90,118.43448592471078,1570.8275180979822,0.5960784554481506
5,N/A,0.0,19,73,-4,287,122.57434778067088,1798.289992144218,0.6627451181411743
6,N/A,0.0,7,72,8,288,132.400230874913,1672.6446485163035,0.6235294342041016
7,N/A,0.0,7,55,8,305,102.67458017467114,1746.171620014945,0.6838235482573509
8,N/A,0.0,8,48,7,312,107.7487860811226,1728.4308556875742,0.7561059641210658
9,N/A,0.0,10,39,5,321,124.71089426354906,1717.6737422674262,0.7250544826189677
10,N/A,0.0,7,12,8,348,107.65998833208319,1808.3056690205929,0.6705882549285889
