Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,16,354,-1,6,119.54097718202571,1840.3485532261982,0.5393464197715124
1,N/A,0.0,13,343,2,17,121.08151784563107,1878.0560147104552,0.5183183389741021
2,N/A,0.0,15,335,0,25,111.57071728780961,1877.496646832651,0.5132026334603627
3,N/A,0.0,16,322,-1,38,113.41752793915931,1865.7740405825962,0.5220246423584547
4,N/A,0.0,4,312,11,48,114.40285360201744,1878.8980202091238,0.3843137323856354
5,N/A,0.0,15,303,0,57,119.61520533448473,1877.6146469440446,0.5611111298203468
6,N/A,0.0,4,301,11,59,107.63512110545776,1979.6899092926953,0.38518519202868146
7,N/A,0.0,15,282,0,78,119.69141345542772,1930.4003912755766,0.5247059047222137
8,N/A,0.0,14,73,1,287,138.75890138995646,1799.8787957751447,0.5490196347236633
9,N/A,0.0,24,24,-9,336,93.33521474573696,1835.0426658474125,0.5507625506983863
10,N/A,0.0,25,16,-10,344,92.14953291967271,1819.373719526329,0.5581699576642778
