#  WV (nm)   Kark1994  MUSE 0730  MUSE 0919     T620       T632       T647       T656       CH4        NH3
   600.000  0.5212000  0.4723418  0.5310596  0.0000000  0.0000000  0.0000000  0.0000000  0.0220000  0.0238337
   600.500  0.5226500  0.4721615  0.5327829  0.0000000  0.0000000  0.0000000  0.0000000  0.0195750  0.0315319
   601.000  0.5230500  0.4716715  0.5328351  0.0000000  0.0000000  0.0000000  0.0000000  0.0178500  0.0392302
   601.500  0.5228500  0.4718512  0.5320642  0.0000000  0.0000000  0.0000000  0.0000000  0.0155250  0.0972694
   602.000  0.5217000  0.4713636  0.5323456  0.0000000  0.0000000  0.0000000  0.0000000  0.0131000  0.1553086
   602.500  0.5207750  0.4724055  0.5307694  0.0000000  0.0000000  0.0000000  0.0000000  0.0113000  0.2899273
   603.000  0.5198000  0.4729621  0.5309064  0.0000000  0.0000000  0.0000000  0.0000000  0.0099000  0.4245460
   603.500  0.5195750  0.4731029  0.5312685  0.0000000  0.0000000  0.0000000  0.0000000  0.0090250  0.5051560
   604.000  0.5206000  0.4733968  0.5309534  0.0000000  0.0000000  0.0000000  0.0000000  0.0085000  0.5857660
   604.500  0.5222750  0.4727150  0.5314292  0.0000000  0.0000000  0.0000000  0.0000000  0.0086000  0.5602395
   605.000  0.5227500  0.4725008  0.5307931  0.0000000  0.0000000  0.0000000  0.0000000  0.0095000  0.5347130
   605.500  0.5209000  0.4715868  0.5294273  0.0000000  0.0000000  0.0000000  0.0000000  0.0111500  0.5212780
   606.000  0.5197000  0.4709918  0.5287855  0.0000000  0.0000000  0.0000000  0.0000000  0.0132000  0.5078430
   606.500  0.5194500  0.4706724  0.5279427  0.0000000  0.0000000  0.0000000  0.0000000  0.0166500  0.4729120
   607.000  0.5198500  0.4705118  0.5275867  0.0000000  0.0000000  0.0000000  0.0000000  0.0202000  0.4379810
   607.500  0.5199500  0.4695058  0.5277924  0.0035972  0.0000000  0.0000000  0.0000000  0.0239750  0.3694625
   608.000  0.5194000  0.4686143  0.5263025  0.0062547  0.0000000  0.0000000  0.0000000  0.0298000  0.3009440
   608.500  0.5185750  0.4683398  0.5258869  0.0068851  0.0000000  0.0000000  0.0000000  0.0357250  0.2490849
   609.000  0.5185000  0.4680612  0.5247593  0.0078719  0.0000000  0.0000000  0.0000000  0.0383500  0.1972258
   609.500  0.5186500  0.4684575  0.5236190  0.0126406  0.0000000  0.0000000  0.0000000  0.0391000  0.1543682
   610.000  0.5175000  0.4687283  0.5230591  0.0259428  0.0000000  0.0000000  0.0000000  0.0413000  0.1115105
