id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
1,879.586,329.834,25772168.60456863,14658706.825993659,1076344.4668890797,0_Jupiter,889CH4,2020-09-02T03:16:55,20200902UT
1,1062.392,327.706,761584.092810415,1827803.7420142815,9519.711194382427,1_Io,889CH4,2020-09-02T03:16:55,20200902UT
2,1242.608,333.763,741656.1908204188,1839342.5528323634,6487.841688535307,2_Europa,889CH4,2020-09-02T03:16:55,20200902UT
1,879.586,329.834,38916078.16265994,16101226.13952871,2360689.6699330835,0_Jupiter,940NIR,2020-09-02T03:19:50,20200902UT
1,1062.392,327.706,772198.527168165,2009024.2626591106,2213.462196588064,1_Io,940NIR,2020-09-02T03:19:50,20200902UT
2,1242.608,333.763,768397.720580265,2006615.3983981637,1872.581903641605,2_Europa,940NIR,2020-09-02T03:19:50,20200902UT
1,879.586,329.834,77311633.05714332,16513612.758363692,6821014.47042014,0_Jupiter,1000NIR,2020-09-02T03:22:57,20200902UT
1,1062.392,327.706,874341.7058353,2051926.1400670642,12337.57686001776,1_Io,1000NIR,2020-09-02T03:22:57,20200902UT
2,1242.608,333.763,841144.1612798433,2043278.0321341874,8813.517556414474,2_Europa,1000NIR,2020-09-02T03:22:57,20200902UT
1,879.586,329.834,1654898024.490728,21573489.080347814,162964125.6786906,0_Jupiter,647CNT,2020-09-02T03:26:10,20200902UT
1,1062.392,327.706,2348127.3206506083,2532062.163540695,139860.40093228477,1_Io,647CNT,2020-09-02T03:26:10,20200902UT
2,1242.608,333.763,1897905.9770901366,2475055.305653345,96976.02374701323,2_Europa,647CNT,2020-09-02T03:26:10,20200902UT
1,879.586,329.834,1270740480.7602658,21939955.95334439,124505467.86685455,0_Jupiter,656HIA,2020-09-02T03:29:19,20200902UT
1,1062.392,327.706,1971330.2515224926,2574220.9372307295,100599.74000609691,1_Io,656HIA,2020-09-02T03:29:19,20200902UT
2,1242.608,333.763,1654528.6895444565,2503934.807552226,71555.31367123718,2_Europa,656HIA,2020-09-02T03:29:19,20200902UT
1,988.256,694.938,35534265.14146927,20627500.857563823,1138499.5844809182,0_Jupiter,889CH4,2020-09-03T03:27:29,20200903UT
1,474.45,704.147,1087313.424046246,2576772.5030096485,12102.373541762785,3_Ganymede,889CH4,2020-09-03T03:27:29,20200903UT
2,760.099,696.835,1056599.584794253,2581550.7293458963,8851.806128954213,1_Io,889CH4,2020-09-03T03:27:29,20200903UT
1,988.256,694.938,51757967.68238132,18645504.388164416,3325453.83291529,0_Jupiter,940NIR,2020-09-03T03:30:09,20200903UT
1,474.45,704.147,905448.0861402832,2314702.508619466,4159.405045331495,3_Ganymede,940NIR,2020-09-03T03:30:09,20200903UT
2,760.099,696.835,898105.3941167023,2329512.9770556614,2726.447524536582,1_Io,940NIR,2020-09-03T03:30:09,20200903UT
1,988.256,694.938,101355934.20935337,20881672.57553201,7690909.8023364665,0_Jupiter,1000NIR,2020-09-03T03:32:38,20200903UT
1,474.45,704.147,1142479.5075513725,2586284.3370426716,17262.288116037067,3_Ganymede,1000NIR,2020-09-03T03:32:38,20200903UT
2,760.099,696.835,1096410.4796976838,2593357.9077383606,12390.126429579861,1_Io,1000NIR,2020-09-03T03:32:38,20200903UT
1,988.256,694.938,1771168516.3982167,22913436.62120884,174434302.96221673,0_Jupiter,647CNT,2020-09-03T03:40:30,20200903UT
1,474.45,704.147,3096052.6526123527,2657054.7525700433,209965.71203985866,3_Ganymede,647CNT,2020-09-03T03:40:30,20200903UT
2,760.099,696.835,2508044.1630746946,2692868.590147131,149821.84417695203,1_Io,647CNT,2020-09-03T03:40:30,20200903UT
1,988.256,694.938,1352665024.4385128,23596165.621516336,132504024.51742986,0_Jupiter,656HIA,2020-09-03T03:43:02,20200903UT
1,474.45,704.147,2519981.5359929935,2683080.839504293,151382.62211788836,3_Ganymede,656HIA,2020-09-03T03:43:02,20200903UT
2,760.099,696.835,2153728.103278323,2726984.0405228306,113110.90880822616,1_Io,656HIA,2020-09-03T03:43:02,20200903UT
1,988.256,694.938,35854774.55693637,20857335.433657553,1143643.0634605573,0_Jupiter,889CH4,2020-09-03T03:46:55,20200903UT
1,474.45,704.147,1111646.0605530664,2604510.437012594,13495.464667334372,3_Ganymede,889CH4,2020-09-03T03:46:55,20200903UT
2,760.099,696.835,1074973.9000302805,2600366.531043335,9983.645088902977,1_Io,889CH4,2020-09-03T03:46:55,20200903UT
1,988.256,694.938,57598999.14167145,20920726.83838329,3310644.0891856863,0_Jupiter,940NIR,2020-09-03T03:49:29,20200903UT
1,474.45,704.147,1017708.7249998639,2603836.9349245653,4126.987440315192,3_Ganymede,940NIR,2020-09-03T03:49:29,20200903UT
2,760.099,696.835,1007259.6573545781,2602641.2732945313,3126.9179869128975,1_Io,940NIR,2020-09-03T03:49:29,20200903UT
1,988.256,694.938,97073549.90699652,21108503.70525544,7236115.532523406,0_Jupiter,1000NIR,2020-09-03T03:52:02,20200903UT
1,474.45,704.147,1146956.362576559,2606851.1353914384,16938.718680476955,3_Ganymede,1000NIR,2020-09-03T03:52:02,20200903UT
2,760.099,696.835,1110708.8699370706,2620342.4783960553,12808.04405385498,1_Io,1000NIR,2020-09-03T03:52:02,20200903UT
1,855.706,484.514,69975750.28855203,44472321.46995096,918491.971573467,0_Jupiter,889CH4,1972-08-07T04:26:01,20200904UT
1,313.42,482.301,2287952.073613167,5558552.750738482,10435.630363396727,3_Ganymede,889CH4,1972-08-07T04:26:01,20200904UT
2,507.593,481.448,2209839.200946385,5558044.191814406,6439.622000819645,2_Europa,889CH4,1972-08-07T04:26:01,20200904UT
3,1078.132,484.594,2234079.4295364255,5556242.780027155,7717.353180832946,1_Io,889CH4,1972-08-07T04:26:01,20200904UT
4,1404.567,497.557,2140332.505912386,5542433.843436512,3175.375108907381,4_Callisto,889CH4,1972-08-07T04:26:01,20200904UT
1,855.706,484.514,90936138.90301053,43192513.72111791,2124699.6616300023,0_Jupiter,940NIR,1972-09-01T03:55:23,20200904UT
1,313.42,482.301,2066436.6833113,5382084.25194839,2534.478359508083,3_Ganymede,940NIR,1972-09-01T03:55:23,20200904UT
2,507.593,481.448,2048324.7249139945,5383817.8837302085,1547.0009744824522,2_Europa,940NIR,1972-09-01T03:55:23,20200904UT
3,1078.132,484.594,2054340.0771162217,5381740.460194962,1904.600239111086,1_Io,940NIR,1972-09-01T03:55:23,20200904UT
4,1404.567,497.557,2031175.657320527,5373428.6803034395,849.4685371966885,4_Callisto,940NIR,1972-09-01T03:55:23,20200904UT
1,855.706,484.514,149260897.60572022,39656379.752477914,5876223.796119288,0_Jupiter,1000NIR,1972-11-23T15:55:17,20200904UT
1,313.42,482.301,2091252.0157385883,4920197.865932874,14067.30377221488,3_Ganymede,1000NIR,1972-11-23T15:55:17,20200904UT
2,507.593,481.448,1990907.539628203,4918165.40169332,8376.886513897603,2_Europa,1000NIR,1972-11-23T15:55:17,20200904UT
3,1078.132,484.594,2028847.7769229894,4922228.441515533,10457.834934552253,1_Io,1000NIR,1972-11-23T15:55:17,20200904UT
4,1404.567,497.557,1922711.4327316196,4909359.6760180835,4668.660241419329,4_Callisto,1000NIR,1972-11-23T15:55:17,20200904UT
1,855.706,484.514,2232920944.8701773,35206112.334642105,151152002.26680312,0_Jupiter,647CNT,1973-06-30T11:46:22,20200904UT
1,313.42,482.301,4067260.3567017326,4120837.713593367,173927.3251106359,3_Ganymede,647CNT,1973-06-30T11:46:22,20200904UT
2,507.593,481.448,3111666.789027997,4143005.7657824997,107451.00874893513,2_Europa,647CNT,1973-06-30T11:46:22,20200904UT
3,1078.132,484.594,3353388.6600374896,4174357.2189297546,123310.66916819528,1_Io,647CNT,1973-06-30T11:46:22,20200904UT
4,1404.567,497.557,2339306.492860047,4084344.787354546,55701.87569669602,4_Callisto,647CNT,1973-06-30T11:46:22,20200904UT
1,855.706,484.514,1989132364.4556408,41800330.08299834,114129140.74418558,0_Jupiter,656HIA,1972-12-24T18:31:01,20200904UT
1,313.42,482.301,3944766.9231405216,4834494.9420852745,125401.8423446202,3_Ganymede,656HIA,1972-12-24T18:31:01,20200904UT
2,507.593,481.448,3146610.3010436846,4871036.557516074,77645.38776324452,2_Europa,656HIA,1972-12-24T18:31:01,20200904UT
3,1078.132,484.594,3403317.3564103334,4915516.672284197,91764.62378257408,1_Io,656HIA,1972-12-24T18:31:01,20200904UT
4,1404.567,497.557,2484651.8314423487,4762245.348225588,41106.460344573716,4_Callisto,656HIA,1972-12-24T18:31:01,20200904UT
1,926.365,714.827,1523487979.867481,23086235.736803375,149646019.16878086,0_Jupiter,647CNT,2020-09-13T03:27:04,20200913UT
1,643.549,695.872,1512576.6570291065,2678707.7670563837,50806.12443829627,4_Callisto,647CNT,2020-09-13T03:27:04,20200913UT
2,1083.464,719.539,2162074.905692519,2739396.173357576,113480.13406834281,1_Io,647CNT,2020-09-13T03:27:04,20200913UT
3,1162.836,703.617,2552725.619105612,2715386.4427617043,153445.57030699728,3_Ganymede,647CNT,2020-09-13T03:27:04,20200913UT
4,1227.99,723.549,1840911.9330050969,2678917.9680640725,83631.76949810695,2_Europa,647CNT,2020-09-13T03:27:04,20200913UT
1,926.365,714.827,1039032801.5544631,21133235.95371749,112699050.23835921,0_Jupiter,656HIA,2020-09-13T03:29:39,20200913UT
1,643.549,695.872,1246610.4637447894,2434481.4065852566,37075.54847503535,4_Callisto,656HIA,2020-09-13T03:29:39,20200913UT
2,1083.464,719.539,1677005.3824515692,2497583.690761502,82267.94426844509,1_Io,656HIA,2020-09-13T03:29:39,20200913UT
3,1162.836,703.617,1925804.8694629308,2459471.2008183347,111500.35212845058,3_Ganymede,656HIA,2020-09-13T03:29:39,20200913UT
4,1227.99,723.549,1471043.1260264574,2445968.852163445,61533.867385018384,2_Europa,656HIA,2020-09-13T03:29:39,20200913UT
