label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460647.0971130957,2024-12-02T14:19:50.571,302.0,0.8905960389898742,7.301324503311259,14.536423841059616,7.292301200627326,14.635011000170834,1650.9973096320116,1507.284670275435,1749.8937107202792,91.38945984715156,56.79153567420683,144.17629036192517
2,2460647.6241319445,2024-12-03T02:58:45.000,5.0,0.816496580927726,8.6,52.19999999999999,8.599831879926,52.20081494297142,1740.9964924186502,1738.3277413179628,1744.0949260626066,94.21382303882025,90.91760517775958,100.18587612336789
3,2460647.6241319445,2024-12-03T02:58:45.000,2.0,1.0,10.0,55.5,10.0,55.49938653779469,1747.741743075967,1745.5973960679935,1749.8860900839402,90.03125516838463,89.8775865053636,90.18492383140565
4,2460647.634483507,2024-12-03T03:13:39.375,106.0,0.7782922952596687,8.245283018867925,76.14150943396226,8.261934122426606,76.14338366397419,1686.4787800716078,1602.4212811810462,1749.6016643912426,106.5408981362888,77.34661222079365,137.05277361061562
5,2460647.6804979313,2024-12-03T04:19:55.021,284.0,0.9552529051789819,7.348591549295775,113.34154929577466,7.359072840625108,113.28995996073681,1676.5192847215626,1559.6133308031929,1749.729245711715,101.72211829271554,73.95954307525892,146.5125649753382
6,2460647.7346736114,2024-12-03T05:37:55.800,146.0,0.9685555724396275,7.8561643835616435,161.58219178082192,7.863980416473866,161.51423060213057,1705.2586965974397,1615.8039372106946,1749.7733376418653,93.68743602834712,77.95900315896438,124.26404162122172
7,2460647.773916933,2024-12-03T06:34:26.423,85.0,0.4261057002620437,8.035294117647059,193.69411764705882,8.03900411334875,193.6911953073399,1699.7548297450373,1629.3559325698677,1749.9405646767684,106.01422666545017,80.07726601837038,149.2745400458493
8,2460647.6965625,2024-12-03T04:43:03.000,205.0,0.9556485722020744,8.77560975609756,223.58536585365854,8.777889716143951,223.53122829485838,1697.3208763341847,1612.3326928953854,1749.9613732372693,98.4142458177816,72.99367263279129,137.1978393450952
9,2460646.9874179293,2024-12-02T11:41:52.909,229.0,0.9544498741420212,9.655021834061134,264.4192139737991,9.664446233635445,264.3622106413036,1705.4512104646765,1627.6678722181955,1748.712881859288,89.27774923714773,65.66193427255588,141.49699794491158
10,2460646.6703055557,2024-12-02T04:05:14.400,200.0,0.9703686478269677,7.67,309.825,7.675446827367031,309.71520560640215,1692.479332870125,1585.3364689264406,1749.040677994757,94.32422808531808,72.85439207493637,127.37149922778319
11,2460646.7010714286,2024-12-02T04:49:32.571,51.0,0.9441670738319101,5.96078431372549,340.03921568627453,5.961362968574992,340.0310845110536,1731.8250352297146,1692.9439718952156,1749.8978670116921,95.43018321094107,74.37893188477518,109.37787808782551
12,2460646.714548611,2024-12-02T05:08:57.000,20.0,0.7893395333182772,9.4,358.85,9.398691938646884,358.84075323541623,1701.206398078279,1666.4996232753842,1746.4916897530675,78.35115621620531,65.74228911005697,104.03403525263707
