Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,2025-10-16T08:49:18.375,2460964.867573785,17,76,-2,249,132.75802547375352,1885.0948715649818,0.6664215885102749
NH3,maxima,1,2025-10-16T08:51:43.320,2460964.869251389,11,74,4,251,133.32841687263553,1853.2162063404876,0.6450196290016175
NH3,maxima,2,2025-10-16T09:22:45.918,2460964.8908092403,12,54,3,271,141.05844495500637,1828.5685034354944,0.6874750086239405
NH3,maxima,3,2025-10-16T10:07:28.500,2460964.9218576388,12,24,3,301,144.11274156587135,1825.422008775475,0.6854902118444443
NH3,maxima,4,2025-10-16T10:22:10.615,2460964.9320673076,16,15,-1,310,140.7420853409821,1823.6885313073205,0.6841629147529602
PCloud,maxima,0,2025-10-16T09:19:22.846,2460964.8884588676,5,57,10,268,107.75222646010427,1872.218412295302,0.5571644306182861
PCloud,maxima,1,2025-10-16T10:02:28.923,2460964.918390313,7,26,8,299,124.56044508619634,1888.536056088984,0.577777801415859
PCloud,maxima,2,2025-10-16T10:25:27.385,2460964.934344729,25,14,-10,311,115.51977737278796,1934.378163592758,0.5839115373599223
PCloud,minima,0,2025-10-16T08:45:16.800,2460964.864777778,7,80,8,245,116.71932128364361,1812.0102327893826,0.6611764907836915
PCloud,minima,1,2025-10-16T09:05:18.500,2460964.8786863424,9,65,6,260,129.44961431383192,1806.7573286146085,0.6632353141903876
PCloud,minima,2,2025-10-16T09:20:27.882,2460964.8892116016,14,56,1,269,138.27154285119823,1807.8170025682552,0.6844290845534381
PCloud,minima,3,2025-10-16T09:42:55.080,2460964.904804167,7,43,8,282,125.28820549638655,1736.2189710427147,0.8176470696926117
PCloud,minima,4,2025-10-16T10:02:28.923,2460964.918390313,17,26,-2,299,140.82273554052034,1779.1644190988566,0.7813976987814291
PCloud,minima,5,2025-10-16T10:41:38.045,2460964.9455792294,6,6,9,319,111.36599734691848,1712.5539840001193,0.5785205242308702
RGB,maxima,0,2025-10-16T08:45:16.800,2460964.864777778,19,80,-4,245,129.79679392490908,1903.034878916519,0.7027451157569885
RGB,maxima,1,2025-10-16T08:51:43.320,2460964.869251389,9,74,6,251,128.45763330482143,1841.3043907816618,0.7041568803787231
RGB,maxima,2,2025-10-16T09:10:38.250,2460964.882387153,9,63,6,262,131.00115141916342,1827.6984689762023,0.6720588430762291
RGB,maxima,3,2025-10-16T09:26:39.125,2460964.8935083915,18,52,-3,273,134.9896227396246,1839.518441856667,0.8081699460744856
RGB,maxima,4,2025-10-16T09:42:55.080,2460964.904804167,8,43,7,282,131.4836608771729,1748.1230860887156,0.8201568734645844
RGB,maxima,5,2025-10-16T09:49:19.200,2460964.90925,19,35,-4,290,136.04171811473287,1843.621614483677,0.8274509906768799
RGB,maxima,6,2025-10-16T09:55:55.385,2460964.91383547,18,28,-3,297,137.85446635850647,1804.013032211676,0.8256410360336304
RGB,maxima,7,2025-10-16T10:36:33.000,2460964.9420486116,8,9,7,316,124.59433556352829,1741.5216182755812,0.6422969400882721
RGB,minima,0,2025-10-16T08:45:16.800,2460964.864777778,14,82,1,243,126.14130948998029,1900.7262022933737,0.5568627655506134
RGB,minima,1,2025-10-16T08:59:08.118,2460964.87439951,4,69,11,256,92.77465224818788,1855.2622302796844,0.4680507516159731
RGB,minima,2,2025-10-16T09:17:19.615,2460964.8870325857,5,58,10,267,105.51330221693907,1864.2668009254264,0.5422323048114777
RGB,minima,3,2025-10-16T09:29:19.000,2460964.895358796,7,51,8,274,113.24722921780175,1848.3820681902664,0.5670751892030238
RGB,minima,4,2025-10-16T10:17:06.000,2460964.928541667,7,19,8,306,116.14700162270634,1826.4791454649542,0.5512084108452465
RGB,minima,5,2025-10-16T10:36:33.000,2460964.9420486116,23,9,-8,316,118.56339705285819,1925.9186957821432,0.5453781741006034
