label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460646.7746682097,2024-12-02T06:35:31.333,33.0,0.7248156424647936,-2.6060606060606055,3.6060606060606233,-2.602798196169843,3.592425567996827,1994.1720499049768,1951.78928775823,2047.0916797663485,120.47352436495152,107.8796127710714,127.24450548979856
2,2460646.8420447535,2024-12-02T08:12:32.667,39.0,0.9479694862989504,-12.256410256410255,5.564102564102541,-12.257565556269626,5.5456467977402895,1974.7675065283354,1952.6292006576316,2010.8118153105609,97.74273517051049,91.88263813623485,102.97250512458989
3,2460647.010486111,2024-12-02T12:15:06.000,4.0,0.0,-12.5,14.5,-12.501035283139164,14.498665652187697,1958.5683506378211,1951.5281878930455,1970.092524629792,100.41404604829265,98.67689468978794,101.37337260081522
4,2460647.616875,2024-12-03T02:48:18.000,6.0,0.964307844353273,-11.166666666666668,36.833333333333314,-11.16629925579511,36.83408533170535,1955.4759043607262,1951.1651257227666,1964.050545348312,101.74767282316539,97.52754193068624,105.68317751426521
5,2460647.616875,2024-12-03T02:48:18.000,1.0,0,-14.0,37.0,-14.0,37.0,1955.1965990561505,1955.1965990561505,1955.1965990561505,101.30084360876896,101.30084360876896,101.30084360876896
6,2460647.616875,2024-12-03T02:48:18.000,33.0,0.5355445546685124,-6.424242424242426,37.75757575757575,-6.4209562587209845,37.757026805010184,1964.3107601892004,1950.159529050835,1984.693477837257,111.51737395138012,102.98356520599452,122.14941566164238
7,2460647.616875,2024-12-03T02:48:18.000,3.0,0.816496580927726,-13.333333333333332,39.666666666666686,-13.333887704966319,39.66703897519892,1954.2258050827122,1952.043080259068,1957.4759071350643,98.99604605985921,98.0912843136713,99.53979907114613
8,2460647.62141059,2024-12-03T02:54:49.875,9.0,0.9473269365801246,-13.555555555555557,44.666666666666686,-13.555758536758702,44.666826180300575,1960.2156052580638,1956.1201474460336,1963.929545714336,100.04701485110223,98.82310683438561,102.02773167838502
9,2460647.6313888887,2024-12-03T03:09:12.000,344.0,0.9506411008156634,-2.863372093023255,66.66860465116281,-2.8509064519666296,66.64552611670734,2019.9382146701148,1950.0897230735557,2131.9659937356164,130.420588055255,105.35709518748578,141.5606822558858
10,2460647.705939626,2024-12-03T04:56:33.184,2.0,1.0,8.5,130.0,8.500322306030085,130.0,1952.2968025404186,1951.0383284764723,1953.555276604365,141.07371893213684,137.1328984092,145.0145394550737
11,2460647.7484191176,2024-12-03T05:57:43.412,1.0,0,-8.0,171.0,-8.0,171.0,1950.1898537569518,1950.1898537569518,1950.1898537569518,102.10240842255851,102.10240842255851,102.10240842255851
12,2460647.7509291666,2024-12-03T06:01:20.280,1.0,0,-8.0,173.0,-8.0,173.0,1950.5278052384126,1950.5278052384126,1950.5278052384126,104.2251151091998,104.2251151091998,104.2251151091998
13,2460647.7601139937,2024-12-03T06:14:33.849,1.0,0,6.0,180.0,6.0,180.0,1951.3530479453257,1951.3530479453257,1951.3530479453257,141.09906652745423,141.09906652745423,141.09906652745423
14,2460647.7834444446,2024-12-03T06:48:09.600,6.0,1.0,15.0,199.5,15.0,199.50073079466625,1958.2504065933501,1951.528017521031,1971.5979810853169,77.05381963806595,74.39907188083934,80.4911607286156
15,2460647.7834444446,2024-12-03T06:48:09.600,57.0,0.7598520322619687,-4.2631578947368425,200.47368421052633,-4.266238888406168,200.47920868078222,1986.8750928730715,1951.96022550233,2036.3843319074952,122.63246741053558,106.47985137598103,136.7413908828409
16,2460647.7984479973,2024-12-03T07:09:45.907,30.0,0.8565862651579093,-5.633333333333333,219.86666666666667,-5.6312929752585426,219.8690101885217,1963.4828594330334,1950.3714134681038,1979.0214896433579,107.92532390687455,95.78040979483566,117.45584109494146
17,2460646.924560811,2024-12-02T10:11:22.054,14.0,0.78888009863203,-10.285714285714285,265.7857142857143,-10.285248637341564,265.785583861254,1955.41721805737,1950.4535161142505,1968.6212822311131,102.50792328243571,99.59217777310492,106.43583122400175
18,2460646.817817708,2024-12-02T07:37:39.450,64.0,0.8349557431141288,-4.0,272.046875,-3.9982890572501226,272.05250491196244,1963.6753709377576,1950.349927701173,1986.0058725310957,116.47264423609602,102.14987068826271,126.34249309833297
19,2460646.6530277776,2024-12-02T03:40:21.600,39.0,0.9210245037566599,-1.1025641025641022,295.1025641025641,-1.1024044768907686,295.1032118583539,1964.089252194438,1950.6350640652379,1984.2763743447524,118.7992386669392,112.02592516507926,124.64843508588014
20,2460646.6948511903,2024-12-02T04:40:35.143,218.0,0.967895770009374,-10.444954128440369,340.10550458715596,-10.449816360639954,340.1392171678439,1982.7862662864218,1950.6337806596734,2030.7322061184182,106.53006423970875,93.18752889460784,125.90891199991465
21,2460646.700034722,2024-12-02T04:48:03.000,2.0,1.0,15.0,347.5,15.0,347.4996779342673,1954.1295526380545,1952.8708363056608,1955.3882689704485,80.12997757759267,79.52123658716565,80.73871856801969
22,2460646.7013153597,2024-12-02T04:49:53.647,1.0,0,15.0,352.0,15.0,352.0,1954.4205995180234,1954.4205995180234,1954.4205995180234,76.746251192946,76.746251192946,76.746251192946
23,2460646.7027560766,2024-12-02T04:51:58.125,1.0,0,15.0,354.0,15.0,354.0,1954.4020299140636,1954.4020299140636,1954.4020299140636,77.20772936829037,77.20772936829037,77.20772936829037
24,2460646.7035461464,2024-12-02T04:53:06.387,59.0,0.8403529153316759,-2.9830508474576263,355.3898305084746,-2.983937886992276,355.4164621950403,2006.156538024515,1950.4183401180107,2081.203364093433,119.20061490843366,103.45331943887103,127.30709946456682
25,2460646.705289751,2024-12-02T04:55:37.034,3.0,1.0,15.0,357.0,15.0,357.00135288807684,1960.3224174567742,1951.756332353479,1969.4982971872416,77.08148752868296,75.76168674860048,78.59000843890945
