Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,2024-12-02T21:08:43.333,2460647.3810570985,9,330,6,30,148.8805859765759,1751.0216907944462,0.5093682088233806
NH3,maxima,1,2024-12-03T02:48:18.000,2460647.616875,18,322,-3,38,124.83206876251722,1937.749689391889,0.5045751829942068
NH3,maxima,2,2024-12-03T03:09:12.000,2460647.6313888887,14,297,1,63,141.5606822558858,2095.9471994874607,0.48705883622169494
NH3,maxima,3,2024-12-03T03:18:22.125,2460647.6377560757,17,284,-2,76,141.32473103617102,2020.8109934292615,0.5533496967206398
NH3,maxima,4,2024-12-03T03:33:20.087,2460647.6481491546,12,276,3,84,139.16374915943692,1846.2212283855085,0.56035808182281
NH3,maxima,5,2024-12-03T04:06:56.204,2460647.6714838436,14,257,1,103,126.16380858985126,1844.626375798655,0.5650260320731572
NH3,maxima,6,2024-12-03T04:49:37.347,2460647.7011267007,9,233,6,127,152.1973447407666,1811.1205527252605,0.5033213435387125
NH3,maxima,7,2024-12-03T05:19:31.800,2460647.721895833,13,212,2,148,128.1796929812114,1855.185079267467,0.5206274735927582
NH3,maxima,8,2024-12-03T06:11:22.200,2460647.7578958333,10,183,5,177,147.89913662937226,1918.808182445381,0.5352941370010376
NH3,maxima,9,2024-12-03T06:43:08.400,2460647.7799583334,11,162,4,198,158.5210088090339,1855.641346338337,0.5931764942407608
NH3,maxima,10,2024-12-03T07:07:49.200,2460647.797097222,12,147,3,213,142.3535383284513,1833.521834545191,0.5388235569000244
NH3,maxima,11,2024-12-03T00:39:50.526,2460647.5276681287,11,123,4,237,146.3178284676041,1820.7242869631016,0.5730650323001962
NH3,maxima,12,2024-12-02T16:16:59.538,2460647.1784668807,12,106,3,254,134.03863867525982,1840.4985965118344,0.5511312461816348
NH3,maxima,13,2024-12-02T11:28:28.737,2460646.97811038,14,97,1,263,130.14098325319955,1895.8955828261146,0.5424148808968695
NH3,maxima,14,2024-12-02T08:19:30.300,2460646.8468784722,14,89,1,271,129.37265788184905,1886.9772886293981,0.5382353171706199
NH3,maxima,15,2024-12-02T03:33:01.773,2460646.647937184,9,74,6,286,142.76418842680803,1835.5441451346587,0.5353832664814862
NH3,maxima,16,2024-12-02T03:41:28.941,2460646.65380719,25,64,-10,296,106.26143258303675,1935.3891340776652,0.5114187054774341
NH3,maxima,17,2024-12-02T04:06:45.283,2460646.671357442,13,48,2,312,122.69514481935282,1853.0908260048143,0.5426563300051779
NH3,maxima,18,2024-12-02T04:34:52.085,2460646.690880615,18,30,-3,330,125.90891199991465,1978.5682103037705,0.5634543382106943
NH3,maxima,19,2024-12-02T04:36:12.261,2460646.6918085753,10,29,5,331,132.41345456308227,1806.2678811226356,0.5979539881581846
NH3,minima,0,2024-12-02T11:26:35.333,2460646.9767978396,4,350,11,10,57.2604036031533,1643.891180750066,0.5141612401715031
NH3,minima,1,2024-12-02T12:15:06.000,2460647.010486111,22,346,-7,14,85.13794593469542,1784.0058955642028,0.6104575296243032
NH3,minima,2,2024-12-03T04:35:23.250,2460647.6912413193,25,242,-10,118,85.77565363274027,1894.3470145898664,0.5602941382676363
NH3,minima,3,2024-12-03T05:00:49.696,2460647.7089085146,25,227,-10,133,88.90117060493598,1889.7142373740148,0.5695652430472167
NH3,minima,4,2024-12-03T05:14:50.769,2460647.718643162,5,215,10,145,78.17566340243334,1782.7565361743116,0.6153846383094788
NH3,minima,5,2024-12-02T04:01:31.800,2460646.667729167,23,52,-8,308,91.02369104682852,1764.714182698161,0.6079215890169144
NH3,minima,6,2024-12-02T04:10:00.600,2460646.673618056,4,45,11,315,74.32337535757802,1739.8196445692952,0.5473725706338882
NH3,minima,7,2024-12-02T04:23:48.706,2460646.683202614,4,38,11,322,74.35137251872258,1716.7323066315425,0.5409458086771124
NH3,minima,8,2024-12-02T04:38:33.000,2460646.6934375,22,22,-7,338,92.96799285464981,1818.1616414787297,0.6823529601097106
NH3,minima,9,2024-12-02T04:45:18.000,2460646.698125,22,16,-7,344,90.49334240259331,1830.7872406432673,0.6662538898618597
NH3,minima,10,2024-12-02T04:48:03.000,2460646.700034722,6,13,9,347,75.51218674840166,1805.9618674780622,0.5931372791528702
PCloud,maxima,0,2024-12-03T02:48:18.000,2460647.616875,21,323,-6,37,115.02750779018736,1984.693477837257,0.5058823724587759
PCloud,maxima,1,2024-12-03T02:48:18.000,2460647.616875,8,320,7,40,126.03099517436435,1908.309606094114,0.47058823704719543
PCloud,maxima,2,2024-12-03T02:54:49.875,2460647.62141059,19,315,-4,45,123.90490072303862,1971.985957504808,0.48504902049899107
PCloud,maxima,3,2024-12-03T03:06:12.857,2460647.6293154764,18,301,-3,59,134.68100166405804,2131.899757316575,0.515126075063433
PCloud,maxima,4,2024-12-03T03:09:12.000,2460647.6313888887,16,296,-1,64,139.9703599066525,2131.9659937356164,0.4831372618675232
PCloud,maxima,5,2024-12-03T03:20:43.500,2460647.639392361,20,283,-5,77,133.11290821019398,2082.3753515928847,0.5159313939511776
PCloud,maxima,6,2024-12-03T03:51:38.681,2460647.6608643616,25,266,-10,94,97.53144870521194,1936.2597726427912,0.52540677976101
