Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
,1,2460590.592,2024-10-07T02:12:36.000,7,0.779634572,-4.285714286,3,-4.285101376,3.003002956,136.738833,135.0452317,138.3181409,1867.452222,1845.857054,1878.540273,,,,
,2,2460593.994,2024-10-10T11:51:00.000,1,0,4,119,4,119,136.3572862,136.3572862,136.3572862,1684.680958,1684.680958,1684.680958,,,,
,3,2460593.994,2024-10-10T11:51:00.000,5,0.985171431,2.8,122.4,2.80289444,122.3982421,135.7139371,135.0857046,136.4851374,1784.521478,1753.067255,1809.295336,,,,
5,4,2460591.995,2024-10-08T11:53:12.000,96,0.971083878,4.90625,200.1770833,4.925644425,200.0662148,141.2447576,135.1772097,151.3912523,1841.315695,1692.100427,1951.121836,,,,
,5,2460592.004,2024-10-08T12:05:24.000,1,0,5,216,5,216,135.5851728,135.5851728,135.5851728,1720.095137,1720.095137,1720.095137,,,,
,6,2460592.004,2024-10-08T12:05:24.000,5,0.896093326,-13.2,217.4,-13.19994483,217.4010142,137.9559123,137.3194604,138.6048868,1785.071525,1778.805351,1797.043853,,,,
,7,2460592.004,2024-10-08T12:05:24.000,1,0,-9,221,-9,221,136.3466957,136.3466957,136.3466957,1811.161837,1811.161837,1811.161837,,,,
,8,0,-04713-11-24T12:00:00.000,104,0.854474632,-0.067307692,223.4807692,-0.054277361,223.5015209,138.5221176,135.0396798,148.1116116,1724.195625,1601.484703,1900.315641,,,,
,9,2460592.993,2024-10-09T11:50:18.000,174,0.326973182,-0.390804598,302.908046,-0.327528548,302.7804471,146.8407695,135.008995,174.2308851,1686.962779,1477.887619,2018.391821,,,,
,10,2460593.001,2024-10-09T12:02:09.000,1,0,-3,331,-3,331,135.738454,135.738454,135.738454,1844.629476,1844.629476,1844.629476,,,,
,11,2460593.001,2024-10-09T12:02:09.000,1,0,0,333,0,333,137.0134737,137.0134737,137.0134737,1826.632155,1826.632155,1826.632155,,,,
,12,2460593.001,2024-10-09T12:02:09.000,173,0.947941856,-2.092485549,347.4855491,-2.113801529,347.6069725,141.5368139,135.0252354,152.552476,2049.740041,1904.148991,2130.285534,,,,
1,1,2460619.715,2024-11-05T05:10:01.680,48,0.779219279,6.625,25.29166667,6.64,25.3,142.17,135.19,151.36,1903.14,1756.42,2006.82,135,45,9,23.38231232
,2,2460619.717,2024-11-05T05:12:30.000,15,0.788609391,2.2,41.26666667,2.2,41.26,136.48,135.04,138.08,1953.88,1936.45,1971.49,135,45,9,
2,3,2460619.76,2024-11-05T06:14:18.000,67,0.847979113,6.313432836,76.62686567,6.33,76.64,142.45,135.12,153.88,1861.13,1712.54,1953.16,135,45,9,
3,4,2460619.814,2024-11-05T07:31:36.000,29,0.915847972,4.965517241,127.3103448,4.97,127.3,137.02,135.22,139.77,1780.69,1733.57,1811.91,135,45,9,
,5,2460619.824,2024-11-05T07:47:04.000,1,0,3,134,3,134,135.48,135.48,135.48,1812.08,1812.08,1812.08,135,45,9,
,6,2460619.835,2024-11-05T08:02:31.500,1,0,4,142,4,142,135.1,135.1,135.1,1851.03,1851.03,1851.03,135,45,9,
,7,2460619.835,2024-11-05T08:02:31.500,3,1,4,145,4,145,135.28,135.09,135.53,1850.85,1850.73,1851.04,135,45,9,
,8,2460619.836,2024-11-05T08:03:51.086,8,0.818534612,1.75,148.5,1.75,148.5,136.44,135.01,137.94,1868.77,1863.46,1878.72,135,45,9,
4,9,2460619.859,2024-11-05T08:37:39.818,5,0.981392429,4.8,169,4.8,169,135.45,135.04,135.89,1775.18,1742.44,1819.23,135,45,9,
,10,2460619.889,2024-11-05T09:19:48.000,404,0.925467593,0.438118812,215.769802,0.41,216.21,146.32,135,183.15,1670.56,1518.99,1854.28,135,45,9,
