Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
,1,2460590.392,2024-10-06T21:25:00.000,5,0.612372436,-4.4,29,-4.401157042,29.00013762,1958.009973,1951.546763,1973.778241,112.7156374,109.0065948,118.1610649,,,,
3,2,2460593.994,2024-10-10T11:51:00.000,41,0.631023557,12.19512195,124.3170732,12.20249658,124.3187571,1971.716325,1951.170488,2008.128354,79.68963282,59.70102721,108.6268163,,,,
,3,2460593.994,2024-10-10T11:51:00.000,46,0.851559662,-11.58695652,129.4782609,-11.5868581,129.4804663,1969.106709,1952.134572,1993.96434,112.0699627,99.46946292,118.2935529,,,,
,4,2460592.664,2024-10-09T03:56:06.000,2,1,0,170.5,0,170.5009043,1954.084901,1950.550861,1957.618942,126.6700321,124.0694326,129.2706315,,,,
,5,2460592.497,2024-10-08T23:55:22.500,163,0.977332863,-11.6993865,175.7300613,-11.71218003,175.7065776,1990.055834,1951.381205,2037.345909,113.800053,102.3934999,125.1927685,,,,
,6,2460591.995,2024-10-08T11:53:12.000,1,0,-13,195,-13,195,1950.610701,1950.610701,1950.610701,114.3393647,114.3393647,114.3393647,,,,
,7,2460591.995,2024-10-08T11:53:12.000,2,1,-13,198.5,-13,198.5007485,1953.489932,1950.565707,1956.414158,115.5690331,115.4481777,115.6898884,,,,
,8,2460591.995,2024-10-08T11:53:12.000,1,0,6,199,6,199,1951.121836,1951.121836,1951.121836,146.3746552,146.3746552,146.3746552,,,,
,9,2460591.995,2024-10-08T11:53:12.000,4,0.912870929,-12.75,201.25,-12.74907182,201.2510102,1959.160753,1952.323499,1967.077672,115.3252537,112.2590902,119.914564,,,,
,10,0,-04713-11-24T12:00:00.000,6,0.487950036,-5.666666667,297.8333333,-5.665973777,297.8277833,1980.68195,1956.012472,2018.391821,143.1180049,140.40708,145.9784961,,,,
,11,2460593.001,2024-10-09T12:02:09.000,16,0.986392681,14.6875,334.3125,14.69128662,334.318407,1982.672296,1950.48442,2043.120153,49.69687288,42.48517036,54.200536,,,,
,12,2460593.001,2024-10-09T12:02:09.000,554,0.960040065,-6.662454874,337.8231047,-6.610747325,337.8844698,2011.733481,1950.098876,2130.285534,125.4360454,88.3994132,152.552476,,,,
,1,2460610.766,2024-10-27T06:22:44.400,3,0.816496581,-13.33333333,100.3333333,-13.33247785,100.3336567,1955.306,1950.287797,1958.427201,92.96540753,91.59427374,95.00485317,,,,
,2,2460610.8,2024-10-27T07:11:27.857,7,0.952173478,14.71428571,130.1428571,14.71441664,130.1421988,1953.730484,1950.591832,1961.172042,79.98395085,76.52547693,84.64338122,,,,
,3,2460610.812,2024-10-27T07:29:15.000,1,0,15,135,15,135,1952.065011,1952.065011,1952.065011,81.84231009,81.84231009,81.84231009,,,,
,4,2460610.812,2024-10-27T07:29:15.000,2,1,14.5,141,14.50230231,141,1961.974048,1952.939916,1971.00818,85.49975356,82.68262314,88.31688399,,,,
,5,2460610.812,2024-10-27T07:29:15.000,2,1,12,144.5,12,144.4996427,1951.497036,1950.102392,1952.89168,96.90537527,94.46243073,99.34831981,,,,
,6,2460610.832,2024-10-27T07:57:27.600,1,0,15,158,15,158,1955.84017,1955.84017,1955.84017,76.26908332,76.26908332,76.26908332,,,,
,7,2460610.836,2024-10-27T08:03:11.455,219,0.912260684,-2.96803653,164.8721461,-2.965915976,164.8407602,1974.404131,1950.071367,2032.30206,97.35844228,83.00085784,117.2177745,,,,
,8,2460610.853,2024-10-27T08:28:33.000,2,1,8,171.5,8,171.5015047,1956.339245,1950.451657,1962.226832,98.15027801,97.48005561,98.82050042,,,,
,9,2460610.853,2024-10-27T08:28:33.000,5,0.944434872,4.4,172.8,4.40130039,172.7989298,1957.625432,1952.920834,1964.126929,102.6619708,101.1569617,103.9998041,,,,
,10,2460610.865,2024-10-27T08:45:14.400,7,0.913828731,14,198.4285714,14.00081585,198.428423,1954.896718,1950.797377,1960.041179,83.61278693,82.04066909,85.47698157,,,,
,11,2460610.875,2024-10-27T08:59:48.000,2,1,15,203.5,15,203.4993605,1956.650619,1954.147956,1959.153282,84.83240851,84.79334226,84.87147476,,,,
,12,2460610.875,2024-10-27T08:59:48.000,343,0.87042119,-3.405247813,206.8804665,-3.417172742,206.8747391,1980.336291,1950.753088,2046.977204,94.88938369,86.98456942,110.1558701,,,,
,13,2460610.882,2024-10-27T09:10:18.000,1,0,-12,227,-12,227,1951.190275,1951.190275,1951.190275,95.76436951,95.76436951,95.76436951,,,,
,14,2460610.882,2024-10-27T09:10:18.000,3,1,-13,231,-13.00030212,231,1960.887466,1953.076949,1974.731239,90.45100824,87.62407564,94.55992831,,,,
,15,2460610.882,2024-10-27T09:10:18.000,1,0,-12,234,-12,234,1954.818009,1954.818009,1954.818009,92.17624077,92.17624077,92.17624077,,,,
,16,2460610.882,2024-10-27T09:10:18.000,1,0,-14,234,-14,234,1952.204731,1952.204731,1952.204731,94.7676484,94.7676484,94.7676484,,,,
,17,2460610.882,2024-10-27T09:10:18.000,67,0.845083099,-6.268656716,234.9402985,-6.265915264,234.9368323,1968.329455,1950.640484,2008.013133,100.0910206,88.80794162,109.6971578,,,,
,18,2460610.882,2024-10-27T09:10:18.000,2,1,-2,237.5,-2,237.4996946,1953.17834,1951.985232,1954.371448,107.998066,107.1624603,108.8336716,,,,
,19,0,-04713-11-24T12:00:00.000,1,0,-13,239,-13,239,1950.321655,1950.321655,1950.321655,94.41353302,94.41353302,94.41353302,,,,
,20,0,-04713-11-24T12:00:00.000,1,0,-3,241,-3,241,1956.211568,1956.211568,1956.211568,102.0840584,102.0840584,102.0840584,,,,
,1,2460619.706,2024-11-05T04:57:03.000,2,1,-5,17.5,-5,17.49955122,1956.782935,1955.026589,1958.53928,115.9519736,114.8235926,117.0803546,,,,
,2,2460619.706,2024-11-05T04:57:03.000,1,0,-7,18,-7,18,1950.34677,1950.34677,1950.34677,106.8601224,106.8601224,106.8601224,,,,
,3,2460619.715,2024-11-05T05:10:01.680,1,0,-12,25,-12,25,1951.184844,1951.184844,1951.184844,111.4513798,111.4513798,111.4513798,,,,
,4,2460619.715,2024-11-05T05:10:01.680,2,1,-4,25.5,-4,25.49900126,1954.746467,1950.841908,1958.651026,121.9216069,121.1764965,122.6667172,,,,
,5,2460619.717,2024-11-05T05:12:30.000,1,0,-1,27,-1,27,1951.656314,1951.656314,1951.656314,127.6568876,127.6568876,127.6568876,,,,
,6,2460619.717,2024-11-05T05:12:30.000,1,0,-10,27,-10,27,1955.388978,1955.388978,1955.388978,116.6716619,116.6716619,116.6716619,,,,
1,7,2460619.717,2024-11-05T05:12:30.000,19,0.710994638,8.684210526,27.84210526,8.685281551,27.84140908,1970.809594,1950.285282,2006.818375,136.9395492,118.5792692,149.7063271,,,,
,8,2460619.717,2024-11-05T05:12:30.000,13,0.81837811,-12.53846154,29.46153846,-12.53881237,29.461756,1956.9087,1950.20306,1969.741148,112.9929809,108.2313984,116.284342,,,,
,9,2460619.717,2024-11-05T05:12:30.000,2,1,-1.5,30.5,-1.499467859,30.49946786,1953.096893,1951.018248,1955.175538,124.5306833,124.0987565,124.9626101,,,,
,10,2460619.717,2024-11-05T05:12:30.000,17,0.912038793,1.352941176,40.35294118,1.353316718,40.35114132,1960.485111,1951.458108,1972.217946,135.0297223,131.2837679,138.0767879,,,,
,11,2460619.728,2024-11-05T05:27:57.000,1,0,-5,51,-5,51,1953.18053,1953.18053,1953.18053,117.0562492,117.0562492,117.0562492,,,,
,12,2460619.728,2024-11-05T05:27:57.000,79,0.984664978,-12.65822785,51.13924051,-12.66168197,51.15559279,1968.063249,1950.176873,1997.053887,108.4260763,98.5821509,113.0839787,,,,
,13,2460619.73,2024-11-05T05:30:40.588,2,1,-6.5,54.5,-6.499900966,54.50009903,1951.22123,1950.834754,1951.607706,110.6598597,108.1808463,113.138873,,,,
,14,2460619.749,2024-11-05T05:58:51.000,1,0,-13,67,-13,67,1954.040514,1954.040514,1954.040514,100.6203982,100.6203982,100.6203982,,,,
,15,2460619.75,2024-11-05T06:00:10.457,3,1,-14,72,-14,71.99959397,1955.570405,1952.498074,1959.333005,105.8673005,105.1237474,106.9092248,,,,
2,16,2460619.76,2024-11-05T06:14:18.000,2,1,7.5,79,7.500293769,79,1952.014681,1950.8678,1953.161563,147.8443729,147.2136186,148.4751273,,,,
,17,2460619.76,2024-11-05T06:14:18.000,1,0,-14,79,-14,79,1956.701833,1956.701833,1956.701833,107.6864457,107.6864457,107.6864457,,,,
,1,0,-04713-11-24T12:00:00.000,8,0.707456979,-12.125,119.125,-12.12414618,119.1268561,1963.974651,1950.591607,1979.565007,107.7609361,101.2980042,112.5015289,,,,
,2,0,-04713-11-24T12:00:00.000,4,0.790569415,-8.25,121,-8.25016638,121.000462,1953.459332,1951.22336,1955.73227,122.1205631,116.6866899,126.9962102,,,,
