Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
1,1,2460590.592,2024-10-07T02:12:36.000,110,0.664253138,7.472727273,4.8,7.489939898,4.840691306,1667.42931,1552.611664,1749.434519,91.10782378,43.57828454,127.4813549,,,,
2,2,2460590.193,2024-10-06T16:38:10.000,545,0.841703839,3.928440367,56.89174312,3.898359999,56.81844996,1685.869939,1558.400079,1749.161918,102.5585286,76.95225411,126.8279268,,,,
,3,2460589.793,2024-10-06T07:02:12.000,3,0.97372313,-1.666666667,79,-1.666174563,79.00072504,1745.014262,1743.657491,1747.590444,91.53409472,87.99763063,95.85931001,,,,
,4,2460589.793,2024-10-06T07:02:12.000,1,0,-5,79,-5,79,1747.2359,1747.2359,1747.2359,81.10694428,81.10694428,81.10694428,,,,
,5,2460589.793,2024-10-06T07:02:12.000,2,1,10.5,82,10.50033319,82,1737.608805,1736.450883,1738.766726,86.69039527,84.66183454,88.71895599,,,,
,6,2460589.793,2024-10-06T07:02:12.000,2,1,-6.5,82,-6.499907309,82,1742.297813,1741.974823,1742.620804,71.48234475,69.75410326,73.21058624,,,,
,7,0,-04713-11-24T12:00:00.000,60,0.930279727,2.95,85.26666667,2.940828789,85.26013426,1724.738998,1654.285012,1749.888848,92.09058667,62.74224535,104.1842804,,,,
,8,0,-04713-11-24T12:00:00.000,2,1,-8,86.5,-8,86.50063171,1735.58088,1733.388103,1737.773657,66.69852697,62.95179224,70.4452617,,,,
,9,0,-04713-11-24T12:00:00.000,8,0.851469318,-11.125,89.625,-11.12380403,89.62927805,1726.63948,1685.932496,1743.655289,98.10909278,92.83277382,105.3910052,,,,
,10,2460593.986,2024-10-10T11:40:06.000,1,0,-8,102,-8,102,1748.034966,1748.034966,1748.034966,127.3807175,127.3807175,127.3807175,,,,
3,11,2460593.986,2024-10-10T11:40:06.000,551,0.760568588,4.219600726,103.154265,4.146529303,103.221773,1661.970201,1498.267445,1749.805547,103.0542107,53.3285008,136.3572862,,,,
,12,2460593.994,2024-10-10T11:51:00.000,2,1,-2,115.5,-2,115.501004,1745.227843,1741.723356,1748.73233,123.7333516,123.0247261,124.4419771,,,,
4,13,2460593.085,2024-10-09T14:01:48.000,193,0.974687674,7.176165803,153.1243523,7.179010545,153.0624625,1705.077285,1634.498413,1749.375445,88.33460688,64.08451761,112.3986758,,,,
5,14,2460591.995,2024-10-08T11:53:12.000,89,0.694535924,5.640449438,185.4831461,5.638146926,185.4821449,1702.724126,1617.067812,1749.558464,108.5393874,84.17256705,137.2702443,,,,
,15,2460592.004,2024-10-08T12:05:24.000,327,0.514041085,5.957186544,218.7553517,5.919686298,218.6957101,1702.460067,1587.741703,1749.767712,116.922651,66.40722587,148.1116116,,,,
