label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460619.7152972226,2024-11-05T05:10:01.680,48.0,0.7792192793594673,6.625,25.291666666666686,6.6407358048691325,25.302797150196852,142.17201916098503,135.18651933401256,151.36323408807357,1903.1435966439433,1756.4195565601246,2006.818374596058
2,2460619.717013889,2024-11-05T05:12:30.000,15.0,0.7886093914323413,2.1999999999999993,41.26666666666665,2.202836539041135,41.264799744353866,136.4799147161047,135.04464516115857,138.0767879008938,1953.8822931505622,1936.4499778235304,1971.4906019231119
3,2460619.7599305557,2024-11-05T06:14:18.000,67.0,0.847979113289037,6.313432835820896,76.62686567164178,6.330203206625615,76.63979492747296,142.44938290613206,135.12336758188349,153.8847906195961,1861.1316365947744,1712.5405976452735,1953.1615633604276
4,2460619.813611111,2024-11-05T07:31:36.000,29.0,0.9158479720991002,4.96551724137931,127.31034482758622,4.96653464038414,127.3026641283671,137.02376773663235,135.22010223415654,139.76548073690512,1780.6875486395277,1733.5722651349552,1811.908984210998
5,2460619.824351852,2024-11-05T07:47:04.000,1.0,0,3.0,134.0,3.0,134.0,135.4834821109563,135.4834821109563,135.4834821109563,1812.0763202457604,1812.0763202457604,1812.0763202457604
6,2460619.8350868057,2024-11-05T08:02:31.500,1.0,0,4.0,142.0,4.0,142.0,135.10098714325315,135.10098714325315,135.10098714325315,1851.0259554863444,1851.0259554863444,1851.0259554863444
7,2460619.8350868057,2024-11-05T08:02:31.500,3.0,1.0,4.0,145.0,4.0,145.00076945264547,135.2759646962345,135.08578108829659,135.52718917355782,1850.850126961468,1850.7315530664764,1851.0425495596478
8,2460619.836007937,2024-11-05T08:03:51.086,8.0,0.8185346118482661,1.75,148.5,1.7511495727499522,148.49512565826984,136.43637794467094,135.0087747492869,137.93882280506904,1868.7710153470862,1863.4565227362004,1878.723448984565
9,2460619.8594886367,2024-11-05T08:37:39.818,5.0,0.9813924293080768,4.800000000000001,169.0,4.799389728858287,168.99708100817386,135.44623070775154,135.0416685312177,135.88515341739583,1775.1757070318974,1742.4420602195357,1819.228294103308
10,2460619.88875,2024-11-05T09:19:48.000,404.0,0.9254675934786387,0.4381188118811874,215.76980198019803,0.4089727548639779,216.21299607213183,146.3158085319018,135.00324896971136,183.15160369270725,1670.5600569612182,1518.9886542454244,1854.2797536336532
