Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2024-12-02T03:11:41.769,2460646.633122329,11,106,4,234,140.9333951845499,1806.3467324509268,0.49725492894649503
1,2024-12-02T03:12:30.000,2460646.6336805555,12,98,3,242,138.7158954282104,1815.3864559882927,0.49215687811374664
2,2024-12-02T03:29:50.049,2460646.645718157,14,83,1,257,130.6732745526074,1913.9903160954282,0.5124183197816213
3,2024-12-02T03:34:00.000,2460646.6486111106,15,75,0,265,129.5335172850402,1943.404746765449,0.526960807852447
4,2024-12-02T03:55:12.000,2460646.663333333,9,60,6,280,142.76418842680803,1835.5441451346587,0.5417112518440593
5,2024-12-02T04:05:52.500,2460646.6707465276,25,50,-10,290,106.1070800906132,1935.9124103852737,0.5108235502243041
6,2024-12-02T04:27:09.000,2460646.6855208334,14,23,1,317,122.40611756211625,1840.2081898062065,0.5715686529874802
7,2024-12-02T04:27:09.000,2460646.6855208334,18,16,-3,324,122.7614973234073,1957.3173286426418,0.594117671251297
8,2024-12-02T04:29:14.400,2460646.6869722223,9,13,6,327,126.62276088514791,1827.5662360170427,0.5908496975898743
9,2024-12-02T04:37:36.000,2460646.6927777776,17,5,-2,335,115.27079094335569,1906.5402913556022,0.5946078673005104
