Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,2024-12-02T04:48:03.000,2460646.700034722,10,35,5,325,135.0667543807533,1822.9970141254616,0.6117647290229797
NH3,maxima,1,2024-12-02T04:58:30.000,2460646.707291667,11,8,4,352,126.2266608538792,1830.6515280180936,0.6082633286714554
NH3,minima,0,2024-12-02T04:48:03.000,2460646.700034722,22,27,-7,333,93.57273887080926,1822.1561272214667,0.6901960968971252
NH3,minima,1,2024-12-02T04:48:03.000,2460646.700034722,22,20,-7,340,90.59293544969589,1840.5221076572602,0.669607862830162
NH3,minima,2,2024-12-02T04:48:03.000,2460646.700034722,6,18,9,342,75.04561089026211,1791.5455706171256,0.5931372791528702
PCloud,maxima,0,2024-12-02T04:48:03.000,2460646.700034722,7,34,8,326,126.78609674207428,1911.982566994608,0.46568628400564194
PCloud,maxima,1,2024-12-02T04:58:30.000,2460646.707291667,18,7,-3,353,121.76318337105234,2079.888814002552,0.49542484680811566
PCloud,minima,0,2024-12-02T04:48:03.000,2460646.700034722,22,29,-7,331,95.38467516419827,1815.8400876095134,0.6901960968971252
PCloud,minima,1,2024-12-02T04:48:03.000,2460646.700034722,22,22,-7,338,90.64837804198868,1832.143074212783,0.6656862944364548
PCloud,minima,2,2024-12-02T04:48:03.000,2460646.700034722,9,18,6,342,94.79480163244476,1698.109318068775,0.7049019783735275
RGB,maxima,0,2024-12-02T04:48:03.000,2460646.700034722,21,27,-6,333,97.89266842748748,1830.4238508899712,0.7117647230625153
RGB,maxima,1,2024-12-02T04:48:03.000,2460646.700034722,20,20,-5,340,101.7470248950638,1845.7700344900468,0.7049019783735275
RGB,maxima,2,2024-12-02T04:48:03.000,2460646.700034722,8,18,7,342,84.37208185425712,1717.484718226387,0.7313725650310516
RGB,maxima,3,2024-12-02T04:58:30.000,2460646.707291667,22,6,-7,354,94.74022886598033,1882.2659722887458,0.7307189702987671
RGB,minima,0,2024-12-02T04:48:03.000,2460646.700034722,6,34,9,326,120.50935365282999,1899.201893004028,0.4372549057006836
RGB,minima,1,2024-12-02T04:48:03.000,2460646.700034722,19,33,-4,327,124.20896730745405,2002.201400261351,0.5049019753932953
RGB,minima,2,2024-12-02T04:48:03.000,2460646.700034722,4,20,11,340,80.20778667694627,1831.053206613587,0.4696078523993492
RGB,minima,3,2024-12-02T04:48:03.000,2460646.700034722,17,17,-2,343,118.20445362930985,1951.9757370522664,0.5303921848535538
RGB,minima,4,2024-12-02T04:49:53.647,2460646.7013153597,4,14,11,346,82.5336628596345,1829.1673956897566,0.4874279271153843
RGB,minima,5,2024-12-02T04:58:30.000,2460646.707291667,6,7,9,353,104.95791485778568,1827.6130072966837,0.46535947918891907
RGB,minima,6,2024-12-02T04:58:30.000,2460646.707291667,18,6,-3,354,121.59590073203805,2071.1891834148796,0.49411765734354657
