Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241202-20241202 NEDF 340,1,2024-12-02T04:48:03.000,2460646.7000347218,5,325,1822.9970703125,135.06675720214844
xyfnh3max,20241202-20241202 NEDF 340,2,2024-12-02T04:58:30.000,2460646.7072916664,4,352,1830.6514892578125,126.2266616821289
xyfnh3min,20241202-20241202 NEDF 340,1,2024-12-02T04:48:03.000,2460646.7000347218,-7,333,1822.1561279296875,93.57273864746094
xyfnh3min,20241202-20241202 NEDF 340,2,2024-12-02T04:48:03.000,2460646.7000347218,-7,340,1840.5220947265625,90.59293365478516
xyfnh3min,20241202-20241202 NEDF 340,3,2024-12-02T04:48:03.000,2460646.7000347218,9,342,1791.5455322265625,75.04560852050781
xyPcldmax,20241202-20241202 NEDF 340,1,2024-12-02T04:48:03.000,2460646.7000347218,8,326,1911.9825439453125,126.78609466552734
xyPcldmax,20241202-20241202 NEDF 340,2,2024-12-02T04:58:30.000,2460646.7072916664,-3,353,2079.888916015625,121.76318359375
xyPcldmin,20241202-20241202 NEDF 340,1,2024-12-02T04:48:03.000,2460646.7000347218,-7,331,1815.840087890625,95.38467407226562
xyPcldmin,20241202-20241202 NEDF 340,2,2024-12-02T04:48:03.000,2460646.7000347218,-7,338,1832.14306640625,90.64837646484375
xyPcldmin,20241202-20241202 NEDF 340,3,2024-12-02T04:48:03.000,2460646.7000347218,6,342,1698.109375,94.7947998046875
