obs_id,dateobs,roilabel,mean1,stdv1,mean2,stdv2,meanamf
20241202UTe,2024-12-02T04:16:42Z,NEDF1,1796.484538589547,18.030130736692414,88.88910138099111,7.591425544879748,1.3326130999229966
20241202UTe,2024-12-02T04:16:42Z,Fest1,1782.853724085844,20.7738458257449,107.68778661253556,7.668358442183356,1.4177509366741792
20241202UTe,2024-12-02T04:16:42Z,Fest2,1965.682471529888,11.799983057473433,129.1629149081217,5.059649752204583,1.3371604341231769
20241202UTe,2024-12-02T04:16:42Z,Plume1,1792.1879703763138,18.18542431976309,73.20269733665646,2.789953748166975,1.1476996764750962
20241202UTe,2024-12-02T04:16:42Z, +NH3,1788.8032866350125,18.348129094290535,118.75378779156377,4.432236833607055,1.289689919135423
20241202UTe,2024-12-02T04:16:42Z,NEB Ref,1923.662958907069,22.845142196310785,76.4363893104173,3.057762988628063,1.2516537725446568
20241202UTf,2024-12-02T04:37:36Z,NEDF1,1857.2766975425136,15.066340785051946,93.52821648326874,7.669046026203328,1.1432033613094152
20241202UTf,2024-12-02T04:37:36Z,Fest1,1813.152131626567,26.214346532483855,108.73014710689075,7.568554838577188,1.18633332319241
20241202UTf,2024-12-02T04:37:36Z,Fest2,2049.857049913079,18.86146600797276,125.96673132227424,2.1719584570980275,1.1449454293103927
20241202UTf,2024-12-02T04:37:36Z,Plume1,1728.6578641171695,16.601527457616633,88.99764747298016,4.44970366835774,1.0459417395226203
20241202UTf,2024-12-02T04:37:36Z, +NH3,1841.3828265018628,15.642961514126748,121.34043107958679,3.309710702725471,1.1181421070056687
20241202UTf,2024-12-02T04:37:36Z,NEB Ref,1984.6038466617929,20.78582704915954,75.79008936626482,6.3856965521010105,1.10733907696099
20241202UTg,2024-12-02T04:58:30Z,NEDF1,1799.990214450613,21.844706275390934,100.14611483210267,8.286100611566559,1.0449689030916547
20241202UTg,2024-12-02T04:58:30Z,Fest1,1815.4375358964116,25.690822925366614,113.85005055915855,6.619013087622393,1.0640665377334655
20241202UTg,2024-12-02T04:58:30Z,Fest2,2088.4810992458642,16.502313081302326,121.3344858510569,3.426173371627233,1.0455409758791154
20241202UTg,2024-12-02T04:58:30Z,Plume1,1771.7058165895396,13.16283409841101,83.71162169559352,4.490594834213179,1.005267856752239
20241202UTg,2024-12-02T04:58:30Z, +NH3,1835.7931697517515,21.437125496841066,119.55768014760353,3.866668728227865,1.030831240881471
20241202UTg,2024-12-02T04:58:30Z,NEB Ref,1942.2734213955132,30.35917591887712,76.81458985277916,3.0525330490313856,1.0381904719101582
20241202UTh,2024-12-02T05:19:24Z,NEDF1,1894.839799095024,31.389166988619284,115.41121345728651,8.117057210762992,1.0060764058984133
20241202UTh,2024-12-02T05:19:24Z,Fest1,1885.9644722652363,33.139779984273446,130.45993572378205,3.7392450450080696,1.006755212875267
20241202UTh,2024-12-02T05:19:24Z,Fest2,2126.4689505027877,15.075967572958604,129.8937636342038,3.474545971656247,1.0062382025951675
20241202UTh,2024-12-02T05:19:24Z,Plume1,1718.3225340068282,20.80101705104869,80.49590008667354,4.77149101743804,1.0175964760120606
20241202UTh,2024-12-02T05:19:24Z, +NH3,1846.8722164664105,30.279458404079342,129.90299965234763,5.043263082173848,1.0007968297459713
20241202UTh,2024-12-02T05:19:24Z,NEB Ref,1983.9118702749743,26.193879071963444,86.391117980096,2.6005673579941067,1.0249563055785773
