Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241203-20241203 NEDF A,1,N/A,0.0,6,32,1772.3636474609375,151.80551147460938
xyfnh3min,20241203-20241203 NEDF A,1,N/A,0.0,-7,16,1718.645263671875,79.32315063476562
xyfnh3min,20241203-20241203 NEDF A,2,N/A,0.0,-8,26,1822.407958984375,95.01061248779297
xyPcldmax,20241203-20241203 NEDF A,1,N/A,0.0,-3,23,1858.4766845703125,119.05794525146484
xyPcldmax,20241203-20241203 NEDF A,2,N/A,0.0,8,31,1837.5479736328125,142.2635955810547
xyPcldmax,20241203-20241203 NEDF A,3,N/A,0.0,-6,39,1984.6934814453125,115.02751159667969
xyPcldmax,20241203-20241203 NEDF A,4,N/A,0.0,7,42,1908.3095703125,126.03099822998047
xyPcldmin,20241203-20241203 NEDF A,1,N/A,0.0,-6,17,1705.840087890625,93.33451843261719
xyPcldmin,20241203-20241203 NEDF A,2,N/A,0.0,-6,28,1810.848876953125,102.428955078125
xyPcldmin,20241203-20241203 NEDF A,3,N/A,0.0,11,33,1778.1409912109375,103.61116790771484
