label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460692.669409722,2025-01-17T04:03:57.000,6.0,0.8703882797784891,-3.166666666666668,2.0,-3.1657399557156403,1.9985069664912203,1958.303227764076,1952.7781573882417,1963.4584659492143,119.20874156955809,118.0685298031062,120.45805486602987
2,2460692.669409722,2025-01-17T04:03:57.000,2.0,1.0,15.0,5.5,15.0,5.498973717549347,1957.2080527641622,1953.190756210527,1961.2253493177973,83.62993548773099,83.6195832350575,83.64028774040449
3,2460692.669409722,2025-01-17T04:03:57.000,14.0,0.9108074488162864,8.357142857142858,9.0,8.357764740899288,8.998983137918003,1956.6751254646872,1951.2438450136783,1964.6997007266382,120.97937646662139,109.96030054778684,128.94502292077598
4,2460692.669409722,2025-01-17T04:03:57.000,86.0,0.9478346580058414,-11.38372093023256,9.476744186046517,-11.385965661453298,9.479318000218143,1972.8321593687876,1950.7442316027245,2005.3618825927306,100.16368983105947,92.77982814590884,110.87637325528505
5,2460692.685300926,2025-01-17T04:26:50.000,1.0,0,-10.0,22.0,-10.0,22.0,1950.2440345225252,1950.2440345225252,1950.2440345225252,99.64238065402635,99.64238065402635,99.64238065402635
6,2460692.4964722223,2025-01-16T23:54:55.200,1.0,0,9.0,63.0,9.0,63.0,1956.1267499283706,1956.1267499283706,1956.1267499283706,115.18269529744552,115.18269529744552,115.18269529744552
7,2460692.2770471014,2025-01-16T18:38:56.870,59.0,0.9087377325522866,-5.305084745762713,88.47457627118644,-5.306017887949057,88.47762576434081,1965.1061166172383,1950.5644405515102,1988.0968883120388,121.37396465945277,112.91607738285568,129.95094623989496
8,2460692.034272876,2025-01-16T12:49:21.176,6.0,0.7905694150420949,9.0,107.5,9.000060052380352,107.49975069999942,1952.1161517220423,1950.206406456195,1955.2896361009687,127.67656771317495,121.4519620925688,133.30274009607797
9,2460692.0684036915,2025-01-16T13:38:30.079,1.0,0,8.0,110.0,8.0,110.0,1952.9110712016068,1952.9110712016068,1952.9110712016068,128.8005857055966,128.8005857055966,128.8005857055966
10,2460692.07380698,2025-01-16T13:46:16.923,1.0,0,6.0,113.0,6.0,113.0,1954.5168614816046,1954.5168614816046,1954.5168614816046,132.41131192276816,132.41131192276816,132.41131192276816
11,2460692.066046176,2025-01-16T13:35:06.390,13.0,0.9011804094630496,8.307692307692307,114.53846153846155,8.307609769065074,114.53808848239942,1956.0271876212262,1950.5709484246963,1961.4616255838384,123.96979847793956,115.54084170359545,128.6705283331227
12,2460692.0188194443,2025-01-16T12:27:06.000,1.0,0,10.0,117.0,10.0,117.0,1950.4669013054186,1950.4669013054186,1950.4669013054186,110.32101168090577,110.32101168090577,110.32101168090577
13,2460691.793460648,2025-01-16T07:02:35.000,1.0,0,-7.0,144.0,-7.0,144.0,1952.8108329214701,1952.8108329214701,1952.8108329214701,110.5596982293956,110.5596982293956,110.5596982293956
14,2460691.632486111,2025-01-16T03:10:46.800,2.0,1.0,-2.5,184.0,-2.4997436621034126,184.0,1952.7589371347055,1951.75780489773,1953.760069371681,124.73420139323781,123.55118986857474,125.9172129179009
15,2460691.639233388,2025-01-16T03:20:29.765,320.0,0.9849804862854237,-10.184375,188.446875,-10.186451432279629,188.46802216534084,1984.0049441772276,1950.1467678558172,2070.772453408638,105.69443817385134,91.33367020653303,125.17388197493301
16,2460692.040590278,2025-01-16T12:58:27.000,19.0,0.7969504618810953,-4.421052631578949,263.0,-4.42209684429735,262.9995523598385,1960.710317352148,1950.2056877440214,1974.4538614681924,126.27908928515774,121.93188828925081,129.50380303956024
17,2460692.0727426657,2025-01-16T13:44:44.966,1.0,0,-8.0,274.0,-8.0,274.0,1951.8463660886941,1951.8463660886941,1951.8463660886941,114.12137679907259,114.12137679907259,114.12137679907259
18,2460692.19878508,2025-01-16T16:46:15.031,279.0,0.8977555787849355,-7.698924731182796,293.76344086021504,-7.703019103693137,293.78742826703785,1988.8340482162603,1950.1989399581364,2037.0524166285988,120.55286172170159,108.85361379715947,135.25024835857383
19,2460692.2701388886,2025-01-16T18:29:00.000,1.0,0,-9.0,320.0,-9.0,320.0,1950.3150085314912,1950.3150085314912,1950.3150085314912,111.82001752333922,111.82001752333922,111.82001752333922
20,2460692.2718150252,2025-01-16T18:31:24.818,14.0,0.5807496412612702,-3.571428571428573,322.35714285714283,-3.571261803051314,322.35771062437925,1959.569359182282,1952.414000761851,1971.8588671443035,127.35290611573393,118.60875143998457,131.69876179488386
