REC_NO,OBJECT,REGION,DATE,UT,ERR_UT,JD,LONG_1,LONG_2,LONG_3,LONG_SYST,ERR_LONG,SYSTEM,PHASE,LAT,ERR_LAT,INFO,MEAS,CHANNEL,INSTR,MAGN,ORIE,OBSERVER
1,DC3_PROJ,L1,9/17/2022,14:48.0,,2459840.117,47.7,92.3,20.5,47.7,,1,2.1,7.3,,,ada,colo,,,,&Akuts_2
2,DC1_PROJ,L2,9/17/2022,14:48.0,,2459840.117,93.7,138.3,66.5,93.7,,1,2.1,8.7,,,ada,colo,,,,&Akuts_2
3,DC1_PROJ,L2,9/17/2022,14:48.0,,2459840.117,35.7,80.4,8.5,35.7,,1,2.1,9.2,,,ada,colo,,,,&Akuts_2
4,DC3_PROJ,L1,9/17/2022,16:48.5,,2459840.2,170.1,214.1,142.3,170.1,,1,2,6.8,,,ada,colo,,,,&Akuts_2
5,DC3_PROJ,L1,9/17/2022,16:48.5,,2459840.2,157.7,201.7,129.9,157.7,,1,2,7,,,ada,colo,,,,&Akuts_2
6,DC2_PROJ,L2,9/17/2022,16:48.5,,2459840.2,143.4,187.4,115.6,143.4,,1,2,8.2,,,ada,colo,,,,&Akuts_2
7,DC1_PROJ,L1,10/11/2022,12:18.4,,2459864.013,138.2,0.5,295,138.2,,1,-3.3,6.2,,,ada,colo,,,,&Akuts_2
8,DC3_PROJ,L1,10/11/2022,12:18.4,,2459864.013,192.1,54.4,348.9,192.1,,1,-3.3,6.3,,,ada,colo,,,,&Akuts_2
9,DC2_PROJ,L2,10/11/2022,12:18.4,,2459864.013,153.3,15.6,310.1,153.3,,1,-3.3,8.3,,,ada,colo,,,,&Akuts_2
10,DC2_PROJ,L1,10/11/2022,14:18.0,,2459864.096,225.5,87.1,21.6,225.5,,1,-3.3,6.7,,,ada,colo,,,,&Akuts_2
11,DC2_PROJ,L1,10/11/2022,14:18.0,,2459864.096,280.3,141.9,76.5,280.3,,1,-3.3,7.3,,,ada,colo,,,,&Akuts_2
12,DC3_PROJ,L1,10/11/2022,14:18.0,,2459864.096,273,134.6,69.2,273,,1,-3.3,7.4,,,ada,colo,,,,&Akuts_2
13,DC1_PROJ,L1,10/11/2022,14:18.0,,2459864.096,241.6,103.2,37.7,241.6,,1,-3.3,7.6,,,ada,colo,,,,&Akuts_2
14,DC2_PROJ,L1,10/11/2022,14:18.0,,2459864.096,232.8,94.5,29,232.8,,1,-3.3,7.9,,,ada,colo,,,,&Akuts_2
15,DC2_PROJ,L2,10/11/2022,14:18.0,,2459864.096,205.2,66.8,1.4,205.2,,1,-3.3,8.2,,,ada,colo,,,,&Akuts_2
16,DC2_PROJ,L2,10/11/2022,14:18.0,,2459864.096,209.5,71.2,5.7,209.5,,1,-3.3,8.8,,,ada,colo,,,,&Akuts_2
17,DC3_PROJ,L1,10/16/2022,11:53.7,,2459868.996,191.1,15.4,311.2,191.1,,1,-4.3,5.8,,,ada,colo,,,,&Akuts_2
18,DC2_PROJ,L1,10/16/2022,11:53.7,,2459868.996,207.7,31.9,327.8,207.7,,1,-4.3,7.5,,,ada,colo,,,,&Akuts_2
19,DC2_PROJ,L1,10/19/2022,13:46.1,,2459872.074,5.7,166.5,103.1,5.7,,1,-4.9,7.8,,,ada,colo,,,,&Akuts_2
20,DC3_PROJ,L1,10/20/2022,11:42.4,,2459872.988,101.2,255,191.9,101.2,,1,-5.1,5.7,,,ada,ired,,,,&Akuts_2
21,DC2_PROJ,L1,10/20/2022,12:15.5,,2459873.011,142.5,296.2,233.1,142.5,,1,-5.1,5.8,,,ada,colo,,,,&Akuts_2
22,DC2_PROJ,L1,10/20/2022,12:15.5,,2459873.011,106.8,260.5,197.4,106.8,,1,-5.1,6.4,,,ada,colo,,,,&Akuts_2
23,DC1_PROJ,L1,10/20/2022,12:15.5,,2459873.011,129.9,283.6,220.5,129.9,,1,-5.1,7.1,,,ada,colo,,,,&Akuts_2
24,DC2_PROJ,L1,10/20/2022,12:15.5,,2459873.011,179.3,333,269.9,179.3,,1,-5.1,7.7,,,ada,colo,,,,&Akuts_2
25,DC1_PROJ,L1,10/20/2022,12:15.5,,2459873.011,123.6,277.2,214.1,123.6,,1,-5.1,7.8,,,ada,colo,,,,&Akuts_2
26,DC3_PROJ,L2,10/20/2022,12:15.5,,2459873.011,118.8,272.5,209.4,118.8,,1,-5.1,8.4,,,ada,colo,,,,&Akuts_2
27,DC2_PROJ,L1,10/21/2022,12:18.0,,2459874.013,288,74,11.2,288,,1,-5.3,5.3,,,ada,colo,,,,&Akuts_2
28,DC2_PROJ,L1,10/21/2022,13:20.3,,2459874.056,343.4,129.1,66.3,343.4,,1,-5.3,6.4,,,ada,ired,,,,&Akuts_2
29,DC1_PROJ,L1,10/21/2022,13:20.3,,2459874.056,1.2,146.9,84.1,1.2,,1,-5.3,7.4,,,ada,ired,,,,&Akuts_2
30,DC1_PROJ,L1,10/23/2022,11:55.0,,2459875.997,220.7,351.6,289.3,220.7,,1,-5.7,6.1,,,ada,colo,,,,&Akuts_2
31,DC3_PROJ,L1,10/23/2022,11:55.0,,2459875.997,207.4,338.3,276,207.4,,1,-5.7,8,,,ada,colo,,,,&Akuts_2
32,DC1_PROJ,L1,10/23/2022,12:47.1,,2459876.033,254.6,25.2,322.9,254.6,,1,-5.7,6.4,,,ada,colo,,,,&Akuts_2
33,DC2_PROJ,L1,10/23/2022,12:47.1,,2459876.033,287.3,57.9,355.6,287.3,,1,-5.7,6.4,,,ada,colo,,,,&Akuts_2
34,DC3_PROJ,L1,10/23/2022,12:47.1,,2459876.033,233.4,4,301.7,233.4,,1,-5.7,7.3,,,ada,colo,,,,&Akuts_2
35,DC3_PROJ,L1,10/30/2022,11:28.6,,2459882.978,254.1,331.7,271.3,254.1,,1,-7,6.4,,,ada,colo,,,,&Akuts_2
36,DC3_PROJ,L1,10/30/2022,11:28.6,,2459882.978,221.2,298.8,238.3,221.2,,1,-7,7,,,ada,colo,,,,&Akuts_2
37,DC2_PROJ,L1,10/30/2022,11:28.6,,2459882.978,281.5,359.1,298.7,281.5,,1,-7,7.1,,,ada,colo,,,,&Akuts_2
38,DC2_PROJ,L1,10/30/2022,13:33.7,,2459883.065,344.9,61.9,1.4,344.9,,1,-7,7.4,,,ada,colo,,,,&Akuts_2
39,DC1_PROJ,L2,10/30/2022,13:33.7,,2459883.065,320.5,37.4,337,320.5,,1,-7,8.2,,,ada,colo,,,,&Akuts_2
40,DC2_PROJ,L1,11/4/2022,12:45.3,,2459888.031,354.8,33.8,334.7,354.8,,1,-7.8,5.2,,,ada,colo,,,,&Akuts_2
41,DC2_PROJ,L1,11/4/2022,12:45.3,,2459888.031,38.3,77.4,18.3,38.3,,1,-7.8,6.2,,,ada,colo,,,,&Akuts_2
42,DC3_PROJ,L1,11/4/2022,12:45.3,,2459888.031,19.4,58.4,359.3,19.4,,1,-7.8,6.9,,,ada,colo,,,,&Akuts_2
43,DC2_PROJ,L1,11/4/2022,12:45.3,,2459888.031,7.1,46.1,347,7.1,,1,-7.8,7.2,,,ada,colo,,,,&Akuts_2
