"REC_NO","OBJECT","REGION","DATE","UT","ERR_UT","JD","LONG_1","LONG_2","LONG_3","LONG_SYST","ERR_LONG","SYSTEM","PHASE","LAT","ERR_LAT","INFO","MEAS","CHANNEL","INSTR","MAGN","ORIE","OBSERVER"
1,"DC3_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,313.2,104.7,4.0,313.2,,1,+10.8,+7.2,,"","ada","ired","",,"","&Cidad_1"
2,"DC2_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,307.6,99.1,358.5,307.6,,1,+10.8,+7.5,,"","ada","ired","",,"","&Cidad_1"
3,"DC3_PROJ","L1","2022/06/01","06:01.0",,2459731.75069,336.5,128.0,27.3,336.5,,1,+10.8,+7.7,,"","ada","ired","",,"","&Cidad_1"
4,"DC2_PROJ","L2","2022/06/01","06:01.0",,2459731.75069,300.0,91.5,350.9,300.0,,1,+10.8,+8.6,,"","ada","ired","",,"","&Cidad_1"
5,"DC2_SPOT","L1","2022/06/01","07:04.2",,2459731.79458,3.5,154.6,54.0,3.5,,1,+10.8,+7.0,,"","ada","ired","",,"","&Cidad_1"
6,"DC3_PROJ","L1","2022/06/01","07:04.2",,2459731.79458,351.4,142.6,41.9,351.4,,1,+10.8,+7.2,,"","ada","ired","",,"","&Cidad_1"
7,"DC3_PROJ","L1","2022/06/01","07:04.2",,2459731.79458,358.0,149.2,48.5,358.0,,1,+10.8,+7.5,,"","ada","ired","",,"","&Cidad_1"
8,"DC2_PROJ","L1","2022/06/02","03:59.0",,2459732.66597,72.7,217.2,116.8,72.7,,1,+10.9,+7.6,,"","rbu","colo","",,"","&Foste_1"
9,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,200.8,337.9,237.7,200.8,,1,+10.9,+6.9,,"","ada","colo","",,"","&Pistrit"
10,"DC2_PROJ","L2","2022/06/03","03:13.2",,2459733.63417,183.7,320.8,220.6,183.7,,1,+10.9,+8.2,,"","ada","colo","",,"","&Pistrit"
11,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,219.7,356.8,256.7,219.7,,1,+10.9,+7.2,,"","ada","colo","",,"","&Pistrit"
12,"DC3_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,171.9,309.1,208.9,171.9,,1,+10.9,+7.1,,"","ada","colo","",,"","&Pistrit"
13,"DC2_PROJ","L1","2022/06/03","03:13.2",,2459733.63417,145.9,283.1,182.9,145.9,,1,+10.9,+7.1,,"","ada","colo","",,"","&Pistrit"
14,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,83.0,214.9,114.9,83.0,,1,+11.0,+7.6,,"","ada","ired","",,"","&Miyaz_5"
15,"DC2_PROJ","L2","2022/06/03","19:46.9",,2459734.32424,45.4,177.3,77.3,45.4,,1,+11.0,+8.4,,"","ada","ired","",,"","&Miyaz_5"
16,"DC3_PROJ","L2","2022/06/03","19:46.9",,2459734.32424,88.8,220.7,120.7,88.8,,1,+11.0,+8.4,,"","ada","ired","",,"","&Miyaz_5"
17,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,27.6,159.5,59.5,27.6,,1,+11.0,+7.6,,"","ada","ired","",,"","&Miyaz_5"
18,"DC3_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,64.0,195.8,95.8,64.0,,1,+11.0,+7.4,,"","ada","ired","",,"","&Miyaz_5"
19,"DC2_PROJ","L1","2022/06/03","19:46.9",,2459734.32424,71.1,202.9,102.9,71.1,,1,+11.0,+7.5,,"","ada","ired","",,"","&Miyaz_5"
20,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,217.5,341.9,242.1,217.5,,1,+11.1,+7.7,,"","ada","ired","",,"","&Miyaz_5"
21,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,238.2,2.5,262.8,238.2,,1,+11.1,+7.8,,"","ada","ired","",,"","&Miyaz_5"
22,"DC2_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,169.2,293.6,193.8,169.2,,1,+11.1,+7.8,,"","ada","ired","",,"","&Miyaz_5"
23,"DC3_PROJ","L2","2022/06/04","19:28.9",,2459735.31174,205.0,329.4,229.6,205.0,,1,+11.1,+8.2,,"","ada","ired","",,"","&Miyaz_5"
24,"DC2_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,181.1,305.4,205.7,181.1,,1,+11.1,+7.6,,"","ada","ired","",,"","&Miyaz_5"
25,"DC1_PROJ","L1","2022/06/04","19:28.9",,2459735.31174,202.8,327.1,227.4,202.8,,1,+11.1,+6.4,,"","ada","ired","",,"","&Miyaz_5"
26,"DC2_PROJ","L2","2022/06/04","20:27.1",,2459735.35215,264.4,28.4,288.7,264.4,,1,+11.1,+8.3,,"","ada","colo","",,"","&Miyaz_5"
27,"DC2_BAR","L1","2022/06/04","20:27.1",,2459735.35215,281.8,45.9,306.2,281.8,,1,+11.1,+7.2,,"","ada","colo","",,"","&Miyaz_5"
28,"DC2_PROJ","L1","2022/06/04","20:27.1",,2459735.35215,257.8,21.8,282.1,257.8,,1,+11.1,+7.6,,"","ada","colo","",,"","&Miyaz_5"
29,"DC3_PROJ","L2","2022/06/04","20:27.1",,2459735.35215,244.6,8.6,268.9,244.6,,1,+11.1,+8.2,,"","ada","colo","",,"","&Miyaz_5"
30,"DC2_BAR","L2","2022/06/05","06:28.0",,2459735.76944,255.6,16.4,276.8,255.6,,1,+11.1,+8.4,,"","ada","ired","",,"","&Cidad_1"
31,"DC3_PROJ","L2","2022/06/05","06:28.0",,2459735.76944,227.7,348.6,249.0,227.7,,1,+11.1,+8.6,,"","ada","ired","",,"","&Cidad_1"
32,"DC2_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,275.2,36.1,296.5,275.2,,1,+11.1,+6.4,,"","ada","ired","",,"","&Cidad_1"
33,"DC3_PROJ","L1","2022/06/05","06:28.0",,2459735.76944,244.6,5.4,265.8,244.6,,1,+11.1,+7.6,,"","ada","ired","",,"","&Cidad_1"
