"REC_NO","OBJECT","REGION","ID","DESCR","DATE","UT","JD","LONG_1","LONG_2","LONG_3","LONG_SYST","ERR_LONG","SYSTEM","PHASE","LAT","ERR_LAT","INFO","MEAS","CHANNEL"
1,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/07/30","07:29.6",2459790.81222,5.0,65.8,340.9,5.0,,1,+10.4,+1.5,,"","","colo"
2,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/07/30","07:29.6",2459790.81222,331.0,31.8,306.9,331.0,,1,+10.4,+4.5,,"","","colo"
3,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/07/30","07:29.6",2459790.81222,353.0,53.8,328.9,353.0,,1,+10.4,+4.5,,"","","colo"
4,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,337.0,37.8,312.9,337.0,,1,+10.4,+5.0,,"","","colo"
5,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,354.0,54.8,329.9,354.0,,1,+10.4,+5.5,,"","","colo"
6,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/07/30","07:29.6",2459790.81222,297.0,357.8,272.9,297.0,,1,+10.4,+5.5,,"","","colo"
7,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,346.0,46.8,321.9,346.0,,1,+10.4,+6.5,,"","","colo"
8,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,302.0,2.8,277.9,302.0,,1,+10.4,+7.5,,"","","colo"
9,"DC1_SPOT","K2","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,4.0,64.8,339.9,4.0,,1,+10.4,+7.5,,"","","colo"
10,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/07/30","07:29.6",2459790.81222,324.0,24.8,299.9,324.0,,1,+10.4,+9.0,,"","","colo"
11,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/08/10","10:13.0",2459801.92569,34.0,10.0,288.0,34.0,,1,+9.1,+3.5,,"","","colo"
12,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/08/10","10:13.0",2459801.92569,42.0,18.0,296.0,42.0,,1,+9.1,+7.5,,"","","colo"
13,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/08/10","10:13.0",2459801.92569,351.0,327.0,245.0,351.0,,1,+9.1,+8.5,,"","","colo"
14,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/08/12","10:25.5",2459803.93438,328.0,288.7,207.2,328.0,,1,+8.8,+3.5,,"","","colo"
15,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/08/12","10:25.5",2459803.93438,339.0,299.7,218.2,339.0,,1,+8.8,+6.5,,"","","colo"
16,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/08/18","07:33.6",2459809.81500,125.0,40.8,320.9,125.0,,1,+7.9,+2.5,,"","","colo"
17,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/08/18","07:33.6",2459809.81500,88.0,3.8,283.9,88.0,,1,+7.9,+8.5,,"","","colo"
18,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/08/28","06:08.2",2459819.75569,175.0,15.0,297.7,175.0,,1,+6.2,+2.5,,"","","colo"
19,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/08/28","06:08.2",2459819.75569,201.0,41.0,323.7,201.0,,1,+6.2,+2.5,,"","","colo"
20,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/08/28","06:08.2",2459819.75569,180.0,20.0,302.7,180.0,,1,+6.2,+4.0,,"","","colo"
21,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/08/28","06:08.2",2459819.75569,200.0,40.0,322.7,200.0,,1,+6.2,+7.5,,"","","colo"
22,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/08/30","05:59.1",2459821.74938,156.0,340.8,264.0,156.0,,1,+5.9,+2.5,,"","","colo"
23,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/08/30","05:59.1",2459821.74938,122.0,306.8,230.0,122.0,,1,+5.9,+5.0,,"","","colo"
24,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/08/30","05:59.1",2459821.74938,127.0,311.8,235.0,127.0,,1,+5.9,+8.0,,"","","colo"
25,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/08/30","05:59.1",2459821.74938,148.0,332.8,256.0,148.0,,1,+5.9,+9.5,,"","","colo"
26,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/09/01","06:04.9",2459823.75340,75.0,244.5,168.3,75.0,,1,+5.5,+3.0,,"","","colo"
27,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/09/01","06:04.9",2459823.75340,115.0,284.5,208.3,115.0,,1,+5.5,+3.5,,"","","colo"
28,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/01","06:04.9",2459823.75340,80.0,249.5,173.3,80.0,,1,+5.5,+7.5,,"","","colo"
29,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/09/01","06:04.9",2459823.75340,124.0,293.5,217.3,124.0,,1,+5.5,+9.5,,"","","colo"
30,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/09/04","06:38.2",2459826.77653,222.0,8.4,293.0,222.0,,1,+4.9,+2.5,,"","","colo"
31,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/04","06:38.2",2459826.77653,245.0,31.4,316.0,245.0,,1,+4.9,+2.5,,"","","colo"
32,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/04","06:38.2",2459826.77653,222.0,8.4,293.0,222.0,,1,+4.9,+6.5,,"","","colo"
33,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/04","06:38.2",2459826.77653,246.0,32.4,317.0,246.0,,1,+4.9,+7.5,,"","","colo"
34,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/09/05","05:59.1",2459827.74938,345.0,124.0,48.8,345.0,,1,+4.7,+2.5,,"","","colo"
35,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/05","05:59.1",2459827.74938,20.0,159.0,83.8,20.0,,1,+4.7,+2.5,,"","","colo"
36,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/05","05:59.1",2459827.74938,4.0,143.0,67.8,4.0,,1,+4.7,+5.0,,"","","colo"
37,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/05","05:59.1",2459827.74938,21.0,160.0,84.8,21.0,,1,+4.7,+6.5,,"","","colo"
38,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/05","05:59.1",2459827.74938,3.0,142.0,66.8,3.0,,1,+4.7,+7.5,,"","","colo"
39,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/12","05:33.4",2459834.73153,52.0,137.7,64.4,52.0,,1,+3.2,+3.5,,"","","colo"
40,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/12","05:33.4",2459834.73153,11.0,96.7,23.4,11.0,,1,+3.2,+4.5,,"","","colo"
41,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/12","05:33.4",2459834.73153,352.0,77.7,4.4,352.0,,1,+3.2,+5.0,,"","","colo"
42,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/09/12","05:33.4",2459834.73153,14.0,99.7,26.4,14.0,,1,+3.2,+8.5,,"","","colo"
43,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/13","04:57.4",2459835.70653,170.0,248.3,175.3,170.0,,1,+3.0,+2.5,,"","","colo"
44,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/13","04:57.4",2459835.70653,171.0,249.3,176.3,171.0,,1,+3.0,+7.5,,"","","colo"
45,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/09/13","04:57.4",2459835.70653,134.0,212.3,139.3,134.0,,1,+3.0,+8.5,,"","","colo"
46,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/19","03:52.3",2459841.66132,8.0,40.8,329.4,8.0,,1,+1.7,+4.0,,"","","colo"
47,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/19","03:52.3",2459841.66132,338.0,10.8,299.4,338.0,,1,+1.7,+4.5,,"","","colo"
48,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/09/19","03:52.3",2459841.66132,311.0,343.8,272.4,311.0,,1,+1.7,+4.5,,"","","colo"
49,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/19","03:52.3",2459841.66132,342.0,14.8,303.4,342.0,,1,+1.7,+5.5,,"","","colo"
50,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/19","03:52.3",2459841.66132,357.0,29.8,318.4,357.0,,1,+1.7,+5.5,,"","","colo"
51,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/19","03:52.3",2459841.66132,314.0,346.8,275.4,314.0,,1,+1.7,+5.5,,"","","colo"
52,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/19","03:52.3",2459841.66132,15.0,47.8,336.4,15.0,,1,+1.7,+8.0,,"","","colo"
53,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/19","04:53.4",2459841.70375,14.0,46.5,335.1,14.0,,1,+1.7,+4.0,,"","","colo"
54,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/19","04:53.4",2459841.70375,19.0,51.5,340.1,19.0,,1,+1.7,+4.0,,"","","colo"
55,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/25","06:15.6",2459847.76083,288.0,274.3,204.5,288.0,,1,+0.3,+2.5,,"","","colo"
56,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/09/25","06:15.6",2459847.76083,305.0,291.3,221.5,305.0,,1,+0.3,+5.5,,"","","colo"
57,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/25","06:15.6",2459847.76083,282.0,268.3,198.5,282.0,,1,+0.3,+7.5,,"","","colo"
58,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/09/25","06:15.6",2459847.76083,301.0,287.3,217.5,301.0,,1,+0.3,+7.5,,"","","colo"
59,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/10/09","04:01.5",2459861.66771,251.0,131.2,65.1,251.0,,1,-2.8,+2.5,,"","","colo"
60,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/10/09","04:01.5",2459861.66771,277.0,157.2,91.1,277.0,,1,-2.8,+3.5,,"","","colo"
61,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/10/09","04:01.5",2459861.66771,274.0,154.2,88.1,274.0,,1,-2.8,+7.5,,"","","colo"
62,"WC1_SPOT","K2","Test","NH3 Enhancement","2022/10/09","05:24.5",2459861.72535,320.0,199.8,133.6,320.0,,1,-2.8,+4.5,,"","","colo"
63,"WC1_SPOT","K1","Test","NH3 Enhancement","2022/10/13","03:45.5",2459865.65660,175.0,24.8,319.7,175.0,,1,-3.6,+4.0,,"","","colo"
64,"DC1_SPOT","L1","Test","CH4 Deep Cloud","2022/10/13","03:45.5",2459865.65660,177.0,26.8,321.7,177.0,,1,-3.6,+8.0,,"","","colo"
65,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/10/13","03:45.5",2459865.65660,166.0,15.8,310.7,166.0,,1,-3.6,+9.0,,"","","colo"
66,"DC1_SPOT","L2","Test","CH4 Deep Cloud","2022/10/13","03:45.5",2459865.65660,136.0,345.8,280.7,136.0,,1,-3.6,+9.0,,"","","colo"
67,"DC1_SPOT","K2","Test","CH4 Deep Cloud","2022/10/19","03:42.4",2459871.65444,22.0,186.0,122.5,22.0,,1,-4.9,+3.5,,"Check Quality","","colo"
68,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/10/19","03:42.4",2459871.65444,22.0,186.0,122.5,22.0,,1,-4.9,+4.0,,"Check Quality","","colo"
69,"WC1_SPOT","L1","Test","NH3 Enhancement","2022/10/19","03:42.4",2459871.65444,42.0,206.0,142.5,42.0,,1,-4.9,+4.5,,"Check Quality","","colo"
