"REC_NO","OBJECT","REGION","DATE","UT","ERR_UT","JD","LONG_1","LONG_2","LONG_3","LONG_SYST","ERR_LONG","SYSTEM","PHASE","LAT","ERR_LAT","INFO","MEAS","CHANNEL","INSTR","MAGN","ORIE","OBSERVER"
1,"WC1_SPOT","L1","2022/07/30","07:29.6",,2459790.81222,5.0,65.8,340.9,5.0,,1,+10.4,+1.5,,"","","colo","",,"","Hill_amm"
2,"WC1_SPOT","L1","2022/07/30","07:29.6",,2459790.81222,331.0,31.8,306.9,331.0,,1,+10.4,+4.5,,"","","colo","",,"","Hill_amm"
3,"WC1_SPOT","L1","2022/07/30","07:29.6",,2459790.81222,353.0,53.8,328.9,353.0,,1,+10.4,+4.5,,"","","colo","",,"","Hill_amm"
4,"WC1_SPOT","L1","2022/07/30","07:29.6",,2459790.81222,297.0,357.8,272.9,297.0,,1,+10.4,+5.5,,"","","colo","",,"","Hill_amm"
5,"WC1_SPOT","L1","2022/08/10","10:13.0",,2459801.92569,34.0,10.0,288.0,34.0,,1,+9.1,+3.5,,"","","colo","",,"","Hill_amm"
6,"WC1_SPOT","K2","2022/08/12","10:25.5",,2459803.93437,328.0,288.7,207.2,328.0,,1,+8.8,+3.5,,"","","colo","",,"","Hill_amm"
7,"WC1_SPOT","K2","2022/08/18","07:33.6",,2459809.81500,125.0,40.8,320.9,125.0,,1,+7.9,+2.5,,"","","colo","",,"","Hill_amm"
8,"WC1_SPOT","K2","2022/08/28","06:08.2",,2459819.75569,175.0,15.0,297.7,175.0,,1,+6.2,+2.5,,"","","colo","",,"","Hill_amm"
9,"WC1_SPOT","L1","2022/08/28","06:08.2",,2459819.75569,201.0,41.0,323.7,201.0,,1,+6.2,+2.5,,"","","colo","",,"","Hill_amm"
10,"WC1_SPOT","L1","2022/08/30","05:59.1",,2459821.74937,156.0,340.8,264.0,156.0,,1,+5.9,+2.5,,"","","colo","",,"","Hill_amm"
11,"WC1_SPOT","L1","2022/08/30","05:59.1",,2459821.74937,122.0,306.8,230.0,122.0,,1,+5.9,+5.0,,"","","colo","",,"","Hill_amm"
12,"WC1_SPOT","K2","2022/09/01","06:04.9",,2459823.75340,75.0,244.5,168.3,75.0,,1,+5.5,+3.0,,"","","colo","",,"","Hill_amm"
13,"WC1_SPOT","K2","2022/09/01","06:04.9",,2459823.75340,115.0,284.5,208.3,115.0,,1,+5.5,+3.5,,"","","colo","",,"","Hill_amm"
14,"WC1_SPOT","K2","2022/09/04","06:38.2",,2459826.77653,222.0,8.4,293.0,222.0,,1,+4.9,+2.5,,"","","colo","",,"","Hill_amm"
15,"WC1_SPOT","L1","2022/09/04","06:38.2",,2459826.77653,245.0,31.4,316.0,245.0,,1,+4.9,+2.5,,"","","colo","",,"","Hill_amm"
16,"WC1_SPOT","K2","2022/09/05","05:59.1",,2459827.74937,345.0,124.0,48.8,345.0,,1,+4.7,+2.5,,"","","colo","",,"","Hill_amm"
17,"WC1_SPOT","L1","2022/09/05","05:59.1",,2459827.74937,20.0,159.0,83.8,20.0,,1,+4.7,+2.5,,"","","colo","",,"","Hill_amm"
18,"WC1_SPOT","L1","2022/09/05","05:59.1",,2459827.74937,4.0,143.0,67.8,4.0,,1,+4.7,+5.0,,"","","colo","",,"","Hill_amm"
19,"WC1_SPOT","L1","2022/09/12","05:33.4",,2459834.73153,52.0,137.7,64.4,52.0,,1,+3.2,+3.5,,"","","colo","",,"","Hill_amm"
20,"WC1_SPOT","L1","2022/09/12","05:33.4",,2459834.73153,11.0,96.7,23.4,11.0,,1,+3.2,+4.5,,"","","colo","",,"","Hill_amm"
21,"WC1_SPOT","L1","2022/09/12","05:33.4",,2459834.73153,352.0,77.7,4.4,352.0,,1,+3.2,+5.0,,"","","colo","",,"","Hill_amm"
22,"WC1_SPOT","L1","2022/09/13","04:57.4",,2459835.70653,170.0,248.3,175.3,170.0,,1,+3.0,+2.5,,"","","colo","",,"","Hill_amm"
23,"WC1_SPOT","L1","2022/09/19","03:52.3",,2459841.66132,8.0,40.8,329.4,8.0,,1,+1.7,+4.0,,"","","colo","",,"","Hill_amm"
24,"WC1_SPOT","L1","2022/09/19","03:52.3",,2459841.66132,338.0,10.8,299.4,338.0,,1,+1.7,+4.5,,"","","colo","",,"","Hill_amm"
25,"WC1_SPOT","K2","2022/09/19","03:52.3",,2459841.66132,311.0,343.8,272.4,311.0,,1,+1.7,+4.5,,"","","colo","",,"","Hill_amm"
26,"WC1_SPOT","L1","2022/09/19","04:53.4",,2459841.70375,14.0,46.5,335.1,14.0,,1,+1.7,+4.0,,"","","colo","",,"","Hill_amm"
27,"WC1_SPOT","L1","2022/09/25","06:15.6",,2459847.76083,288.0,274.3,204.5,288.0,,1,+0.3,+2.5,,"","","colo","",,"","Hill_amm"
28,"WC1_SPOT","L1","2022/09/25","06:15.6",,2459847.76083,305.0,291.3,221.5,305.0,,1,+0.3,+5.5,,"","","colo","",,"","Hill_amm"
29,"WC1_SPOT","K2","2022/10/09","04:01.5",,2459861.66771,251.0,131.2,65.1,251.0,,1,-2.8,+2.5,,"","","colo","",,"","Hill_amm"
30,"WC1_SPOT","K2","2022/10/09","04:01.5",,2459861.66771,277.0,157.2,91.1,277.0,,1,-2.8,+3.5,,"","","colo","",,"","Hill_amm"
31,"WC1_SPOT","K2","2022/10/09","05:24.5",,2459861.72535,320.0,199.8,133.6,320.0,,1,-2.8,+4.5,,"","","colo","",,"","Hill_amm"
32,"WC1_SPOT","K1","2022/10/13","03:45.5",,2459865.65660,175.0,24.8,319.7,175.0,,1,-3.6,+4.0,,"","","colo","",,"","Hill_amm"
33,"WC1_SPOT","L1","2022/10/19","03:42.4",,2459871.65444,22.0,186.0,122.5,22.0,,1,-4.9,+4.0,,"","","colo","",,"","Hill_amm"
34,"WC1_SPOT","L1","2022/10/19","03:42.4",,2459871.65444,42.0,206.0,142.5,42.0,,1,-4.9,+4.5,,"","","colo","",,"","Hill_amm"
35,"WC1_SPOT","L1","2022/10/20","04:20.4",,2459872.68083,220.0,16.2,313.0,220.0,,1,-5.1,+2.5,,"","","colo","",,"","Hill_amm"
36,"WC1_SPOT","K2","2022/10/20","04:20.4",,2459872.68083,255.0,51.2,348.0,255.0,,1,-5.1,+3.0,,"","","colo","",,"","Hill_amm"
37,"WC1_SPOT","K2","2022/10/21","03:58.6",,2459873.66569,18.0,166.7,103.7,18.0,,1,-5.3,+3.5,,"","","colo","",,"","Hill_amm"
38,"WC1_SPOT","L1","2022/10/21","03:58.6",,2459873.66569,5.0,153.7,90.7,5.0,,1,-5.3,+5.5,,"","","colo","",,"","Hill_amm"
39,"WC1_SPOT","L1","2022/10/21","03:58.6",,2459873.66569,348.0,136.7,73.7,348.0,,1,-5.3,+7.0,,"","","colo","",,"","Hill_amm"
40,"WC1_SPOT","K2","2023/01/13","00:46.2",,2459957.53208,180.0,48.8,8.2,180.0,,1,-10.8,+1.5,,"","","colo","",,"","Hill_amm"
41,"WC1_SPOT","L1","2023/01/13","00:46.2",,2459957.53208,196.0,64.8,24.2,196.0,,1,-10.8,+2.0,,"","","colo","",,"","Hill_amm"
42,"WC1_SPOT","K2","2023/01/13","00:46.2",,2459957.53208,157.0,25.8,345.2,157.0,,1,-10.8,+2.5,,"","","colo","",,"","Hill_amm"
43,"WC1_SPOT","L1","2023/08/15","11:12.8",,2460171.96722,97.0,129.6,146.1,97.0,,1,+11.7,+3.5,,"","","colo","",,"","Hill_amm"
44,"WC1_SPOT","L2","2023/08/15","11:12.8",,2460171.96722,138.0,170.6,187.1,138.0,,1,+11.7,+4.5,,"","","colo","",,"","Hill_amm"
45,"WC1_SPOT","L1","2023/08/16","11:30.1",,2460172.97924,251.0,275.9,292.6,251.0,,1,+11.7,+4.5,,"","","colo","",,"","Hill_amm"
46,"WC1_SPOT","L1","2023/08/16","11:30.1",,2460172.97924,272.0,296.9,313.6,272.0,,1,+11.7,+4.5,,"","","colo","",,"","Hill_amm"
47,"WC1_SPOT","L1","2023/08/16","11:30.1",,2460172.97924,294.0,318.9,335.6,294.0,,1,+11.7,+4.5,,"","","colo","",,"","Hill_amm"
48,"WC1_SPOT","L1","2023/08/17","11:21.6",,2460173.97333,98.0,115.3,132.3,98.0,,1,+11.6,+4.5,,"","","colo","",,"","Hill_amm"
49,"WC1_SPOT","L1","2023/08/17","11:21.6",,2460173.97333,54.0,71.3,88.3,54.0,,1,+11.6,+5.5,,"","","colo","",,"","Hill_amm"
50,"WC1_SPOT","L1","2023/08/17","11:21.6",,2460173.97333,76.0,93.3,110.3,76.0,,1,+11.6,+6.5,,"","","colo","",,"","Hill_amm"
51,"WC1_SPOT","L1","2023/08/18","11:37.1",,2460174.98410,271.0,280.6,297.8,271.0,,1,+11.6,+4.5,,"","","colo","",,"","Hill_amm"
52,"WC1_SPOT","L1","2023/08/18","11:37.1",,2460174.98410,210.0,219.6,236.8,210.0,,1,+11.6,+5.0,,"","","colo","",,"","Hill_amm"
53,"WC1_SPOT","L1","2023/08/18","11:37.1",,2460174.98410,258.0,267.6,284.8,258.0,,1,+11.6,+5.5,,"","","colo","",,"","Hill_amm"
54,"WC1_SPOT","L1","2023/08/18","11:37.1",,2460174.98410,227.0,236.6,253.8,227.0,,1,+11.6,+6.0,,"","","colo","",,"","Hill_amm"
55,"WC1_SPOT","L1","2023/08/27","11:30.6",,2460183.97958,206.0,147.0,166.6,206.0,,1,+11.1,+3.5,,"","","colo","",,"","Hill_amm"
56,"WC1_SPOT","L2","2023/08/27","11:30.6",,2460183.97958,252.0,193.0,212.6,252.0,,1,+11.1,+4.5,,"","","colo","",,"","Hill_amm"
57,"WC1_SPOT","K2","2023/08/30","11:44.1",,2460186.98896,356.0,274.0,294.4,356.0,,1,+10.9,+2.5,,"","","colo","",,"","Hill_amm"
58,"WC1_SPOT","L2","2023/08/30","11:44.1",,2460186.98896,5.0,283.0,303.4,5.0,,1,+10.9,+2.5,,"","","colo","",,"","Hill_amm"
59,"WC1_SPOT","L1","2023/08/31","11:30.7",,2460187.97965,154.0,64.5,85.1,154.0,,1,+10.9,+2.5,,"","","colo","",,"","Hill_amm"
60,"WC1_SPOT","K2","2023/08/31","11:30.7",,2460187.97965,121.0,31.5,52.1,121.0,,1,+10.9,+3.0,,"","","colo","",,"","Hill_amm"
61,"WC1_SPOT","L2","2023/08/31","11:30.7",,2460187.97965,164.0,74.5,95.1,164.0,,1,+10.9,+4.0,,"","","colo","",,"","Hill_amm"
62,"WC1_SPOT","L1","2023/08/31","11:53.7",,2460187.99563,157.0,67.3,88.0,157.0,,1,+10.9,+2.5,,"","","colo","",,"","Hill_amm"
63,"WC1_SPOT","L1","2023/09/05","11:38.3",,2460192.98493,222.0,94.3,116.3,222.0,,1,+10.4,+1.5,,"","","colo","",,"","Hill_amm"
64,"WC1_SPOT","L1","2023/09/05","11:38.3",,2460192.98493,204.0,76.3,98.3,204.0,,1,+10.4,+2.5,,"","","colo","",,"","Hill_amm"
65,"WC1_SPOT","L1","2023/09/06","11:33.9",2.5,2460193.98188,8.0,232.7,254.9,8.0,1.5,1,+10.3,+2.0,,"","","colo","",,"","Hill_amm"
66,"WC1_SPOT","L1","2023/09/22","06:29.0",,2460209.77014,168.0,272.2,298.7,168.0,,1,+8.4,+3.5,,"","","colo","",,"","Hill_amm"
67,"WC1_SPOT","L1","2023/09/22","06:29.0",,2460209.77014,204.0,308.2,334.7,204.0,,1,+8.4,+4.5,,"","","colo","",,"","Hill_amm"
68,"WC1_SPOT","K2","2023/09/22","06:29.0",,2460209.77014,221.0,325.2,351.7,221.0,,1,+8.4,+4.5,,"","","colo","",,"","Hill_amm"
69,"WC1_SPOT","L1","2023/09/24","11:48.8",,2460211.99222,355.0,82.2,109.3,355.0,,1,+8.0,+3.0,,"","","colo","",,"","Hill_amm"
70,"WC1_SPOT","L1","2023/09/29","05:32.2",,2460216.73069,158.0,209.1,237.4,158.0,,1,+7.3,+2.5,,"","","colo","",,"","Hill_amm"
71,"WC1_SPOT","K2","2023/09/29","05:32.2",,2460216.73069,201.0,252.1,280.4,201.0,,1,+7.3,+3.5,,"","","colo","",,"","Hill_amm"
72,"WC1_SPOT","K2","2023/09/29","05:32.2",,2460216.73069,164.0,215.1,243.4,164.0,,1,+7.3,+4.5,,"","","colo","",,"","Hill_amm"
73,"WC1_SPOT","K2","2023/10/05","05:49.9",,2460222.74299,359.0,4.2,34.1,359.0,,1,+6.2,+3.5,,"","","colo","",,"","Hill_amm"
74,"WC1_SPOT","K2","2023/10/05","05:49.9",,2460222.74299,21.0,26.2,56.1,21.0,,1,+6.2,+3.5,,"","","colo","",,"","Hill_amm"
75,"WC1_SPOT","L1","2023/10/05","05:49.9",,2460222.74299,56.0,61.2,91.1,56.0,,1,+6.2,+3.5,,"","","colo","",,"","Hill_amm"
76,"WC1_SPOT","L1","2023/10/06","05:04.7",,2460223.71160,175.0,172.8,203.0,175.0,,1,+6.0,+3.5,,"","","colo","",,"","Hill_amm"
77,"WC1_SPOT","L1","2023/10/06","05:04.7",,2460223.71160,205.0,202.8,233.0,205.0,,1,+6.0,+3.5,,"","","colo","",,"","Hill_amm"
78,"WC1_SPOT","K2","2023/10/06","05:04.7",,2460223.71160,161.0,158.8,189.0,161.0,,1,+6.0,+4.5,,"","","colo","",,"","Hill_amm"
79,"WC1_SPOT","L1","2023/10/06","05:35.6",,2460223.73306,203.0,200.6,230.8,203.0,,1,+6.0,+4.5,,"","","colo","",,"","Hill_amm"
80,"WC1_SPOT","L1","2023/10/06","05:35.6",,2460223.73306,225.0,222.6,252.8,225.0,,1,+6.0,+5.0,,"","","colo","",,"","Hill_amm"
81,"WC1_SPOT","K2","2023/10/15","04:56.6",,2460232.70597,132.0,61.2,93.7,132.0,,1,+4.2,+1.5,,"","","colo","",,"","Hill_amm"
82,"WC1_SPOT","L1","2023/10/15","04:56.6",,2460232.70597,168.0,97.2,129.7,168.0,,1,+4.2,+3.5,,"","","colo","",,"","Hill_amm"
83,"WC1_SPOT","K2","2023/10/15","04:56.6",,2460232.70597,189.0,118.2,150.7,189.0,,1,+4.2,+3.5,,"","","colo","",,"","Hill_amm"
84,"WC1_SPOT","K2","2023/10/15","05:22.6",,2460232.72403,163.0,92.0,124.6,163.0,,1,+4.2,+3.0,,"","","colo","",,"","Hill_amm"
85,"WC1_SPOT","K2","2023/10/15","05:22.6",,2460232.72403,216.0,145.0,177.6,216.0,,1,+4.2,+3.5,,"","","colo","",,"","Hill_amm"
86,"WC1_SPOT","L1","2023/10/15","05:22.6",,2460232.72403,189.0,118.0,150.6,189.0,,1,+4.2,+4.5,,"","","colo","",,"","Hill_amm"
87,"WC1_SPOT","L1","2023/10/17","05:05.7",,2460234.71229,140.0,53.9,87.0,140.0,,1,+3.8,+1.5,,"","","colo","",,"","Hill_amm"
88,"WC1_SPOT","K2","2023/10/17","05:05.7",,2460234.71229,156.0,69.9,103.0,156.0,,1,+3.8,+2.5,,"","","colo","",,"","Hill_amm"
89,"WC1_SPOT","L1","2023/10/17","05:05.7",,2460234.71229,116.0,29.9,63.0,116.0,,1,+3.8,+4.5,,"","","colo","",,"","Hill_amm"
90,"WC1_SPOT","L1","2023/10/17","05:05.7",,2460234.71229,80.0,353.9,27.0,80.0,,1,+3.8,+5.5,,"","","colo","",,"","Hill_amm"
91,"WC1_SPOT","L1","2023/10/17","05:33.2",,2460234.73139,118.0,31.7,64.8,118.0,,1,+3.8,+3.5,,"","","colo","",,"","Hill_amm"
92,"WC1_SPOT","K2","2023/10/17","05:33.2",,2460234.73139,140.0,53.7,86.8,140.0,,1,+3.8,+3.5,,"","","colo","",,"","Hill_amm"
