Collection,ROI Name,Start Colat,End Colat,Lon,Width,Obskeys,CM
20230827-20240301 NEDF,NEDF1,80,83,207.0,2.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20230827-20240301 NEDF,Fest1,85,88,215.0,2.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20230827-20240301 NEDF,Plume1,85,88,207.0,2.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20230827-20240301 NEDF, +NH3,84,89,210,10.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20230827-20240301 NEDF, -NH3,84,89,185,10.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20230827-20240301 NEDF,STrZ Ref,91,93,200.0,3.0,20230827UTa;20230905UTa;20230922UTa;20230929UTa;20231006UTa,200
20241115-20241115,CORE,91,93,200.0,2.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241115-20241115,NE Plume,91,93,200.0,2.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241115-20241115,SW Plume,91,93,200.0,2.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241115-20241115,SEB Ref1,91,93,200,2.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241115-20241115,SEB Ref2,91,93,200,2.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241115-20241115,STrZ Ref,91,93,200.0,3.0,20241115UTa;20241115UTb;20241115UTc;20241115UTd;20241115UTe,200
20241129-20241129 NEDF 235,NEDF1,80,82,237.0,2.0,20241129UTc;20241129UTd;20241129UTe;20241129UTf;20241129UTg,235
20241129-20241129 NEDF 235,Plume1,83,85,229.0,2.0,20241129UTc;20241129UTd;20241129UTe;20241129UTf;20241129UTg,235
20241129-20241129 NEDF 235, +NH3,85,88,236,2.0,20241129UTc;20241129UTd;20241129UTe;20241129UTf;20241129UTg,235
20241129-20241129 NEDF 235,NEB Ref,75,77,232,8.0,20241129UTc;20241129UTd;20241129UTe;20241129UTf;20241129UTg,235
20241129-20241129 NEDF 280,NEDF1,80,83,282.0,2.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 280,Fest1,84,87,288.0,2.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 280,Fest2,92,94,288.0,2.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 280,Plume1,83,85,274.0,2.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 280, +NH3,84,87,279,2.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 280,NEB Ref,75,77,277,8.0,20241129UTg;20241129UTh;20241129UTi;20241129UTj;20241129UTk;20241129UTl;20241129UTm,280
20241129-20241129 NEDF 322,NEDF1,80,83,327.0,2.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 322,Fest1,84,87,333.0,2.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 322,Fest2,92,94,333.0,2.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 322,Plume1,83,85,319.0,2.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 322, +NH3,84,87,324,2.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 322,NEB Ref,75,77,322,8.0,20241129UTj;20241129UTk;20241129UTl;20241129UTm;20241129UTn,322
20241129-20241129 NEDF 340,NEDF1,80,83,345.0,2.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241129-20241129 NEDF 340,Fest1,84,87,352.0,2.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241129-20241129 NEDF 340,Fest2,92,94,352.0,2.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241129-20241129 NEDF 340,Plume1,83,85,337.0,2.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241129-20241129 NEDF 340, +NH3,84,87,342,2.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241129-20241129 NEDF 340,NEB Ref,75,77,340,8.0,20241129UTm;20241129UTn;20241129UTo;20241129UTp,340
20241202-20241202 NEDF 235,NEDF1,80,82,237.0,2.0,20241202UTa;20241202UTb;20241202UTc,235
