label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,2460681.609522059,2025-01-06T02:37:42.706,1100.0,0.8376149903223225,2.33,22.334545454545463,2.2035534681830615,22.113164334694034,1775.219796122258,1581.1259787900128,1849.8360135256767,100.64449068186734,66.35216220131164,158.16156216256655,1850
2,2460681.6172502954,2025-01-06T02:48:50.426,1.0,0,-14.0,29.0,-14.0,29.0,1841.170740181697,1841.170740181697,1841.170740181697,86.12249999269416,86.12249999269416,86.12249999269416,1850
3,2460681.6295583337,2025-01-06T03:06:33.840,1.0,0,-5.0,40.0,-5.0,40.0,1844.42288629581,1844.42288629581,1844.42288629581,104.96276605534284,104.96276605534284,104.96276605534284,1850
4,2460681.6437295754,2025-01-06T03:26:58.235,1.0,0,-14.0,52.0,-14.0,52.0,1839.70053414143,1839.70053414143,1839.70053414143,87.12109874307657,87.12109874307657,87.12109874307657,1850
5,2460681.647084811,2025-01-06T03:31:48.128,46.0,0.6717542366056546,-4.826086956521738,55.826086956521735,-4.824251423779906,55.82273994514591,1832.4060598628507,1800.9616420278874,1849.938070639306,106.98005347994447,92.68137324047618,119.62927815092958,1850
6,2460681.647084811,2025-01-06T03:31:48.128,4.0,0.836165849461683,-13.5,56.25,-13.50013647795457,56.249206773529906,1844.92339127802,1842.035506739241,1846.9099158886906,85.78835537997253,84.66407274019757,86.73301784951137,1850
7,2460681.6526232995,2025-01-06T03:39:46.653,2.0,1.0,-13.5,59.5,-13.500573906555346,59.500573906555346,1845.7504627840497,1843.6318862038024,1847.869039364297,85.94400897424427,84.40890300967513,87.47911493881341,1850
8,2460681.6783055556,2025-01-06T04:16:45.600,307.0,0.862001697492313,7.612377850162867,82.83061889250814,7.640467317608054,82.7539678196431,1771.5461928141951,1635.037829619314,1849.9138332803793,101.11143849969113,74.51161833894984,145.9047458732683,1850
9,2460681.7306293403,2025-01-06T05:32:06.375,495.0,0.8194499871787719,5.668686868686869,127.78585858585859,5.64817812937917,127.59084307800786,1742.698310671555,1523.3713166652885,1849.9839306368888,104.80174840903679,62.82659011987111,164.62542587158055,1850
10,2460681.767975,2025-01-06T06:25:53.040,81.0,0.9324654185754935,-8.481481481481481,163.07407407407408,-8.477116991315583,163.06710786335552,1815.0326540288174,1774.2766128957492,1849.4183217973996,109.04772187377088,101.6432513011181,117.21429010582732,1850
11,2460681.77138587,2025-01-06T06:30:47.739,283.0,0.8685333578805058,7.618374558303887,166.42049469964664,7.6329320163353644,166.5507158949983,1757.6732686945986,1542.0743321937339,1849.5546063708478,108.18943786809878,71.51987361369876,154.2106950945601,1850
12,2460681.7776882313,2025-01-06T06:39:52.263,33.0,0.7041146544399703,-11.0,178.12121212121212,-10.99602656591528,178.11008263957294,1798.4128205074499,1737.9516230558684,1842.8498815443552,104.52618818005813,97.7227212335972,111.63968389843176,1850
