Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,minima,0,2025-11-12T07:10:50.000,2460991.799189815,16,65,-1,115,116.00486630193991,1795.0285581906928,0.7753053906290175
NH3,minima,1,2025-11-12T07:41:48.679,2460991.820702306,14,26,1,154,86.5185480561988,1808.8984855073563,0.8131779219301557
PCloud,maxima,0,2025-11-12T06:53:00.000,2460991.7868055557,25,88,-10,92,515.8307197110075,2081.447223159664,0.5603289227115864
PCloud,maxima,1,2025-11-12T06:53:00.000,2460991.7868055557,4,88,11,92,507.6451132858383,1941.889300658343,0.6471792982871263
PCloud,maxima,2,2025-11-12T06:58:32.143,2460991.7906498015,4,83,11,97,330.90697936994917,1948.4174187338124,0.6363081115149218
PCloud,maxima,3,2025-11-12T07:20:28.286,2460991.8058829363,4,53,11,127,166.861978583643,1887.6977500110308,0.7305592504133791
PCloud,maxima,4,2025-11-12T07:21:22.500,2460991.806510417,6,48,9,132,139.47090858295053,1888.466736728212,0.7528864178360141
PCloud,minima,0,2025-11-12T06:53:00.000,2460991.786805556,14,97,1,83,231.98840537328192,1794.3050742114513,0.5978446363115754
PCloud,minima,1,2025-11-12T07:10:50.000,2460991.799189815,10,65,5,115,127.14922022976747,1772.8878548167697,0.7712246858864463
PCloud,minima,2,2025-11-12T07:32:00.000,2460991.813888889,15,35,0,145,97.20278190465405,1796.0682640835723,0.8328509288183193
PCloud,minima,3,2025-11-12T07:44:45.000,2460991.8227430554,15,24,0,156,93.97815640553536,1804.1240365048336,0.817139058857304
PCloud,minima,4,2025-11-12T08:03:50.400,2460991.836,15,14,0,166,133.23441456233928,1803.3767035005883,0.793888799403481
RGB,maxima,0,2025-11-12T07:10:50.000,2460991.799189815,18,61,-3,119,119.15676942172438,1831.0245291685496,0.8058705665713407
RGB,maxima,1,2025-11-12T07:21:22.500,2460991.806510417,16,48,-1,132,117.92679610921677,1855.1495375036652,0.8176611253092008
RGB,maxima,2,2025-11-12T07:32:00.000,2460991.813888889,17,34,-2,146,95.94367279524184,1812.951830420603,0.8413735115740707
RGB,maxima,3,2025-11-12T07:47:55.102,2460991.8249433106,17,21,-2,159,103.52246370743882,1824.897833433553,0.8257371838000322
RGB,maxima,4,2025-11-12T08:14:54.000,2460991.8436805555,18,7,-3,173,123.87137901300233,1838.9708088537213,0.8094402330443977
RGB,minima,0,2025-11-12T06:53:00.000,2460991.786805556,14,97,1,83,231.98840537328192,1794.3050742114513,0.5978446363115754
RGB,minima,1,2025-11-12T06:56:52.500,2460991.789496528,5,85,10,95,355.9476184814211,1924.0317203619995,0.6310345122170314
RGB,minima,2,2025-11-12T07:38:30.000,2460991.818402778,5,29,10,151,116.40691694885088,1851.9354207342988,0.7078452849379097
RGB,minima,3,2025-11-12T08:06:03.000,2460991.8375347224,6,13,9,167,105.08785852532911,1857.257994557856,0.709841818752805
