Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
,1,2460592.711,2024-10-09T05:04:06.000,3,1,-13,168,-13.00028691,167.9997131,2034.184435,2031.728243,2037.345909,112.0105255,110.5405259,114.1182192,2030
,2,2460592.557,2024-10-09T01:22:02.160,1,0,-13,175,-13,175,2034.937206,2034.937206,2034.937206,119.2876261,119.2876261,119.2876261,2030
,3,2460592.196,2024-10-08T16:42:04.200,1,0,-14,180,-14,180,2035.439425,2035.439425,2035.439425,125.1927685,125.1927685,125.1927685,2030
1,1,2460600.016,2024-10-16T12:23:36.000,102,0.860145067,-6.431372549,7.362745098,-6.434089945,7.325455755,2069.698624,2030.408001,2146.798416,158.0600772,126.8430354,172.7255192,2030
,2,2460598.019,2024-10-14T12:27:54.462,1122,0.665407533,-0.07486631,94.24153298,-0.340162243,94.74161143,2251.601555,2030.555367,2779.123621,84.95064302,6.96446086,177.1028465,2030
,1,2460610.832,2024-10-27T07:57:27.600,2,1,-2.5,158,-2.499896645,158,2031.882049,2031.462037,2032.30206,101.2856631,100.5538516,102.0174746,2030
,2,2460610.833,2024-10-27T07:58:54.000,1,0,-1,160,-1,160,2031.881732,2031.881732,2031.881732,102.5555472,102.5555472,102.5555472,2030
,1,2460632.828,2024-11-18T07:52:50.400,66,0.77827058,6.090909091,35.60606061,6.104019874,35.60493543,2057.570188,2030.559809,2100.424885,153.4792237,132.21598,173.9945051,2030
1,2,2460632.843,2024-11-18T08:13:46.000,67,0.870562956,-9.552238806,59.74626866,-9.551309618,59.75012119,2059.210267,2031.250479,2096.294958,116.7308838,105.4052655,131.2450191,2030
1,1,2460642.7,2024-11-28T04:48:01.412,118,0.849811603,-1.13559322,58.59322034,-1.13013312,58.60302117,2078.723753,2030.337572,2144.43767,140.15433,130.138391,147.0676949,2030
1,1,2460647.631,2024-12-03T03:09:12.000,104,0.846376825,-1.798076923,63.99038462,-1.796258114,63.98852166,2078.535831,2030.163314,2131.965994,135.6955028,121.0195668,141.5606823,2030
A1,2,2460647.639,2024-12-03T03:20:43.500,28,0.775359134,-4.464285714,79.46428571,-4.464179828,79.46658043,2049.560927,2031.164038,2079.95244,132.6341695,118.2989478,139.3289838,2030
,1,2460649.642,2024-12-05T03:24:00.000,2,1,-6.5,38,-6.500288489,38,2031.322631,2030.150603,2032.494659,114.8317492,112.381803,117.2816955,2030
1,2,2460649.69,2024-12-05T04:33:49.050,147,0.962344174,-3.870748299,74.44217687,-3.887194467,74.5005832,2086.409446,2030.693749,2223.007167,132.9982825,103.0223247,144.0913191,2030
,1,2460681.647,2025-01-06T03:31:48.128,22,0.798047136,8.590909091,56.22727273,8.590523881,56.22596386,2055.380603,2030.650938,2086.215217,143.1325483,126.00382,156.4047713,2030
,2,2460681.664,2025-01-06T03:55:48.000,18,0.820104649,-3.833333333,72.44444444,-3.833639026,72.44477411,2041.037942,2030.5224,2054.188867,117.5089723,110.9451537,123.9859062,2030
1,3,2460681.693,2025-01-06T04:38:25.957,156,0.973173145,-8.775641026,95.31410256,-8.761226439,95.26304952,2063.718759,2030.02383,2161.797266,110.6844317,98.75652448,127.2314887,2030
,4,2460681.703,2025-01-06T04:52:38.170,75,0.869351678,6.4,104.12,6.401919735,104.112901,2094.244024,2031.324263,2166.360426,140.5855639,110.7672888,152.4949203,2030
,5,2460681.744,2025-01-06T05:50:48.000,36,0.669182915,-6.555555556,138.4444444,-6.55315006,138.4450668,2060.742216,2032.23648,2108.797947,123.0541502,109.2895896,131.8455396,2030
,1,2460691.543,2025-01-16T01:02:32.000,1,0,-6,89,-6,89,2035.052108,2035.052108,2035.052108,111.6098712,111.6098712,111.6098712,2030
,2,2460691.622,2025-01-16T02:55:44.880,7,0.969935984,-9.714285714,172.7142857,-9.713444482,172.7157407,2035.989744,2031.779295,2044.975891,111.0899148,106.4291449,114.6556453,2030
,3,2460691.628,2025-01-16T03:04:22.320,7,0.72687107,-8.857142857,178.4285714,-8.857907136,178.4295818,2034.896142,2030.283914,2042.792208,113.8490684,110.0600322,116.7584213,2030
,1,2460702.589,2025-01-27T02:07:38.813,7,0.955606662,7.714285714,66.14285714,7.71527385,66.14176623,2041.320777,2032.145747,2061.533762,149.771784,144.8543971,155.3669603,2030
,2,2460702.602,2025-01-27T02:27:09.796,1,0,-5,90,-5,90,2031.207378,2031.207378,2031.207378,116.0518229,116.0518229,116.0518229,2030
1,3,2460702.608,2025-01-27T02:35:34.588,57,0.904619139,-5.543859649,97.56140351,-5.543415983,97.56050501,2046.521455,2031.156462,2074.686453,115.4936045,103.1470067,125.6919435,2030
A1,4,2460702.623,2025-01-27T02:56:29.647,15,0.908990461,-4.266666667,110.2666667,-4.267626359,110.2653566,2039.477358,2030.245006,2054.759529,115.5247304,111.4958026,120.2732139,2030
,5,2460702.708,2025-01-27T04:59:31.091,6,0.87038828,7.333333333,178.5,7.333090465,178.5012309,2042.231359,2033.557108,2048.728136,142.1519912,133.8245416,147.5009965,2030
,1,2460704.591,2025-01-29T02:11:18.245,4,0.790569415,-10.75,37,-10.75005857,37.00070039,2032.943321,2030.940209,2036.63565,104.3600862,102.9097048,105.7094991,2030
,2,2460704.598,2025-01-29T02:20:54.360,1,0,-11,44,-11,44,2034.714912,2034.714912,2034.714912,105.749625,105.749625,105.749625,2030
,3,2460704.606,2025-01-29T02:32:23.265,4,0.790569415,-11.25,50,-11.24990605,50.00088922,2034.024542,2030.55218,2037.786981,109.5417926,108.1461689,111.0580795,2030
,4,2460704.608,2025-01-29T02:35:43.731,1,0,-11,53,-11,53,2036.5461,2036.5461,2036.5461,107.9699624,107.9699624,107.9699624,2030
,5,2460704.619,2025-01-29T02:51:19.915,7,0.982858886,8.428571429,65.42857143,8.42802735,65.42841391,2038.558294,2030.370033,2050.809232,145.2368614,135.2744422,154.219743,2030
,6,2460704.65,2025-01-29T03:36:19.787,2,1,-1,90.5,-1,90.50014353,2038.074865,2037.489798,2038.659932,125.851872,125.2903368,126.4134072,2030
1,7,2460704.664,2025-01-29T03:55:56.400,131,0.760447605,-6.564885496,100.6030534,-6.560931666,100.5979166,2058.787198,2030.320534,2105.041651,121.4212682,105.9296798,139.8526275,2030
1,1,2460734.628,2025-02-28T03:03:56.400,175,0.840401397,-8.165714286,124.0914286,-8.168135974,124.0896361,2049.452728,2030.064751,2074.789329,125.078924,114.1362525,139.7998975,2030
,2,2460734.665,2025-02-28T03:57:03.750,25,0.779705959,8.88,158.16,8.880076066,158.1599584,2042.846761,2030.071894,2061.188411,139.4360209,122.2415417,158.6553816,2030
1,1,2460736.677,2025-03-02T04:15:09.600,46,0.968033878,-9.717391304,123.4130435,-9.717935985,123.4161093,2041.534262,2030.125494,2067.575052,113.7311021,108.3583087,120.4719861,2030
,1,2460743.66,2025-03-09T03:50:22.683,1,0,-10,140,-10,140,2037.491625,2037.491625,2037.491625,106.1074044,106.1074044,106.1074044,2030
,2,2460743.679,2025-03-09T04:17:39.000,173,0.853060472,-9.144508671,170.1907514,-9.146367094,170.211418,2071.114092,2030.152142,2144.793614,127.7955148,114.9013014,144.3890573,2030
,3,2460743.679,2025-03-09T04:17:39.000,10,0.8841973,1.9,173,1.899309017,173.0017313,2042.040937,2030.214184,2065.204603,149.4406504,142.2159619,157.3209008,2030
2,1,2460937.962,2025-09-19T11:05:16.390,361,0.934795134,-8.689750693,22.99168975,-8.667288227,23.13596312,2128.334371,2030.215846,2315.111803,135.8785145,104.5750706,169.1885721,2030
2,1,2460944.949,2025-09-26T10:47:04.186,350,0.849075717,-7.348571429,37.15714286,-7.351609114,37.20923747,2165.97899,2030.477488,2376.911602,141.4945625,117.6306749,164.3970378,2030
,2,2460944.989,2025-09-26T11:43:49.059,4,0.912870929,-12.25,91.25,-12.24956426,91.24932203,2034.229678,2030.684085,2039.674261,112.8502406,111.3010177,114.5389857,2030
,3,2460944.998,2025-09-26T11:57:20.182,30,0.958701034,-12.46666667,107.2333333,-12.46544071,107.2344614,2042.407718,2030.195386,2068.997768,115.4847124,114.0368079,119.0896967,2030
2,1,2460949.409,2025-09-30T21:48:42.000,413,0.978623396,-9.290556901,34.61501211,-9.262734498,34.81036152,2102.364585,2030.020168,2300.671438,127.1561039,96.37176024,161.1285018,2030
2,1,2460965.754,2025-10-17T06:05:02.700,149,0.858006512,-7.563758389,60.41610738,-7.560415073,60.42043041,2091.312113,2030.792639,2160.782181,129.7547783,107.7232843,154.1683542,2030
