Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
,1,2460591.556,2024-10-08T01:20:25.200,107,0.377578248,7.859813084,5.439252336,7.873926812,5.492375552,1650.343638,1538.17192,1748.931749,94.63200214,57.39738451,131.8801383,1750
,2,2460590.222,2024-10-06T17:19:08.571,545,0.841703839,3.928440367,56.89174312,3.898359999,56.81844996,1685.869939,1558.400079,1749.161918,102.5585286,76.95225411,126.8279268,1750
,3,2460589.793,2024-10-06T07:02:12.000,3,0.97372313,-1.666666667,79,-1.666174563,79.00072504,1745.014262,1743.657491,1747.590444,91.53409472,87.99763063,95.85931001,1750
,4,2460589.793,2024-10-06T07:02:12.000,1,0,-5,79,-5,79,1747.2359,1747.2359,1747.2359,81.10694428,81.10694428,81.10694428,1750
,5,2460589.793,2024-10-06T07:02:12.000,2,1,10.5,82,10.50033319,82,1737.608805,1736.450883,1738.766726,86.69039527,84.66183454,88.71895599,1750
,6,2460589.793,2024-10-06T07:02:12.000,2,1,-6.5,82,-6.499907309,82,1742.297813,1741.974823,1742.620804,71.48234475,69.75410326,73.21058624,1750
,7,2460589.793,2024-10-06T07:02:12.000,60,0.930279727,2.95,85.26666667,2.940828789,85.26013426,1724.738998,1654.285012,1749.888848,92.09058667,62.74224535,104.1842804,1750
,8,2460589.793,2024-10-06T07:02:12.000,2,1,-8,86.5,-8,86.50063171,1735.58088,1733.388103,1737.773657,66.69852697,62.95179224,70.4452617,1750
,9,2460593.986,2024-10-10T11:40:06.000,8,0.851469318,-11.125,89.625,-11.12380403,89.62927805,1726.63948,1685.932496,1743.655289,98.10909278,92.83277382,105.3910052,1750
,10,2460593.988,2024-10-10T11:42:16.800,1,0,-8,102,-8,102,1748.034966,1748.034966,1748.034966,127.3807175,127.3807175,127.3807175,1750
,11,2460593.989,2024-10-10T11:44:03.818,551,0.760568588,4.219600726,103.154265,4.146529303,103.221773,1661.970201,1498.267445,1749.805547,103.0542107,53.3285008,136.3572862,1750
,12,2460593.994,2024-10-10T11:51:00.000,2,1,-2,115.5,-2,115.501004,1745.227843,1741.723356,1748.73233,123.7333516,123.0247261,124.4419771,1750
,13,2460593.085,2024-10-09T14:01:48.000,193,0.974687674,7.176165803,153.1243523,7.179010545,153.0624625,1705.077285,1634.498413,1749.375445,88.33460688,64.08451761,112.3986758,1750
,14,2460592.196,2024-10-08T16:42:04.200,6,0.87038828,5.5,179.6666667,5.499091075,179.6664693,1738.118624,1734.42273,1742.774909,97.41502471,95.49466249,98.87203357,1750
,1,2460600.016,2024-10-16T12:23:36.000,70,0.873970009,6.8,6.2,6.798806692,6.217557071,1704.728312,1636.070726,1749.753125,137.2828798,108.6687053,159.2357141,1750
1,2,2460599.216,2024-10-15T17:11:24.000,28,0.655925668,-11.71428571,43.64285714,-11.70558861,43.64290059,1732.981611,1702.218395,1749.718713,133.5340903,123.376619,142.3154833,1750
,3,2460599.139,2024-10-15T15:20:37.756,767,0.915998098,6.271186441,47.90221643,6.172612039,47.86582518,1617.489997,1435.93816,1749.476817,123.7669873,53.40242768,190.9995287,1750
,1,2460610.717,2024-10-27T05:13:06.000,59,0.931135984,7.288135593,21.25423729,7.306484517,21.26250333,1722.680093,1667.17943,1749.455892,70.4020552,27.91398986,95.15444288,1750
,2,2460610.717,2024-10-27T05:13:06.000,1,0,-7,22,-7,22,1735.026625,1735.026625,1735.026625,80.21274594,80.21274594,80.21274594,1750
,3,2460610.717,2024-10-27T05:13:06.000,1,0,10,24,10,24,1741.246928,1741.246928,1741.246928,63.69833245,63.69833245,63.69833245,1750
,4,2460610.717,2024-10-27T05:13:06.000,1,0,-8,24,-8,24,1727.656871,1727.656871,1727.656871,85.9891155,85.9891155,85.9891155,1750
,5,2460610.717,2024-10-27T05:13:06.000,1,0,-5,25,-5,25,1749.741879,1749.741879,1749.741879,86.26305392,86.26305392,86.26305392,1750
,6,2460610.717,2024-10-27T05:13:06.000,4,0.912870929,4.75,26.75,4.749799203,26.74889293,1742.892155,1736.703479,1747.551475,88.29500846,82.18170482,93.85677856,1750
,7,2460610.717,2024-10-27T05:13:06.000,3,0.816496581,2.333333333,28.66666667,2.329767465,28.66487085,1737.028945,1718.446898,1746.3871,91.20033771,88.7987668,94.61641317,1750
,8,2460610.717,2024-10-27T05:13:06.000,2,1,8,29.5,8,29.50001195,1740.197151,1740.155572,1740.238729,72.06885494,70.7806916,73.35701827,1750
,9,2460610.723,2024-10-27T05:21:30.000,1,0,6,36,6,36,1748.646964,1748.646964,1748.646964,88.54633344,88.54633344,88.54633344,1750
,10,2460610.733,2024-10-27T05:35:06.000,351,0.959848918,8.763532764,53.89173789,8.767404526,53.80455714,1710.802194,1626.627954,1749.676482,70.99430112,29.65040019,113.4016503,1750
,11,2460610.749,2024-10-27T05:59:01.200,74,0.844308023,0.256756757,90.31081081,0.259663549,90.31126436,1738.444159,1716.189679,1749.887526,91.88179351,74.93254827,103.6726567,1750
,12,2460610.766,2024-10-27T06:22:44.400,1,0,4,99,4,99,1744.077363,1744.077363,1744.077363,108.6368161,108.6368161,108.6368161,1750
,13,2460610.773,2024-10-27T06:33:15.405,215,0.733638704,5.451162791,110.4046512,5.423988391,110.3771445,1711.960211,1639.212246,1749.860015,106.0566455,86.64537105,124.0998946,1750
,14,2460610.779,2024-10-27T06:42:05.400,1,0,-1,115,-1,115,1749.235722,1749.235722,1749.235722,103.5183074,103.5183074,103.5183074,1750
,1,2460619.701,2024-11-05T04:49:19.500,13,0.65064203,-12.61538462,2.153846154,-12.61157063,2.156112073,1731.530419,1708.296011,1745.298083,91.5067912,87.08738021,100.1543278,1750
,2,2460619.706,2024-11-05T04:57:03.000,248,0.690837279,8.5,9.653225806,8.495039763,9.686245988,1647.511092,1556.110677,1749.40598,96.19068603,58.11604821,131.4497714,1750
,3,2460619.744,2024-11-05T05:50:53.455,194,0.933029431,7.278350515,60.90206186,7.280086513,60.9155989,1705.698656,1646.267826,1749.898535,108.7756946,79.01546231,138.3805704,1750
,4,2460619.792,2024-11-05T07:00:40.500,715,0.877200927,2.45034965,103.2965035,2.417090199,103.216442,1702.749833,1532.869774,1749.698582,99.64761885,73.9418137,136.6134052,1750
,5,2460619.814,2024-11-05T07:31:36.000,1,0,-1,122,-1,122,1748.259319,1748.259319,1748.259319,118.4995764,118.4995764,118.4995764,1750
,6,2460619.814,2024-11-05T07:31:36.000,2,1,-2,127.5,-2,127.4996161,1748.271732,1746.929424,1749.614039,118.9953251,118.5484612,119.4421889,1750
,7,2460619.814,2024-11-05T07:31:36.000,1,0,12,128,12,128,1749.622032,1749.622032,1749.622032,97.63929645,97.63929645,97.63929645,1750
,8,2460619.822,2024-11-05T07:43:18.909,22,0.935777378,8.818181818,133.5,8.82057686,133.4924072,1736.925424,1714.418712,1749.847495,114.5998342,100.4759329,124.0888515,1750
,9,2460619.857,2024-11-05T08:33:27.000,97,0.738324574,7.010309278,162.7938144,7.010904951,162.7830312,1705.129324,1633.051395,1749.609327,114.3314776,91.84880944,135.8595253,1750
,1,2460632.794,2024-11-18T07:03:37.412,7,0.779634572,11.71428571,2,11.71509459,2.001121495,1746.361796,1736.485612,1749.714843,76.38811335,72.58262454,79.81152001,1750
