Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2022-10-13T03:45:30.000,2459865.656597222,17,226,-2,134,104.82035944798051,1745.9829037447403,0.5098039507865906
1,2022-10-13T03:45:30.000,2459865.656597222,8,208,7,152,104.82771685368022,1738.348908238223,0.6352941393852234
2,2022-10-13T03:45:30.000,2459865.656597222,14,194,1,166,115.59183942952251,1725.0391090722464,0.7333333492279053
3,2022-10-13T03:45:30.000,2459865.656597222,15,175,0,185,119.8134788753071,1670.1453955446987,0.729411780834198
4,2022-10-13T03:45:30.000,2459865.656597222,17,168,-2,192,115.3106081594298,1670.6243791086738,0.686274528503418
5,N/A,0.0,7,132,8,228,104.05929445177946,1678.307809821438,0.674509823322296
6,N/A,0.0,15,130,0,230,133.14583992935272,1605.9895982213386,0.7450980544090271
7,2022-10-09T04:01:30.000,2459861.667708333,7,126,8,234,98.846695992775,1680.6958237189335,0.686274528503418
8,2022-10-09T04:01:30.000,2459861.667708333,14,111,1,249,129.32536187621875,1619.502300430528,0.7764706015586853
9,2022-10-09T04:01:30.000,2459861.667708333,10,101,5,259,119.66091932812391,1660.6520772827341,0.8156862854957581
10,2022-10-09T04:01:30.000,2459861.667708333,17,99,-2,261,115.31238278431135,1678.6913328770388,0.7764706015586853
11,2022-10-09T04:01:30.000,2459861.667708333,13,87,2,273,132.39340201504896,1675.0545326693252,0.6980392336845398
12,2022-10-09T04:37:48.750,2459861.692925347,15,75,0,285,109.00383670212784,1657.8115050278477,0.6147059053182602
13,2022-10-09T04:43:00.000,2459861.6965277777,9,65,6,295,106.18332222292872,1641.9227263084456,0.5823529660701752
14,2022-10-09T04:43:00.000,2459861.6965277777,18,61,-3,299,108.14446817434194,1658.5173892784924,0.5764705985784531
15,2022-10-09T04:45:26.471,2459861.698223039,11,60,4,300,117.94292274195502,1656.1041784484823,0.56747406019884
16,2022-10-09T05:24:30.000,2459861.7253472223,18,49,-3,311,104.97877582201319,1726.7553627881123,0.7019608020782471
17,2022-10-09T05:24:30.000,2459861.7253472223,19,34,-4,326,110.04149585493683,1732.9766798227806,0.7450980544090271
18,2022-10-09T05:24:30.000,2459861.7253472223,11,31,4,329,124.0496244060309,1706.5244312106483,0.7098039388656616
19,2022-10-09T05:24:30.000,2459861.7253472223,19,27,-4,333,105.24850667980293,1708.6142978849089,0.7568627595901489
