Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,4,238,1754.5782470703125,155.8845672607422
xyfnh3max,2,7,254,1693.498046875,133.37692260742188
xyfnh3max,3,3,274,1702.9459228515625,129.3157501220703
xyfnh3max,4,3,299,1767.3641357421875,145.1929931640625
xyfnh3min,1,-2,224,1594.4581298828125,90.89789581298828
xyfnh3min,2,-8,231,1811.7574462890625,78.94390106201172
xyfnh3min,3,-3,248,1743.92626953125,101.94219207763672
xyfnh3min,4,-3,261,1708.353759765625,111.35069274902344
xyfnh3min,5,-8,270,1943.2447509765625,111.59262084960938
xyfnh3min,6,-5,327,1726.5853271484375,97.75454711914062
xyPcldmax,1,7,240,1801.7744140625,137.7661590576172
xyPcldmax,2,6,303,1826.321533203125,128.02239990234375
xyPcldmax,3,7,324,1904.8072509765625,120.15221405029297
xyPcldmin,1,1,224,1514.2945556640625,98.90258026123047
xyPcldmin,2,8,251,1581.07666015625,114.328857421875
xyPcldmin,3,1,267,1665.2340087890625,118.87263488769531
xyPcldmin,4,1,284,1642.86083984375,122.19750213623047
xyPcldmin,5,2,289,1638.3900146484375,134.15090942382812
xyPcldmin,6,-1,305,1723.1689453125,122.57282257080078
xyPcldmin,7,-1,319,1687.919921875,120.31584167480469
