label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460610.8314583334,2024-10-27T07:57:18.000,118.0,0.8714596527814259,-2.618644067796609,161.364406779661,-2.6186144292318474,161.36500138467588,2025.0829104047075,2000.4233164846992,2082.428283941682,95.97338867933234,81.49231405609147,106.63514890116639
2,2460610.874861111,2024-10-27T08:59:48.000,1.0,0,11.0,198.0,11.0,198.0,2001.4493626820204,2001.4493626820204,2001.4493626820204,100.15697138057371,100.15697138057371,100.15697138057371
3,2460610.874861111,2024-10-27T08:59:48.000,2.0,1.0,3.5,198.0,3.5006178271139117,198.0,2004.9263248900227,2002.4489292002,2007.4037205798454,98.78366003481881,98.00831406422839,99.55900600540922
4,2460610.874861111,2024-10-27T08:59:48.000,1.0,0,-9.0,200.0,-9.0,200.0,2011.3323913597765,2011.3323913597765,2011.3323913597765,92.21586994483201,92.21586994483201,92.21586994483201
5,2460610.874861111,2024-10-27T08:59:48.000,1.0,0,-11.0,200.0,-11.0,200.0,2001.4438027250023,2001.4438027250023,2001.4438027250023,95.22102139424638,95.22102139424638,95.22102139424638
6,2460610.874861111,2024-10-27T08:59:48.000,109.0,0.9184779254901067,-2.990825688073393,203.67889908256882,-2.9953692503515015,203.68125587666486,2015.077768381082,2000.0106926894525,2061.0229826468462,95.52634759323651,87.89700149346963,107.57875607390403
7,2460610.874861111,2024-10-27T08:59:48.000,1.0,0,2.0,204.0,2.0,204.0,2004.150480870076,2004.150480870076,2004.150480870076,94.40583040540884,94.40583040540884,94.40583040540884
8,2460610.874861111,2024-10-27T08:59:48.000,4.0,0.7905694150420949,-12.0,206.25,-11.999425144731187,206.2501650484871,2007.996843664429,2005.3798951367048,2009.9971253980661,93.76510161320465,92.2390004320905,96.2358349203836
9,2460610.874861111,2024-10-27T08:59:48.000,2.0,1.0,-5.5,211.0,-5.496396031924242,211.0,2019.6741821140329,2005.1164995624836,2034.2318646655822,90.28814334320131,89.75659580856296,90.81969087783966
10,2460610.8821527776,2024-10-27T09:10:18.000,1.0,0,-6.0,221.0,-6.0,221.0,2007.1159779836478,2007.1159779836478,2007.1159779836478,91.92587764604765,91.92587764604765,91.92587764604765
11,2460610.8821527776,2024-10-27T09:10:18.000,3.0,1.0,-9.0,222.0,-9.000576945390794,222.0,2012.5916084983821,2004.7643302616907,2018.246980794836,80.74283839095612,76.54276139219782,84.24722669970178
12,2460610.8821527776,2024-10-27T09:10:18.000,1.0,0,-6.0,226.0,-6.0,226.0,2009.661659226607,2009.661659226607,2009.661659226607,88.8219345148212,88.8219345148212,88.8219345148212
13,2460610.8821527776,2024-10-27T09:10:18.000,1.0,0,-9.0,226.0,-9.0,226.0,2001.2637457172843,2001.2637457172843,2001.2637457172843,87.75074404768026,87.75074404768026,87.75074404768026
14,2460610.8821527776,2024-10-27T09:10:18.000,1.0,0,-6.0,228.0,-6.0,228.0,2001.7072305863248,2001.7072305863248,2001.7072305863248,92.57743696292617,92.57743696292617,92.57743696292617
15,0.0,-04713-11-24T12:00:00.000,2.0,1.0,-5.5,231.0,-5.499420631599069,231.0,2005.6890672784134,2003.3650015430671,2008.0131330137594,102.14960777058232,99.10136591629283,105.19784962487181
