label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max
1,2460619.7062847223,2024-11-05T04:57:03.000,3.0,0.816496580927726,6.666666666666666,22.333333333333314,6.670813443464251,22.33389483588826,137.0613913732671,135.35630238049288,138.5355994017312,1825.1338140175785,1808.0188002638442,1842.4717391857673
2,2460619.7062847223,2024-11-05T04:57:03.000,3.0,1.0,7.0,25.0,7.001558581420599,25.0,135.49469534604074,135.1145842693277,136.00152015653134,1902.1851123930765,1898.8005751678197,1908.0718105346261
3,2460619.717013889,2024-11-05T05:12:30.000,1.0,0,1.0,39.0,1.0,39.0,135.60564714420045,135.60564714420045,135.60564714420045,1963.547629042471,1963.547629042471,1963.547629042471
4,2460619.717013889,2024-11-05T05:12:30.000,5.0,0.816496580927726,2.5999999999999996,41.19999999999999,2.599322702028662,41.19920690787228,136.12925606583798,135.6369352729142,136.40331161452687,1962.1974550480772,1947.5934151700415,1974.526878913118
5,2460619.7599305557,2024-11-05T06:14:18.000,78.0,0.8788965983051971,6.282051282051283,76.82051282051282,6.308686094385406,76.84467810854716,143.78611213646303,135.22285531252763,157.17693080066937,1875.6179483534406,1690.3698385227565,1988.0112513957508
6,2460619.813611111,2024-11-05T07:31:36.000,15.0,0.9230717224171651,5.333333333333334,125.93333333333334,5.334368036159217,125.92380130434299,136.34915247749404,135.05430884988843,140.095155642877,1812.923546895005,1769.7444828974042,1840.2117644092698
7,2460619.845833333,2024-11-05T08:18:00.000,1.0,0,1.0,149.0,1.0,149.0,135.8427382353943,135.8427382353943,135.8427382353943,1882.458920603357,1882.458920603357,1882.458920603357
8,2460619.845833333,2024-11-05T08:18:00.000,2.0,1.0,1.5,152.5,1.5000888886371957,152.4999111113628,135.2271584658955,135.20311815023956,135.25119878155147,1850.7670399095587,1847.2576359275638,1854.2764438915535
9,2460619.845833333,2024-11-05T08:18:00.000,1.0,0,1.0,157.0,1.0,157.0,135.13559511850403,135.13559511850403,135.13559511850403,1837.653478337156,1837.653478337156,1837.653478337156
10,2460619.88875,2024-11-05T09:19:48.000,218.0,0.9708899957868198,2.908256880733944,206.1880733944954,2.928877838371797,206.20045214780717,140.9836870696897,135.0609061033764,153.83673320625232,1757.5515739324176,1542.7124044087288,1943.2416068583304
