Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2024-11-29T05:41:48.000,2460643.737361111,21,78,-6,202,117.02802326189143,1898.6887511796513,0.6131127635017039
1,N/A,0.0,7,70,8,210,118.11541984498682,1743.463195382105,0.6549019813537598
2,N/A,0.0,20,64,-5,216,119.608652295581,1923.7235727267787,0.6487395124776023
3,N/A,0.0,14,63,1,217,134.82307377809184,1910.1399037505107,0.5695394644903582
4,N/A,0.0,7,62,8,218,114.91604470159854,1722.9761280655102,0.642156884074211
5,N/A,0.0,8,51,7,229,121.7442213694308,1662.4845713473921,0.7419607996940613
6,N/A,0.0,9,46,6,234,137.84105053004706,1804.5341197883672,0.7434173822402955
7,N/A,0.0,20,46,-5,234,114.9735052343112,1890.47525031555,0.6649860143661499
8,N/A,0.0,10,36,5,244,142.87577997525753,1918.6292720092827,0.6558823734521866
9,N/A,0.0,21,35,-6,245,110.22857176093227,1877.0664545878697,0.7027451157569885
10,N/A,0.0,7,23,8,257,81.91788912714199,1668.572790333832,0.7111111283302307
11,N/A,0.0,21,21,-6,259,105.28935042613645,1845.8723944258586,0.7367843294143678
12,N/A,0.0,7,16,8,264,75.14250966748824,1581.4003043356468,0.7039215862751007
13,N/A,0.0,21,15,-6,265,105.01999206245735,1887.7509645055393,0.7279669924786216
14,N/A,0.0,8,8,7,272,102.19843288267336,1533.242997413614,0.6886274695396423
