Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2024-11-29T05:41:48.000,2460643.737361111,18,79,-3,201,124.65297591687077,1934.0231007762516,0.48222644867435577
1,2024-11-29T05:41:48.000,2460643.737361111,4,76,11,204,88.93626997218075,1740.242653867187,0.4191464869415059
2,2024-11-29T05:41:48.000,2460643.737361111,12,75,3,205,133.9618974526189,1899.5481877698182,0.497030827828816
3,N/A,0.0,22,73,-7,207,118.51435162673539,1986.1076525518206,0.43627452105283737
4,N/A,0.0,4,64,11,216,90.60838183832966,1697.9408792825984,0.42913166327135904
5,N/A,0.0,17,64,-2,216,123.90800706480636,1943.634193168036,0.4711484738758632
6,N/A,0.0,10,61,5,219,137.16359430323206,1839.1853040162707,0.4925490379333496
7,N/A,0.0,13,50,2,230,136.00868348274997,1894.7958505038416,0.4635294198989868
8,N/A,0.0,16,42,-1,238,128.56470145745257,1984.630039776828,0.47471620377741364
9,N/A,0.0,6,41,9,239,118.8762839914473,1969.5999251839667,0.280233187449945
10,N/A,0.0,25,28,-10,252,102.04356315046562,1896.445443150264,0.45546218752861023
11,N/A,0.0,11,25,4,255,127.27755506903753,1848.6452277389399,0.46405228972435
12,N/A,0.0,17,22,-2,258,116.7380677357513,1940.3406015411692,0.45384615659713745
13,N/A,0.0,4,20,11,260,54.20586894940203,1627.119438377447,0.33578432351350784
14,N/A,0.0,17,16,-2,264,115.55392854083463,1964.7762608156681,0.43843137621879574
15,N/A,0.0,22,10,-7,270,101.93801516154909,1985.3615314974847,0.3716263052295236
16,N/A,0.0,17,4,-2,276,104.73541538946118,1912.4428494331087,0.44313725829124445
