Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20241129-20241129 NEDF 235,1,2024-11-29T05:41:48.000,2460643.737361111,4,201,1915.6732177734375,142.13597106933594
xyfnh3max,20241129-20241129 NEDF 235,2,N/A,0.0,4,217,1885.178466796875,144.65379333496094
xyfnh3max,20241129-20241129 NEDF 235,3,N/A,0.0,4,237,1918.489501953125,149.3893585205078
xyPcldmax,20241129-20241129 NEDF 235,1,2024-11-29T05:41:48.000,2460643.737361111,-3,196,1976.6318359375,119.81968688964844
xyPcldmax,20241129-20241129 NEDF 235,2,N/A,0.0,-5,208,2013.720947265625,123.8877182006836
xyPcldmax,20241129-20241129 NEDF 235,3,N/A,0.0,-4,224,1942.65185546875,121.41371154785156
xyPcldmax,20241129-20241129 NEDF 235,4,N/A,0.0,-1,237,1985.3895263671875,130.8207550048828
xyPcldmax,20241129-20241129 NEDF 235,5,N/A,0.0,8,239,1996.345947265625,127.603759765625
xyPcldmax,20241129-20241129 NEDF 235,6,N/A,0.0,1,251,1965.2249755859375,127.82122039794922
xyPcldmax,20241129-20241129 NEDF 235,7,N/A,0.0,-6,269,1988.0711669921875,105.6982421875
xyPcldmin,20241129-20241129 NEDF 235,1,N/A,0.0,10,227,1615.66943359375,92.93855285644531
xyPcldmin,20241129-20241129 NEDF 235,2,N/A,0.0,-8,235,1833.1378173828125,103.64408874511719
xyPcldmin,20241129-20241129 NEDF 235,3,N/A,0.0,10,257,1604.1805419921875,66.27975463867188
xyPcldmin,20241129-20241129 NEDF 235,4,N/A,0.0,7,271,1514.40771484375,98.07955169677734
