Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,6,355,9,5,31.893993414253384,1456.7739297307755,0.42352941632270813
1,N/A,0.0,23,354,-8,6,73.15952295388702,1728.4322207399784,0.4156862795352936
2,2024-12-03T02:27:24.000,2460647.602361111,22,344,-7,16,79.32314908417058,1718.645275245546,0.4941176474094391
3,2024-12-03T02:37:51.000,2460647.6096180556,23,334,-8,26,95.01061417057282,1822.4079441544154,0.5235294252634048
4,2024-12-03T04:17:06.000,2460647.6785416664,25,246,-10,114,87.22822179475382,1900.684837699689,0.5625000242143869
5,2024-12-03T05:02:22.800,2460647.7099861107,25,224,-10,136,88.66671649700689,1892.5621079156438,0.5670588493347168
6,2024-12-03T05:15:54.706,2460647.7193831704,5,212,10,148,78.08161354865291,1785.7890845088632,0.5953864087076749
7,2024-12-02T03:55:12.000,2460646.663333333,23,58,-8,302,90.50181558656432,1765.6691894194912,0.6113645665499629
8,2024-12-02T04:10:00.600,2460646.673618056,4,51,11,309,74.32337535757803,1739.8196445692952,0.5587451189756394
9,2024-12-02T04:22:42.000,2460646.682430556,4,44,11,316,73.90254863966443,1719.2233945902176,0.5369411957263946
10,2024-12-02T04:48:03.000,2460646.700034722,22,22,-7,338,89.90718794123103,1825.9449244216676,0.6597285270690918
11,2024-12-02T04:48:03.000,2460646.700034722,6,18,9,342,75.04561089026211,1791.5455706171256,0.5931372791528702
