Index,MeanTime_FITS,MeanTime_JD,Lat,Lon,Row,Col,NH3_value,PCloud_value,RGB_value
0,0.0,0.0,-1,24,16,336,113.59800664293385,1892.2446911297068,0.5275104167786511
1,0.0,0.0,-7,32,22,328,102.25104354895932,1930.4248918844537,0.5741176724433898
2,0.0,0.0,-7,45,22,315,99.42324404682424,1935.2547423393198,0.5787581925590833
3,0.0,0.0,9,56,6,304,140.05190342071356,2104.9651655323464,0.412621145618373
4,0.0,0.0,-4,73,19,287,112.36870572032305,2048.5918435369495,0.6464052498340607
5,0.0,0.0,-6,85,21,275,110.24191080382197,2061.9822226190395,0.5111111303170522
6,0.0,0.0,0,295,15,65,135.71418834721595,1922.3256654552458,0.6261438131332397
7,0.0,0.0,-6,297,21,63,108.15574797772965,1924.8397138047303,0.7411764860153198
8,0.0,0.0,-4,317,19,43,115.59740360685821,1938.7606870578602,0.7403594901164373
9,0.0,0.0,-4,336,19,24,113.40533078618735,1916.0000843877594,0.7960784435272217
10,0.0,0.0,-4,341,19,19,109.51211891929734,1926.1949094307465,0.7904139558474222
11,0.0,0.0,-3,355,18,5,115.54574565155167,1915.5457984266177,0.7307189702987671
