Index,MeanTime_FITS,MeanTime_JD,Lat,Lon,Row,Col,NH3_value,PCloud_value,RGB_value
0,0.0,0.0,-1,6,16,354,119.54097718202571,1840.3485532261982,0.5393464197715124
1,0.0,0.0,2,17,13,343,121.08151784563107,1878.0560147104552,0.5183183389741021
2,0.0,0.0,0,25,15,335,111.57071728780961,1877.496646832651,0.5132026334603627
3,0.0,0.0,-1,38,16,322,113.41752793915931,1865.7740405825962,0.5220246423584547
4,0.0,0.0,11,48,4,312,114.40285360201744,1878.8980202091238,0.3843137323856354
5,0.0,0.0,0,57,15,303,119.61520533448473,1877.6146469440446,0.5611111298203468
6,0.0,0.0,11,59,4,301,107.63512110545776,1979.6899092926953,0.38518519202868146
7,0.0,0.0,0,78,15,282,119.69141345542772,1930.4003912755766,0.5247059047222137
8,0.0,0.0,1,287,14,73,138.75890138995646,1799.8787957751447,0.5490196347236633
9,0.0,0.0,-9,336,24,24,93.33521474573696,1835.0426658474125,0.5507625506983863
10,0.0,0.0,-10,344,25,16,92.14953291967271,1819.373719526329,0.5581699576642778
