Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,N/A,0.0,15,81,0,114,117.7300114676654,1838.617728037756,0.3921568691730499
1,N/A,0.0,5,76,10,119,68.48497190569847,1746.416916458958,0.3019607961177826
2,N/A,0.0,14,63,1,132,114.29968390865339,1750.047363509201,0.43210784718394285
3,N/A,0.0,5,49,10,146,116.5367982375865,2032.8138656844358,0.21191554229993087
4,N/A,0.0,15,47,0,148,132.16668104141047,1934.893535293783,0.48104575276374817
5,N/A,0.0,13,33,2,162,133.95798301954147,1945.397282092494,0.40261438488960266
6,N/A,0.0,7,25,8,170,130.5189384953825,1827.4798116448048,0.3137255012989044
7,N/A,0.0,7,20,8,175,138.1521366559903,1966.6810454117724,0.2705882440010707
8,N/A,0.0,11,12,4,183,130.11467968908948,1802.7467432276046,0.4143790900707245
9,N/A,0.0,5,10,10,185,87.02999179691125,1722.2669039001958,0.3710407316684723
