Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20250106-20250106 NEDF CD,1,N/A,0.0,3,113,1841.9014892578125,132.2288360595703
xyfnh3max,20250106-20250106 NEDF CD,2,N/A,0.0,5,145,1785.300048828125,158.36680603027344
xyfnh3max,20250106-20250106 NEDF CD,3,N/A,0.0,5,174,1942.5994873046875,154.94725036621094
xyPcldmax,20250106-20250106 NEDF CD,1,N/A,0.0,1,113,1869.0860595703125,127.0254898071289
xyPcldmax,20250106-20250106 NEDF CD,2,N/A,0.0,9,147,2062.7724609375,125.31541442871094
xyPcldmax,20250106-20250106 NEDF CD,3,N/A,0.0,0,162,2001.75732421875,132.03871154785156
xyPcldmax,20250106-20250106 NEDF CD,4,N/A,0.0,7,175,1996.4635009765625,148.00149536132812
xyPcldmin,20250106-20250106 NEDF CD,1,N/A,0.0,6,135,1508.757080078125,110.5281753540039
xyPcldmin,20250106-20250106 NEDF CD,2,N/A,0.0,7,157,1671.2020263671875,105.86578369140625
xyPcldmin,20250106-20250106 NEDF CD,3,N/A,0.0,7,166,1552.794921875,110.56278228759766
