Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,2025-01-27T01:40:12.000,2460702.5695833336,14,322,1,38,137.72048322947862,1868.841211950432,0.5176470801234245
NH3,maxima,1,2025-01-27T02:01:06.000,2460702.584097223,10,301,5,59,177.48376026680742,1817.3906811326785,0.5790849924087524
NH3,maxima,2,2025-01-27T02:50:20.471,2460702.618292484,9,255,6,105,170.99958716343383,1942.3171802738264,0.4765859456623302
NH3,maxima,3,2025-01-27T03:52:41.045,2460702.661586174,12,213,3,147,151.2268456601875,1788.6871099798475,0.5301089545090993
NH3,maxima,4,2025-01-27T04:44:33.073,2460702.6976050134,10,185,5,175,161.45687735411067,1933.0243567153989,0.45623886178840295
NH3,maxima,5,2025-01-27T05:15:39.808,2460702.7192107374,15,165,0,195,137.66832763431282,1817.1618744804055,0.4563348493896998
NH3,maxima,6,2025-01-27T05:38:45.960,2460702.735254167,13,150,2,210,141.2298418611452,1763.8006475194734,0.5049411922693252
NH3,maxima,7,2025-01-27T06:26:54.000,2460702.7686805557,11,121,4,239,138.19875222923937,1832.3168420338861,0.45566923268463305
NH3,maxima,8,2025-01-27T06:37:22.500,2460702.775954861,22,105,-7,255,113.6364680091743,1955.6807036664027,0.48725491017103195
NH3,maxima,9,2025-01-27T06:58:18.000,2460702.7904861113,11,82,4,278,156.03208115524728,1958.063252088569,0.4372549057006836
NH3,minima,0,N/A,0.0,22,336,-7,24,88.94159192537876,1789.8586935843011,0.47843137383461
NH3,minima,1,2025-01-27T02:11:34.500,2460702.591371528,24,289,-9,71,100.28080885412382,1971.7393765429506,0.5813725739717484
NH3,minima,2,2025-01-27T03:27:44.400,2460702.6442638887,25,229,-10,131,93.61115931248969,1824.630555816241,0.5301960945129395
PCloud,maxima,0,2025-01-27T01:50:02.118,2460702.576413399,16,317,-1,43,129.23748716213916,1932.9530813159301,0.4994233145433314
PCloud,maxima,1,2025-01-27T01:50:39.000,2460702.5768402778,14,312,1,48,142.03952253291686,1931.4970670265302,0.48823530972003937
PCloud,maxima,2,2025-01-27T02:01:06.000,2460702.584097223,25,299,-10,61,107.01637846820005,2022.6811781308961,0.5385621090730032
PCloud,maxima,3,2025-01-27T02:07:38.813,2460702.5886436636,7,294,8,66,149.46593521357485,2061.5337622787324,0.37463236041367054
PCloud,maxima,4,2025-01-27T02:35:34.588,2460702.608039216,20,262,-5,98,119.61016787589128,2074.6864533495554,0.5044982906650094
PCloud,maxima,5,2025-01-27T02:56:29.647,2460702.62256536,19,250,-4,110,116.43117564475547,2054.759529475781,0.49111881676842184
PCloud,maxima,6,2025-01-27T03:03:52.800,2460702.6276944443,8,245,7,115,140.3818457708678,2027.3327817943355,0.4426257552012154
PCloud,maxima,7,2025-01-27T03:26:31.364,2460702.6434185603,15,231,0,129,121.50217591795744,1933.9917438843581,0.46301248601891776
PCloud,maxima,8,2025-01-27T03:55:00.429,2460702.663199405,6,211,9,149,126.91298601023304,1951.9503751480047,0.3231372654438019
PCloud,maxima,9,2025-01-27T04:10:48.146,2460702.6741683604,24,209,-9,151,101.77954507989386,1926.1942612809466,0.41612200935681665
PCloud,maxima,10,2025-01-27T04:15:27.600,2460702.677402778,15,204,0,156,137.63811900781224,2008.2987027001377,0.4901960909366608
PCloud,maxima,11,2025-01-27T04:38:18.136,2460702.693265467,22,193,-7,167,113.05074998660943,2007.3356147691543,0.4367201463742689
PCloud,maxima,12,2025-01-27T05:01:14.093,2460702.7091908916,8,181,7,179,144.9855770926554,2048.72813630404,0.35383245078000153
PCloud,maxima,13,2025-01-27T05:01:14.093,2460702.7091908916,24,181,-9,179,111.68076889130626,1989.2696913633129,0.43939394300634205
PCloud,maxima,14,2025-01-27T05:03:10.800,2460702.7105416665,24,172,-9,188,118.462088385794,2004.7944010765877,0.412009809166193
PCloud,minima,0,N/A,0.0,7,336,8,24,105.06456010557909,1610.004153524589,0.5058823823928833
PCloud,minima,1,N/A,0.0,20,336,-5,24,98.58874240979705,1742.6351688994719,0.5176470875740051
PCloud,minima,2,2025-01-27T01:47:39.857,2460702.574766865,21,320,-6,40,110.51668668071314,1814.6036437252164,0.6123249530792236
PCloud,minima,3,2025-01-27T01:48:33.600,2460702.5753888893,5,319,10,41,90.97452121425759,1655.9352540035036,0.4729411780834198
PCloud,minima,4,2025-01-27T01:50:39.000,2460702.5768402778,8,312,7,48,138.68325816065123,1682.837774883806,0.5784313976764679
PCloud,minima,5,2025-01-27T01:50:39.000,2460702.5768402778,19,310,-4,50,124.01234709857883,1842.982005363116,0.5901961028575897
PCloud,minima,6,2025-01-27T02:22:02.400,2460702.5986388894,6,270,9,90,109.17743510195058,1739.9340629438354,0.4679471917298375
PCloud,minima,7,2025-01-27T03:38:55.500,2460702.6520312503,21,222,-6,138,109.17435714313432,1750.4535717367155,0.6165775629607113
PCloud,minima,8,2025-01-27T03:49:14.512,2460702.6591957365,8,219,7,141,119.27822134621319,1588.1184743139856,0.6292335336858575
PCloud,minima,9,2025-01-27T04:39:19.200,2460702.693972222,9,192,6,168,135.09548921508272,1630.3334201313614,0.5513725757598877
PCloud,minima,10,2025-01-27T05:24:07.200,2460702.7250833334,9,159,6,201,116.95892826741452,1636.8101953834275,0.5130196309089661
PCloud,minima,11,2025-01-27T06:05:57.600,2460702.7541388893,7,133,8,227,95.25589406153532,1672.1865414068714,0.5013205390803668
PCloud,minima,12,2025-01-27T06:37:22.500,2460702.775954861,6,111,9,249,91.73350539503062,1703.257363459118,0.49490196779370305
PCloud,minima,13,2025-01-27T07:08:48.000,2460702.7977777785,8,64,7,296,29.715498883117,1497.2216541211371,0.41960784792900085
RGB,maxima,0,2025-01-27T01:40:12.000,2460702.5695833336,22,327,-7,33,103.39501328239716,1902.520609791491,0.5764706134796143
RGB,maxima,1,2025-01-27T01:40:12.000,2460702.5695833336,7,322,8,38,102.65510940504535,1698.7424082507525,0.5852941423654556
RGB,maxima,2,2025-01-27T01:47:39.857,2460702.574766865,21,320,-6,40,110.51668668071314,1814.6036437252164,0.6123249530792236
