Type,Collection,No.,Avg. Time,JD,Lat,Lon,PCld,fNH3
xyfnh3max,20250302-20250302,1,N/A,0.0,-4,212,1761.700439453125,124.69123077392578
xyfnh3max,20250302-20250302,2,N/A,0.0,3,214,1707.911376953125,125.7990493774414
xyfnh3max,20250302-20250302,3,2025-03-02T01:59:06.000,2460736.582708333,2,226,1786.2637939453125,129.59335327148438
xyfnh3max,20250302-20250302,4,2025-03-02T02:09:33.000,2460736.5899652774,1,232,1842.6431884765625,130.7769775390625
xyfnh3max,20250302-20250302,5,2025-03-02T02:09:33.000,2460736.5899652774,4,241,1909.5684814453125,131.22613525390625
xyfnh3max,20250302-20250302,6,2025-03-02T02:09:33.000,2460736.5899652774,3,247,1935.806396484375,128.97935485839844
xyfnh3max,20250302-20250302,7,2025-03-02T02:44:28.500,2460736.61421875,5,282,1817.5626220703125,157.09103393554688
xyfnh3max,20250302-20250302,8,2025-03-02T03:41:22.500,2460736.653732639,-1,302,1829.8980712890625,115.13997650146484
xyfnh3max,20250302-20250302,9,2025-03-02T04:15:09.600,2460736.677194445,5,332,1904.8980712890625,152.26890563964844
xyfnh3min,20250302-20250302,1,2025-03-02T02:28:38.000,2460736.6032175925,-5,266,1859.960205078125,106.56827545166016
xyfnh3min,20250302-20250302,2,2025-03-02T03:49:28.714,2460736.659360119,-7,312,1888.7073974609375,89.19419860839844
xyfnh3min,20250302-20250302,3,2025-03-02T04:25:57.000,2460736.6846875,-8,345,1985.2088623046875,104.6227798461914
xyfnh3min,20250302-20250302,4,2025-03-02T04:26:53.657,2460736.685343254,-6,352,1939.6181640625,105.87528228759766
xyPcldmax,20250302-20250302,1,2025-03-02T02:09:33.000,2460736.5899652774,-8,236,1933.265625,109.03768157958984
xyPcldmax,20250302-20250302,2,2025-03-02T02:09:33.000,2460736.5899652774,6,245,1992.4661865234375,123.9688720703125
xyPcldmax,20250302-20250302,3,2025-03-02T02:09:33.000,2460736.5899652774,-8,254,1979.7393798828125,108.26979064941406
xyPcldmax,20250302-20250302,4,2025-03-02T02:28:38.000,2460736.6032175925,-9,266,1937.0693359375,107.41053009033203
xyPcldmax,20250302-20250302,5,2025-03-02T02:44:28.500,2460736.61421875,-7,281,1982.337158203125,117.75361633300781
xyPcldmax,20250302-20250302,6,2025-03-02T02:44:28.500,2460736.61421875,9,281,1853.2757568359375,135.83609008789062
xyPcldmax,20250302-20250302,7,2025-03-02T03:41:22.500,2460736.653732639,-10,306,1981.1182861328125,113.8869400024414
xyPcldmax,20250302-20250302,8,2025-03-02T04:05:00.000,2460736.670138889,-10,326,2043.8016357421875,108.12641906738281
xyPcldmax,20250302-20250302,9,2025-03-02T04:25:57.000,2460736.6846875,-1,347,1971.45361328125,125.54241943359375
xyPcldmin,20250302-20250302,1,N/A,0.0,7,212,1664.2255859375,98.62224578857422
xyPcldmin,20250302-20250302,2,N/A,0.0,-1,213,1693.8182373046875,118.60467529296875
xyPcldmin,20250302-20250302,3,2025-03-02T01:59:06.000,2460736.582708333,0,218,1706.3975830078125,123.38444519042969
xyPcldmin,20250302-20250302,4,2025-03-02T02:28:38.000,2460736.6032175925,7,268,1636.6939697265625,107.44540405273438
xyPcldmin,20250302-20250302,5,2025-03-02T03:41:22.500,2460736.653732639,8,302,1647.9959716796875,87.6938705444336
xyPcldmin,20250302-20250302,6,2025-03-02T04:25:57.000,2460736.6846875,9,344,1712.9122314453125,70.29269409179688
xyPcldmin,20250302-20250302,7,2025-03-02T04:25:57.000,2460736.6846875,8,350,1710.623046875,100.98489379882812
