RowNames,20200915UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,3.5645511024647396,3.5645511024647396,0.0,0.0
1_Io,0.0,nan,nan,nan
2_Europa,3.696176841936414,3.696176841936414,0.0,0.0
3_Ganymede,3.6789520919087297,3.6789520919087297,0.0,0.0
4_Callisto,3.799206387852534,3.799206387852534,0.0,0.0
Moons Ratio,3.7247784405658924,3.7247784405658924,0.0,0.0
Moons StdP,0.05309621773319551,0.0,0.0,0.0
95% Conf,0.03065511560121141,0.0,0.0,0.0
Trans647,0.9569833909163171,0.0,0.0,0.0
NH3 Abs,0.04301660908368288,0.0,0.0,0.0
Trans Conf,0.008230050750764679,0.0,0.0,0.0
