RowNames,20200915UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,2.7374640200302687,2.7374640200302687,0.0,0.0
1_Io,0.0,nan,nan,nan
2_Europa,2.745948313696682,2.745948313696682,0.0,0.0
3_Ganymede,2.6615274003947245,2.6615274003947245,0.0,0.0
4_Callisto,2.8883741640739036,2.8883741640739036,0.0,0.0
Moons Ratio,2.76528329272177,2.76528329272177,0.0,0.0
Moons StdP,0.09361354819453142,0.0,0.0,0.0
95% Conf,0.05404780724990873,0.0,0.0,0.0
Trans647,0.9899398109536474,0.0,0.0,0.0
NH3 Abs,0.010060189046352641,0.0,0.0,0.0
Trans Conf,0.019545124867373496,0.0,0.0,0.0
