observation,analysis,n_clusters,variable,cluster,mean,stddev
20251016UTa-NEZ-A1,NH3_PCld,4,NH3,1,198.47058,40.643738
20251016UTa-NEZ-A1,NH3_PCld,4,NH3,2,87.320015,24.128311
20251016UTa-NEZ-A1,NH3_PCld,4,NH3,3,117.90988,27.76008
20251016UTa-NEZ-A1,NH3_PCld,4,NH3,4,183.749,22.385387
20251016UTa-NEZ-A1,NH3_PCld,4,PCld,1,2281.4912,169.17015
20251016UTa-NEZ-A1,NH3_PCld,4,PCld,2,1882.9259,140.92441
20251016UTa-NEZ-A1,NH3_PCld,4,PCld,3,1516.1526,125.62383
20251016UTa-NEZ-A1,NH3_PCld,4,PCld,4,1822.3892,113.98147
20251016UTa-NEZ-A1,NH3_PCld,5,NH3,1,182.3735,21.558235
20251016UTa-NEZ-A1,NH3_PCld,5,NH3,2,117.93594,28.856497
20251016UTa-NEZ-A1,NH3_PCld,5,NH3,3,167.54973,41.800495
20251016UTa-NEZ-A1,NH3_PCld,5,NH3,4,87.6639,24.423176
20251016UTa-NEZ-A1,NH3_PCld,5,NH3,5,215.04088,25.457647
20251016UTa-NEZ-A1,NH3_PCld,5,PCld,1,1804.605,98.19191
20251016UTa-NEZ-A1,NH3_PCld,5,PCld,2,1520.8457,124.84602
20251016UTa-NEZ-A1,NH3_PCld,5,PCld,3,2417.179,147.78813
20251016UTa-NEZ-A1,NH3_PCld,5,PCld,4,1884.772,137.67078
20251016UTa-NEZ-A1,NH3_PCld,5,PCld,5,2116.8975,105.77688
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,1,213.95395,25.452702
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,2,106.53022,22.522413
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,3,120.06966,29.664373
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,4,182.03238,21.688675
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,5,178.31306,40.08109
20251016UTa-NEZ-A1,NH3_PCld,6,NH3,6,79.561806,21.62416
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,1,2098.7783,100.38678
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,2,2044.1033,95.73127
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,3,1501.7205,117.11892
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,4,1800.8301,94.77474
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,5,2437.154,138.43488
20251016UTa-NEZ-A1,NH3_PCld,6,PCld,6,1796.1858,92.9592
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,NH3,1,88.24621,27.019274
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,NH3,2,186.7101,20.05328
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,NH3,3,195.43198,42.96954
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,NH3,4,118.76304,28.819551
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,PCld,1,1862.9814,156.86108
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,PCld,2,1815.0634,112.41163
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,PCld,3,2239.915,182.62341
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,PCld,4,1598.3207,199.78702
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,AOI,1,0.18856685,0.018886738
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,AOI,2,0.24749853,0.018376518
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,AOI,3,0.2485639,0.019685788
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,AOI,4,0.2838057,0.025902266
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,CI,1,0.47879395,0.039534025
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,CI,2,0.66103303,0.020882074
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,CI,3,0.65756184,0.052944582
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,4,CI,4,0.5631343,0.06105438
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,NH3,1,73.95642,18.216381
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,NH3,2,186.55428,19.801592
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,NH3,3,201.86899,37.54079
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,NH3,4,109.55316,23.75479
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,NH3,5,121.896614,28.865395
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,PCld,1,1855.9968,126.543884
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,PCld,2,1814.7166,111.093765
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,PCld,3,2239.0789,187.34985
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,PCld,4,1876.254,207.85219
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,PCld,5,1577.913,192.45988
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,AOI,1,0.17659418,0.010007416
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,AOI,2,0.24710585,0.018233433
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,AOI,3,0.2509092,0.018960765
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,AOI,4,0.20984578,0.01809061
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,AOI,5,0.28910273,0.021780422
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,1,0.45531827,0.015442841
20251016UTa-NEZ-A1,NH3_PCld_AOI_CI,5,CI,2,0.6608531,0.020689841
